#dataset: trafficsign
#way backdoor looks like: green_squares
#merge strategy: sequential
#number of benign sources: 10
#number of malicious sources: 0
#batch size: 64
#distribution of data: 20% classes in only 20% of the clients - exclusive classes first
#percentage of poisoned data in backdoored nodes: NONE
#order of time backdoors being inserted: NONE
#attack model: basic
#starttime: 080936
class1;class2;class3;class4;class5;class6;class7;class8;class9;class10
0.0000;0.0000;0.9593;0.0000;0.9279;0.0000;0.0000;0.0000;0.0000;0.8875
0.4619;0.0000;0.9871;0.0000;0.9324;0.0000;0.0250;0.0000;0.0000;0.9615
0.6294;0.0000;0.9898;0.0000;0.9234;0.2317;0.9917;0.8371;0.1143;0.7781
0.7513;0.0000;0.9871;0.0000;0.9414;0.7439;0.9833;0.8788;0.6286;0.8444
0.8477;0.0000;0.9889;0.0000;0.9324;0.8902;0.9833;0.9356;0.8857;0.8829
0.9086;0.0050;0.9889;0.0094;0.9234;0.9024;0.9833;0.9091;0.9429;0.9584
0.8985;0.0250;0.9871;0.0491;0.9347;0.9024;0.9833;0.9205;0.9714;0.9753
0.9086;0.0400;0.9871;0.1679;0.9279;0.9268;0.9833;0.9735;0.9714;0.9707
0.9492;0.0550;0.9880;0.2736;0.9234;0.9634;0.9833;0.9621;0.9714;0.9831
0.9391;0.1250;0.9889;0.3792;0.9234;0.9634;0.9833;0.9735;1.0000;0.9846
0.9492;0.2450;0.9926;0.3887;0.9279;0.9634;0.9833;0.9735;1.0000;0.9753
0.9645;0.4800;0.9945;0.4981;0.9324;0.9634;0.9833;0.9735;1.0000;0.9831
0.9695;0.5050;0.9945;0.6321;0.9234;0.9634;0.9833;0.9811;1.0000;0.9846
0.9746;0.5850;0.9945;0.6755;0.9189;0.9634;0.9833;0.9697;1.0000;0.9846
0.9746;0.6650;0.9945;0.7057;0.9324;0.9634;0.9833;0.9697;1.0000;0.9892
0.9797;0.6650;0.9945;0.7094;0.9257;0.9634;0.9833;0.9848;1.0000;0.9892
0.9848;0.6950;0.9945;0.7151;0.9347;0.9634;0.9833;0.9811;1.0000;0.9877
0.9848;0.7100;0.9963;0.7547;0.9302;0.9634;0.9833;0.9735;1.0000;0.9877
0.9848;0.7150;0.9972;0.7717;0.9414;0.9756;0.9833;0.9659;1.0000;0.9831
0.9848;0.7250;0.9954;0.7679;0.9392;0.9756;0.9833;0.9735;1.0000;0.9908
0.9898;0.7300;0.9963;0.8170;0.9392;0.9756;0.9833;0.9773;1.0000;0.9815
0.9898;0.7350;0.9963;0.8057;0.9437;0.9756;0.9833;0.9735;1.0000;0.9923
0.9949;0.7550;0.9963;0.7906;0.9437;0.9756;0.9833;0.9735;1.0000;0.9923
0.9949;0.7600;0.9963;0.8358;0.9414;0.9756;0.9833;0.9773;1.0000;0.9877
0.9898;0.7850;0.9954;0.8264;0.9279;0.9756;0.9833;0.9848;1.0000;0.9908
0.9898;0.7700;0.9963;0.8528;0.9414;0.9756;0.9833;0.9735;1.0000;0.9908
0.9949;0.7900;0.9972;0.8472;0.9392;0.9756;0.9833;0.9735;1.0000;0.9908
0.9949;0.7900;0.9963;0.8981;0.9279;0.9756;0.9833;0.9735;1.0000;0.9908
0.9949;0.8000;0.9954;0.8887;0.9279;0.9756;0.9833;0.9811;1.0000;0.9892
0.9898;0.7850;0.9954;0.8604;0.9392;0.9756;0.9833;0.9848;1.0000;0.9923
0.9898;0.8100;0.9954;0.9000;0.9437;0.9756;0.9833;0.9773;1.0000;0.9908
0.9949;0.8000;0.9926;0.8962;0.9437;0.9756;0.9833;0.9924;1.0000;0.9908
0.9898;0.8300;0.9963;0.9302;0.9437;0.9756;0.9833;0.9735;1.0000;0.9938
0.9898;0.8500;0.9972;0.9245;0.9459;0.9756;0.9833;0.9735;1.0000;0.9892
0.9949;0.8300;0.9954;0.9302;0.9324;0.9756;0.9833;0.9848;1.0000;0.9892
0.9949;0.8500;0.9954;0.9189;0.9527;0.9756;0.9833;0.9773;1.0000;0.9861
0.9949;0.8650;0.9954;0.9396;0.9459;0.9756;0.9833;0.9924;1.0000;0.9877
0.9949;0.8750;0.9954;0.9358;0.9459;0.9756;0.9833;0.9848;1.0000;0.9877
0.9949;0.8500;0.9972;0.9472;0.9414;0.9878;0.9833;0.9848;1.0000;0.9892
0.9949;0.8650;0.9954;0.9396;0.9392;0.9756;0.9833;0.9848;1.0000;0.9908
0.9898;0.8700;0.9954;0.9264;0.9482;0.9878;0.9833;0.9886;1.0000;0.9923
0.9898;0.8800;0.9954;0.9415;0.9437;0.9756;0.9833;0.9848;1.0000;0.9923
0.9898;0.8900;0.9963;0.9528;0.9505;0.9878;0.9833;0.9886;1.0000;0.9892
0.9898;0.8450;0.9963;0.9717;0.9505;1.0000;0.9833;0.9886;1.0000;0.9892
0.9898;0.8600;0.9954;0.9547;0.9572;1.0000;0.9833;0.9886;1.0000;0.9908
0.9898;0.8600;0.9954;0.9679;0.9437;0.9878;0.9833;0.9886;1.0000;0.9908
0.9949;0.8600;0.9945;0.9623;0.9482;0.9878;0.9833;0.9886;1.0000;0.9892
0.9898;0.8800;0.9954;0.9585;0.9662;0.9878;0.9833;0.9848;1.0000;0.9892
0.9949;0.8650;0.9954;0.9604;0.9595;0.9756;0.9833;0.9848;1.0000;0.9892
0.9949;0.8750;0.9954;0.9698;0.9617;1.0000;0.9833;0.9848;1.0000;0.9892
0.9949;0.8800;0.9954;0.9736;0.9617;1.0000;0.9833;0.9848;1.0000;0.9892

