#dataset: trafficsign
#way backdoor looks like: green_squares
#merge strategy: sequential
#number of benign sources: 10
#number of malicious sources: 0
#batch size: 64
#distribution of data: 20% classes in only 20% of the clients - exclusive classes first
#percentage of poisoned data in backdoored nodes: NONE
#order of time backdoors being inserted: NONE
#attack model: basic
#starttime: 080936
class1;class2;class3;class4;class5;class6;class7;class8;class9;class10
0.0000;0.9950;0.0000;0.9509;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0.0000;0.9950;0.2652;0.9849;0.0000;0.0000;0.0000;0.0038;0.0286;0.7627
0.0000;1.0000;0.7181;0.9736;0.0045;0.0000;0.7500;0.6326;0.5714;0.6148
0.0000;0.9950;0.8068;0.9887;0.0631;0.0000;0.8417;0.6288;0.7429;0.6071
0.0000;0.9950;0.8586;0.9906;0.1261;0.0244;0.8750;0.5909;0.8571;0.6086
0.0964;0.9900;0.9187;0.9962;0.1914;0.1951;0.9667;0.8030;1.0000;0.7781
0.3858;0.9850;0.9436;0.9962;0.2568;0.3902;0.9833;0.7689;1.0000;0.7889
0.6244;0.9850;0.9584;0.9925;0.4077;0.6585;0.9833;0.7538;1.0000;0.7874
0.6701;0.9850;0.9538;0.9943;0.4347;0.6707;0.9833;0.7386;1.0000;0.7673
0.6904;0.9850;0.9575;0.9943;0.4392;0.8171;0.9917;0.7614;1.0000;0.7812
0.6954;0.9850;0.9556;0.9962;0.4910;0.8415;0.9917;0.7348;1.0000;0.7843
0.7259;0.9750;0.9556;0.9962;0.5180;0.8659;0.9917;0.7083;1.0000;0.7935
0.7310;0.9850;0.9464;0.9962;0.5946;0.8659;0.9917;0.7424;1.0000;0.8089
0.7563;0.9750;0.9519;0.9962;0.5833;0.9024;0.9917;0.7538;1.0000;0.8398
0.7614;0.9800;0.9658;0.9962;0.6284;0.8902;0.9917;0.7538;1.0000;0.8521
0.7766;0.9750;0.9621;0.9962;0.6374;0.9024;0.9917;0.7917;1.0000;0.8706
0.8071;0.9850;0.9695;0.9962;0.6667;0.9024;0.9917;0.7879;1.0000;0.8798
0.7868;0.9650;0.9667;0.9981;0.6644;0.9024;0.9917;0.7992;1.0000;0.8937
0.8274;0.9650;0.9723;0.9981;0.6779;0.9024;0.9917;0.8295;1.0000;0.9199
0.8223;0.9700;0.9704;0.9981;0.7275;0.9024;0.9917;0.8333;1.0000;0.9168
0.8629;0.9650;0.9723;0.9981;0.7387;0.9146;0.9917;0.8182;1.0000;0.9122
0.8426;0.9650;0.9713;0.9981;0.7523;0.9390;0.9917;0.8485;1.0000;0.9307
0.8376;0.9650;0.9713;0.9981;0.7545;0.9268;0.9917;0.8485;1.0000;0.9291
0.8477;0.9650;0.9686;0.9981;0.7635;0.9390;0.9917;0.8371;1.0000;0.9260
0.8528;0.9650;0.9695;0.9981;0.7523;0.9390;0.9917;0.8636;1.0000;0.9399
0.8579;0.9800;0.9787;0.9981;0.7905;0.9512;0.9917;0.8485;1.0000;0.9476
0.8680;0.9800;0.9741;0.9981;0.7770;0.9512;0.9917;0.8598;1.0000;0.9430
0.8731;0.9650;0.9750;0.9981;0.7793;0.9756;0.9917;0.8598;1.0000;0.9476
0.8832;0.9550;0.9824;0.9943;0.7838;0.9756;0.9917;0.8826;1.0000;0.9492
0.8680;0.9550;0.9760;0.9981;0.8176;0.9634;0.9917;0.8598;1.0000;0.9507
0.8832;0.9550;0.9834;0.9962;0.7883;0.9756;0.9917;0.8636;1.0000;0.9507
0.8731;0.9550;0.9723;0.9981;0.8176;0.9756;0.9917;0.8636;1.0000;0.9615
0.8883;0.9550;0.9760;0.9981;0.8288;0.9634;0.9917;0.8636;1.0000;0.9569
0.8477;0.9550;0.9778;0.9981;0.8176;0.9634;0.9917;0.8712;1.0000;0.9599
0.8985;0.9550;0.9815;0.9962;0.8018;0.9634;0.9917;0.9015;1.0000;0.9676
0.8883;0.9550;0.9824;0.9943;0.8739;0.9756;0.9917;0.8864;1.0000;0.9646
0.8832;0.9550;0.9824;0.9962;0.8468;0.9756;0.9917;0.8674;1.0000;0.9615
0.8832;0.9550;0.9824;0.9943;0.8694;0.9756;0.9917;0.8826;1.0000;0.9676
0.8934;0.9550;0.9834;0.9943;0.8514;0.9756;0.9917;0.8826;1.0000;0.9692
0.8985;0.9450;0.9852;0.9943;0.8626;0.9756;0.9917;0.8977;1.0000;0.9723
0.9036;0.9550;0.9852;0.9943;0.8851;0.9756;0.9917;0.8826;1.0000;0.9692
0.9036;0.9550;0.9861;0.9943;0.8761;1.0000;0.9917;0.8902;1.0000;0.9707
0.9391;0.9550;0.9787;0.9962;0.8941;0.9756;0.9917;0.8977;1.0000;0.9707
0.9086;0.9550;0.9861;0.9925;0.8941;0.9756;0.9917;0.9167;1.0000;0.9692
0.9239;0.9550;0.9834;0.9925;0.8806;0.9756;0.9833;0.9015;1.0000;0.9769
0.9137;0.9550;0.9843;0.9943;0.8941;0.9756;0.9917;0.8826;1.0000;0.9661
0.9391;0.9550;0.9898;0.9925;0.9054;1.0000;0.9833;0.9205;1.0000;0.9846
0.9391;0.9550;0.9880;0.9943;0.8851;0.9878;0.9833;0.9129;1.0000;0.9815
0.9036;0.9550;0.9898;0.9925;0.8896;0.9878;0.9833;0.9167;1.0000;0.9846
0.9543;0.9600;0.9871;0.9925;0.8941;1.0000;0.9833;0.9242;1.0000;0.9815
