#dataset: trafficsign
#way backdoor looks like: green_squares
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 5
#number of malicious sources: 0
#batch size: 64
#distribution of data: 20% classes on 20% data on 20% clients exclusively
#percentage of poisoned data in backdoored nodes: 1
#order of time backdoors being inserted: no
#model replacement: False
#starttime: 125252
class1;class2;class3;class4;class5;class6;class7;class8;class9;class10
0.;0.;1.;0.;0.;0.;0.;0.;0.;0.
0.;0.;1.;0.;0.;0.;0.;0.;0.;0.
0.;0.;1.;0.;0.;0.;0.;0.;0.;0.
0.1066;0.0000;0.9824;0.0000;0.8626;0.0000;0.0000;0.0000;0.0000;0.0000
0.6345;0.0000;0.9445;0.0000;0.8784;0.0000;0.1250;0.0000;0.0571;0.9199
0.7005;0.0000;0.9353;0.0000;0.9032;0.0000;0.7750;0.0000;0.0857;0.9414
0.9188;0.0000;0.9335;0.0000;0.9099;0.0366;0.8750;0.0114;0.0857;0.9584
0.9543;0.0000;0.9418;0.0000;0.9077;0.0732;0.9333;0.0417;0.1143;0.9646
0.9746;0.0000;0.9445;0.0000;0.9077;0.1098;0.9417;0.1023;0.2286;0.9661
0.9746;0.0000;0.9603;0.0000;0.9077;0.3293;0.9667;0.1742;0.4000;0.9599
0.9645;0.0000;0.9658;0.0000;0.9122;0.5000;0.9583;0.3295;0.4286;0.9599
0.9391;0.0000;0.9824;0.0000;0.9189;0.4756;0.9833;0.5000;0.4571;0.9569
0.9442;0.0000;0.9778;0.0000;0.9167;0.8537;0.9833;0.8561;0.5143;0.9492
0.9036;0.0000;0.9787;0.0019;0.9212;0.9024;0.9750;0.9129;0.6000;0.9584
0.9239;0.0000;0.9843;0.0019;0.9347;0.9024;0.9750;0.9242;0.6571;0.9584
0.9137;0.0000;0.9852;0.0075;0.9572;0.9634;0.9750;0.9545;0.7429;0.9630
0.9239;0.0000;0.9797;0.0094;0.9572;0.9634;0.9750;0.9811;0.8000;0.9661
0.9239;0.0000;0.9852;0.0245;0.9662;0.9878;0.9833;0.9545;0.8286;0.9630
0.9239;0.0000;0.9861;0.0302;0.9617;0.9756;0.9917;0.9583;0.9143;0.9676
0.9289;0.0000;0.9834;0.0868;0.9617;0.9756;0.9917;0.9811;0.9429;0.9707
0.9289;0.0000;0.9880;0.1057;0.9595;0.9878;0.9917;0.9659;0.9714;0.9753
0.9340;0.0000;0.9871;0.1245;0.9459;0.9756;0.9917;0.9811;0.9714;0.9784
0.9340;0.0000;0.9889;0.1151;0.9459;0.9878;0.9917;0.9811;1.0000;0.9861
0.9340;0.0000;0.9889;0.1170;0.9527;0.9878;0.9917;0.9773;1.0000;0.9846
0.9340;0.0000;0.9880;0.2358;0.9550;1.0000;0.9917;0.9735;1.0000;0.9846
0.9340;0.0000;0.9880;0.2189;0.9572;0.9878;0.9917;0.9773;0.9714;0.9800
0.9289;0.0000;0.9871;0.2264;0.9572;1.0000;0.9917;0.9848;1.0000;0.9861
0.9391;0.0000;0.9871;0.3245;0.9572;1.0000;0.9917;0.9848;0.9714;0.9831
0.9391;0.0000;0.9861;0.4264;0.9572;1.0000;0.9917;0.9886;1.0000;0.9861
0.9492;0.0000;0.9898;0.4208;0.9459;1.0000;0.9917;0.9773;0.9429;0.9923
0.9340;0.0100;0.9935;0.3943;0.9572;1.0000;0.9917;0.9811;0.9714;0.9846
0.9543;0.0050;0.9917;0.4528;0.9482;1.0000;0.9917;0.9924;1.0000;0.9831
0.9492;0.0000;0.9917;0.5283;0.9640;1.0000;0.9917;0.9811;0.9714;0.9846
0.9594;0.0050;0.9908;0.5264;0.9685;1.0000;0.9917;0.9886;1.0000;0.9831
0.9543;0.0300;0.9908;0.5226;0.9550;1.0000;0.9917;0.9848;1.0000;0.9846
0.9594;0.0050;0.9935;0.5358;0.9550;1.0000;0.9917;0.9773;0.9714;0.9846
0.9594;0.0150;0.9908;0.5736;0.9595;1.0000;0.9917;0.9886;0.9714;0.9846
0.9594;0.0100;0.9908;0.6245;0.9617;1.0000;0.9917;0.9924;0.9714;0.9815
0.9543;0.0250;0.9908;0.6623;0.9572;1.0000;0.9917;0.9886;1.0000;0.9861
0.9645;0.0800;0.9889;0.7415;0.9662;1.0000;0.9917;0.9924;1.0000;0.9861
0.9543;0.0200;0.9908;0.7075;0.9572;1.0000;0.9917;0.9886;1.0000;0.9908
0.9594;0.0300;0.9945;0.5340;0.9572;1.0000;0.9917;0.9886;0.9714;0.9831
0.9594;0.0850;0.9945;0.6528;0.9595;1.0000;0.9917;0.9886;0.9714;0.9877
0.9645;0.0350;0.9945;0.6245;0.9595;1.0000;0.9917;0.9811;0.9714;0.9892
0.9543;0.0950;0.9954;0.5434;0.9595;1.0000;0.9917;0.9886;0.9714;0.9846
0.9594;0.0400;0.9954;0.5943;0.9617;1.0000;0.9917;0.9773;0.9714;0.9877
0.9695;0.1450;0.9945;0.6509;0.9707;1.0000;0.9917;0.9848;0.9714;0.9861
0.9594;0.1700;0.9889;0.7811;0.9775;1.0000;0.9917;0.9924;1.0000;0.9877
0.9645;0.0550;0.9963;0.6849;0.9730;1.0000;0.9917;0.9697;0.9714;0.9892
0.9746;0.0700;0.9954;0.6094;0.9730;1.0000;0.9917;0.9697;0.9714;0.9877
0.9746;0.1350;0.9935;0.7679;0.9685;1.0000;0.9917;0.9811;0.9714;0.9877
0.9797;0.1050;0.9963;0.5792;0.9730;1.0000;0.9917;0.9773;0.9714;0.9861
0.9695;0.1050;0.9945;0.6887;0.9887;1.0000;0.9917;0.9583;0.9714;0.9861
0.9797;0.0500;0.9954;0.6736;0.9820;1.0000;0.9917;0.9811;0.9714;0.9877
0.9695;0.1000;0.9945;0.6151;0.9820;1.0000;0.9917;0.9848;0.9714;0.9877
0.9797;0.1500;0.9954;0.7264;0.9707;1.0000;0.9917;0.9811;0.9714;0.9877
0.9848;0.1600;0.9954;0.7623;0.9595;1.0000;0.9917;0.9886;0.9714;0.9877
0.9848;0.1950;0.9926;0.7075;0.9775;1.0000;0.9917;0.9886;0.9714;0.9908
0.9848;0.1350;0.9963;0.7208;0.9572;1.0000;0.9917;0.9811;0.9714;0.9877
0.9797;0.1600;0.9954;0.7566;0.9775;1.0000;0.9917;0.9886;0.9714;0.9877
0.9898;0.1850;0.9963;0.6566;0.9617;1.0000;0.9917;0.9621;0.9714;0.9877
0.9898;0.1900;0.9945;0.7491;0.9842;1.0000;0.9917;0.9811;0.9714;0.9861
0.9949;0.3200;0.9945;0.6887;0.9685;1.0000;0.9917;0.9811;0.9714;0.9861
0.9797;0.2100;0.9945;0.8208;0.9640;1.0000;0.9917;0.9924;0.9714;0.9877
0.9746;0.3850;0.9954;0.7698;0.9640;1.0000;0.9917;0.9848;0.9714;0.9892
0.9797;0.3900;0.9954;0.7491;0.9640;1.0000;0.9917;0.9886;0.9714;0.9877
0.9949;0.3750;0.9945;0.7698;0.9842;1.0000;0.9917;0.9924;0.9714;0.9877
1.0000;0.3000;0.9963;0.7981;0.9707;1.0000;0.9917;0.9659;0.9714;0.9861
0.9949;0.3000;0.9963;0.8132;0.9842;1.0000;0.9917;0.9848;0.9714;0.9877
0.9848;0.4350;0.9954;0.8170;0.9707;1.0000;0.9917;0.9924;0.9714;0.9877
0.9898;0.4350;0.9926;0.8660;0.9752;1.0000;0.9917;0.9848;0.9714;0.9877
0.9848;0.5550;0.9945;0.7717;0.9910;1.0000;0.9917;0.9811;0.9714;0.9877
1.0000;0.4200;0.9935;0.8283;0.9730;1.0000;0.9917;0.9773;0.9714;0.9892
0.9848;0.6150;0.9926;0.7849;0.9707;1.0000;0.9917;0.9886;0.9714;0.9877
0.9949;0.3900;0.9926;0.8453;0.9550;1.0000;0.9917;0.9886;0.9714;0.9877
1.0000;0.4600;0.9963;0.8321;0.9640;1.0000;0.9917;0.9924;0.9714;0.9877
0.9949;0.4500;0.9954;0.7453;0.9775;1.0000;0.9917;0.9735;0.9714;0.9892
0.9949;0.5100;0.9945;0.8434;0.9910;1.0000;0.9917;0.9924;0.9714;0.9877
0.9949;0.4550;0.9935;0.7943;0.9887;1.0000;0.9917;0.9735;0.9714;0.9877
1.0000;0.4150;0.9917;0.8679;0.9685;1.0000;0.9917;0.9659;0.9714;0.9892
0.9898;0.4200;0.9908;0.8887;0.9640;1.0000;0.9917;0.9924;1.0000;0.9892
1.0000;0.5200;0.9917;0.8906;0.9707;1.0000;0.9917;0.9773;0.9714;0.9877
0.9949;0.4350;0.9898;0.8604;0.9820;1.0000;0.9917;0.9583;0.9714;0.9892
0.9949;0.4600;0.9954;0.8698;0.9865;1.0000;0.9917;0.9848;0.9714;0.9877
1.0000;0.5500;0.9954;0.8774;0.9752;1.0000;0.9917;0.9583;0.9714;0.9908
0.9949;0.5900;0.9926;0.8792;0.9910;1.0000;0.9917;0.9848;0.9714;0.9877
1.0000;0.5500;0.9889;0.8887;0.9775;1.0000;0.9917;0.9697;0.9714;0.9846
1.0000;0.5500;0.9889;0.8679;0.9865;1.0000;0.9917;0.9773;0.9714;0.9892
1.0000;0.5700;0.9871;0.8528;0.9685;1.0000;0.9917;0.9924;1.0000;0.9877
1.0000;0.7200;0.9935;0.8755;0.9797;1.0000;0.9917;0.9848;0.9714;0.9877
1.0000;0.5450;0.9908;0.8849;0.9865;1.0000;0.9917;0.9886;1.0000;0.9892
1.0000;0.5850;0.9926;0.8585;0.9910;1.0000;0.9917;0.9962;0.9714;0.9877
1.0000;0.4750;0.9898;0.9000;0.9640;1.0000;0.9917;0.9735;1.0000;0.9954
1.0000;0.7000;0.9917;0.8906;0.9910;1.0000;0.9917;0.9848;0.9714;0.9877
1.0000;0.6750;0.9926;0.8849;0.9775;1.0000;0.9917;0.9773;1.0000;0.9908
1.0000;0.6300;0.9945;0.7943;0.9775;1.0000;0.9917;0.9811;1.0000;0.9908
1.0000;0.7500;0.9935;0.8698;0.9910;1.0000;0.9917;0.9962;0.9714;0.9892
1.0000;0.6650;0.9889;0.8679;0.9865;1.0000;0.9917;0.9886;0.9714;0.9892
1.0000;0.6400;0.9889;0.7943;0.9797;1.0000;0.9917;0.9924;1.0000;0.9892
0.9949;0.6650;0.9935;0.8340;0.9775;1.0000;0.9917;0.9773;0.9714;0.9877
