#dataset: trafficsign
#way backdoor looks like: green_squares
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 5
#number of malicious sources: 0
#batch size: 64
#distribution of data: 50% classes on 50% data on 20% clients exclusively
#percentage of poisoned data in backdoored nodes: 1
#order of time backdoors being inserted: no
#model replacement: True
#starttime: 082200
class1;class2;class3;class4;class5;class6;class7;class8;class9;class10
0.;0.;1.;0.;0.;0.;0.;0.;0.;0.
0.;0.;1.;0.;0.;0.;0.;0.;0.;0.
0.;0.;1.;0.;0.;0.;0.;0.;0.;0.
0.;0.;1.;0.;0.;0.;0.;0.;0.;0.
0.;0.;1.;0.;0.;0.;0.;0.;0.;0.
0.;0.;1.;0.;0.;0.;0.;0.;0.;0.
0.3198;0.0000;0.9797;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0.0000;0.9450;0.9630;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0.1726;0.9450;0.9677;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0.1269;0.9650;0.9723;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0.2690;0.9600;0.9778;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0.2792;0.9650;0.9806;0.0000;0.0000;0.0000;0.0083;0.0000;0.0000;0.0000
0.2944;0.9700;0.9750;0.0000;0.0000;0.0000;0.2750;0.0000;0.0000;0.0000
0.4670;0.9700;0.9760;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000
0.4873;0.9750;0.9741;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0385
0.6802;0.9700;0.9806;0.0000;0.0000;0.0000;1.0000;0.0000;0.0857;0.0740
0.7462;0.9700;0.9787;0.0000;0.0000;0.0000;1.0000;0.0000;0.0857;0.0863
0.6853;0.9850;0.9769;0.0000;0.0000;0.0000;1.0000;0.0000;0.2000;0.1418
0.8883;0.9700;0.9778;0.0000;0.0000;0.0000;1.0000;0.0000;0.3714;0.0786
0.9492;0.9650;0.9741;0.0000;0.0000;0.0000;1.0000;0.0000;0.4000;0.0647
0.9188;0.9750;0.9704;0.0000;0.0000;0.0000;1.0000;0.0000;0.5143;0.0801
0.9594;0.9650;0.9769;0.0000;0.0000;0.0000;1.0000;0.0000;0.5429;0.0478
0.9594;0.9700;0.9741;0.0000;0.0023;0.0000;1.0000;0.0000;0.7143;0.0663
0.9746;0.9600;0.9769;0.0000;0.0135;0.0000;1.0000;0.0000;0.7714;0.0647
0.9645;0.9650;0.9769;0.0000;0.0360;0.0000;1.0000;0.0000;0.8857;0.0693
0.9645;0.9700;0.9750;0.0000;0.1194;0.0000;1.0000;0.0000;1.0000;0.0339
0.9746;0.9600;0.9787;0.0000;0.1532;0.0000;1.0000;0.0000;1.0000;0.0324
0.9746;0.9750;0.9778;0.0000;0.1847;0.0000;1.0000;0.0000;1.0000;0.0616
0.9645;0.9750;0.9806;0.0000;0.2162;0.0000;1.0000;0.0000;1.0000;0.0847
0.9797;0.9650;0.9843;0.0000;0.3198;0.0000;1.0000;0.0000;1.0000;0.1695
0.9848;0.9650;0.9880;0.0038;0.3626;0.0000;1.0000;0.0000;1.0000;0.1356
0.9797;0.9750;0.9861;0.0038;0.3941;0.0000;1.0000;0.0000;1.0000;0.1818
0.9848;0.9600;0.9861;0.0151;0.3941;0.0000;1.0000;0.0000;1.0000;0.1695
0.9848;0.9700;0.9843;0.0151;0.4459;0.0000;1.0000;0.0000;1.0000;0.5023
0.9898;0.9400;0.9834;0.0075;0.3761;0.0000;1.0000;0.0000;1.0000;0.4777
0.9848;0.9500;0.9908;0.0208;0.5518;0.0000;1.0000;0.0000;1.0000;0.4160
0.9848;0.9650;0.9889;0.1302;0.5495;0.0000;1.0000;0.0000;1.0000;0.4807
0.9848;0.9400;0.9871;0.0736;0.5473;0.0000;1.0000;0.0000;1.0000;0.4946
0.9848;0.9550;0.9871;0.2491;0.6329;0.0000;1.0000;0.0000;1.0000;0.6394
0.9848;0.9500;0.9908;0.3962;0.6959;0.0000;1.0000;0.0000;1.0000;0.5239
0.9848;0.9050;0.9908;0.1604;0.6914;0.0000;1.0000;0.0000;1.0000;0.6888
0.9949;0.9050;0.9898;0.0264;0.6892;0.0000;1.0000;0.0000;1.0000;0.6287
0.9848;0.9550;0.9898;0.4208;0.6937;0.0000;1.0000;0.0000;1.0000;0.6564
0.9848;0.9300;0.9898;0.4170;0.7095;0.0000;1.0000;0.0000;1.0000;0.7304
0.9848;0.9200;0.9908;0.2679;0.7162;0.0000;1.0000;0.0000;1.0000;0.6425
0.9898;0.9150;0.9908;0.4566;0.7545;0.0000;1.0000;0.0000;1.0000;0.7627
0.9848;0.9200;0.9889;0.6057;0.7658;0.0000;1.0000;0.0000;1.0000;0.7627
0.9848;0.9150;0.9935;0.6321;0.7500;0.0000;1.0000;0.0000;1.0000;0.7797
0.9848;0.9550;0.9935;0.6547;0.7658;0.0000;1.0000;0.0000;1.0000;0.6888
0.9848;0.9200;0.9898;0.5528;0.7815;0.0000;1.0000;0.0000;1.0000;0.7720
0.9949;0.9050;0.9908;0.5434;0.7883;0.0000;1.0000;0.0000;1.0000;0.7227
0.9848;0.9250;0.9926;0.7245;0.8018;0.0000;1.0000;0.0000;1.0000;0.7797
0.9848;0.9250;0.9926;0.7585;0.8378;0.0000;1.0000;0.0000;1.0000;0.7874
0.9848;0.9200;0.9908;0.7943;0.8063;0.0000;1.0000;0.0000;1.0000;0.7904
0.9848;0.9250;0.9898;0.6830;0.8243;0.0000;1.0000;0.0000;1.0000;0.7797
0.9848;0.9200;0.9898;0.8302;0.8333;0.0000;1.0000;0.0000;1.0000;0.8305
0.9949;0.9150;0.9917;0.8170;0.8018;0.0000;1.0000;0.0000;1.0000;0.8151
0.9848;0.9250;0.9917;0.8208;0.8131;0.0000;1.0000;0.0000;1.0000;0.7119
0.9898;0.9150;0.9935;0.7528;0.8378;0.0000;1.0000;0.0000;1.0000;0.7227
0.9746;0.9500;0.9945;0.8358;0.7725;0.0000;0.9917;0.0000;1.0000;0.8136
0.9848;0.9200;0.9926;0.7755;0.8514;0.0000;0.9917;0.0000;1.0000;0.7473
0.9797;0.9400;0.9917;0.8415;0.8514;0.0000;0.9917;0.0758;1.0000;0.7319
0.9898;0.9200;0.9898;0.6264;0.8311;0.0000;1.0000;0.0000;1.0000;0.7904
0.9797;0.9300;0.9917;0.8245;0.8739;0.0000;0.9917;0.0000;1.0000;0.8320
0.9797;0.9400;0.9935;0.8208;0.8559;0.0000;1.0000;0.0114;1.0000;0.8413
0.9898;0.9200;0.9917;0.8755;0.8491;0.0000;1.0000;0.0000;1.0000;0.8182
0.9949;0.9150;0.9935;0.7491;0.8559;0.0000;1.0000;0.0000;1.0000;0.8290
1.0000;0.9100;0.9945;0.8547;0.8491;0.0000;0.9917;0.1061;1.0000;0.7565
0.9797;0.9450;0.9935;0.6038;0.8468;0.0000;0.9917;0.0833;1.0000;0.8552
0.9949;0.9200;0.9917;0.8811;0.8626;0.0000;0.9917;0.0265;1.0000;0.7535
0.9898;0.9300;0.9945;0.7811;0.8514;0.0000;0.9917;0.0000;1.0000;0.8089
1.0000;0.9000;0.9926;0.8038;0.8626;0.0000;0.9917;0.0265;1.0000;0.8552
1.0000;0.9150;0.9926;0.8208;0.8514;0.0000;0.9917;0.1970;1.0000;0.7165
0.9848;0.9400;0.9926;0.7208;0.8716;0.0000;0.9917;0.0644;1.0000;0.8351
1.0000;0.9200;0.9917;0.8811;0.8288;0.0000;0.9917;0.2121;1.0000;0.8336
1.0000;0.9050;0.9935;0.8358;0.8581;0.0000;0.9917;0.2841;1.0000;0.8012
0.9898;0.9250;0.9926;0.8830;0.8964;0.0000;0.9917;0.3598;1.0000;0.8398
1.0000;0.9200;0.9917;0.8962;0.8851;0.0000;0.9917;0.4394;1.0000;0.8536
0.9898;0.9250;0.9935;0.8528;0.8806;0.0000;0.9917;0.1970;1.0000;0.8274
0.9848;0.9650;0.9935;0.8962;0.8851;0.0122;0.9917;0.0833;1.0000;0.8737
1.0000;0.9050;0.9935;0.7962;0.8626;0.0000;0.9917;0.0076;1.0000;0.8228
0.9949;0.9050;0.9945;0.7132;0.8604;0.0000;0.9917;0.0076;1.0000;0.8398
1.0000;0.9250;0.9935;0.8962;0.8806;0.0122;0.9917;0.7273;1.0000;0.8444
0.9848;0.9550;0.9908;0.9226;0.8761;0.0122;0.9917;0.5000;1.0000;0.8459
0.9949;0.9500;0.9917;0.8906;0.8874;0.0244;1.0000;0.1780;1.0000;0.8629
1.0000;0.9200;0.9945;0.7830;0.8851;0.0366;0.9917;0.6591;1.0000;0.8305
0.9848;0.9600;0.9935;0.8453;0.8851;0.0122;0.9917;0.3561;1.0000;0.8937
1.0000;0.9350;0.9954;0.8981;0.8896;0.0244;0.9917;0.2008;1.0000;0.8690
1.0000;0.9250;0.9945;0.7906;0.8874;0.0122;1.0000;0.8144;1.0000;0.8197
1.0000;0.9200;0.9945;0.8642;0.8986;0.0366;0.9917;0.3636;1.0000;0.8937
1.0000;0.9100;0.9945;0.8226;0.8874;0.0000;0.9917;0.6705;1.0000;0.8721
1.0000;0.9250;0.9945;0.8113;0.8716;0.0610;0.9917;0.0492;1.0000;0.8151
1.0000;0.9000;0.9935;0.8962;0.8851;0.1220;0.9917;0.7197;1.0000;0.8906
1.0000;0.8950;0.9945;0.8698;0.8919;0.1341;0.9917;0.8068;1.0000;0.8505
1.0000;0.9100;0.9945;0.8038;0.8829;0.0122;0.9917;0.8258;1.0000;0.8644
0.9898;0.9550;0.9935;0.8943;0.8829;0.1951;0.9917;0.8523;1.0000;0.7997
0.9949;0.9600;0.9945;0.8811;0.8896;0.0854;0.9917;0.7765;1.0000;0.8690
1.0000;0.9100;0.9945;0.8811;0.8784;0.4268;0.9917;0.6667;1.0000;0.8629
1.0000;0.9650;0.9945;0.8962;0.8806;0.0244;0.9917;0.8068;1.0000;0.8490
1.0000;0.9650;0.9963;0.8849;0.8829;0.3293;0.9917;0.7614;1.0000;0.8706
