#dataset: trafficsign
#way backdoor looks like: green_squares
#merge strategy: sequential
#number of benign sources: 10
#number of malicious sources: 0
#batch size: 64
#distribution of data: 50% classes in only 20% of the clients
#percentage of poisoned data in backdoored nodes: NONE
#order of time backdoors being inserted: NONE
#attack model: basic
#starttime: 125856
class1;class2;class3;class4;class5;class6;class7;class8;class9;class10
0.0000;0.0000;0.9529;0.0000;0.8378;0.0000;0.0000;0.0000;0.0000;0.0108
0.3503;0.7500;0.9501;0.8717;0.8108;0.0000;0.0000;0.0000;0.0000;0.9892
0.7868;0.7650;0.9880;0.9566;0.9144;0.0000;0.6333;0.0000;0.4000;0.9815
0.8376;0.8700;0.9917;0.9679;0.9595;0.7683;0.9083;0.8409;0.9143;0.9461
0.8883;0.8650;0.9898;0.9774;0.9685;0.9512;0.9167;0.8939;0.9714;0.9615
0.9137;0.8650;0.9871;0.9755;0.9730;0.9756;0.9250;0.9470;1.0000;0.9723
0.9137;0.8850;0.9871;0.9811;0.9595;0.9878;0.9500;0.9508;1.0000;0.9753
0.9543;0.8850;0.9898;0.9830;0.9572;1.0000;0.9583;0.9394;1.0000;0.9753
0.9543;0.8850;0.9889;0.9868;0.9707;1.0000;0.9667;0.9394;1.0000;0.9753
0.9695;0.8850;0.9917;0.9830;0.9662;1.0000;0.9750;0.9394;1.0000;0.9753
0.9746;0.8850;0.9898;0.9830;0.9640;0.9878;0.9667;0.9583;1.0000;0.9769
0.9746;0.9050;0.9852;0.9887;0.9617;1.0000;0.9750;0.9583;1.0000;0.9800
0.9746;0.8900;0.9908;0.9811;0.9797;1.0000;0.9833;0.9583;1.0000;0.9831
0.9746;0.9050;0.9917;0.9887;0.9505;1.0000;0.9833;0.9508;1.0000;0.9892
0.9746;0.8800;0.9908;0.9868;0.9797;1.0000;0.9833;0.9583;1.0000;0.9877
0.9746;0.9050;0.9871;0.9906;0.9662;1.0000;0.9833;0.9545;1.0000;0.9908
0.9746;0.9050;0.9908;0.9868;0.9842;1.0000;0.9833;0.9621;1.0000;0.9861
0.9746;0.9050;0.9908;0.9887;0.9572;1.0000;0.9833;0.9545;1.0000;0.9923
0.9746;0.9050;0.9917;0.9868;0.9797;1.0000;0.9833;0.9583;1.0000;0.9908
0.9746;0.8900;0.9908;0.9849;0.9820;1.0000;0.9833;0.9583;1.0000;0.9861
0.9746;0.9100;0.9917;0.9849;0.9797;1.0000;0.9833;0.9583;1.0000;0.9908
0.9797;0.9100;0.9917;0.9906;0.9640;1.0000;0.9833;0.9621;1.0000;0.9908
0.9746;0.9050;0.9917;0.9906;0.9662;1.0000;0.9833;0.9583;1.0000;0.9877
0.9746;0.9250;0.9917;0.9887;0.9730;1.0000;0.9833;0.9583;1.0000;0.9877
0.9746;0.9000;0.9926;0.9887;0.9662;1.0000;0.9833;0.9583;1.0000;0.9908
0.9797;0.9250;0.9917;0.9906;0.9842;1.0000;0.9833;0.9583;1.0000;0.9908
0.9848;0.9250;0.9926;0.9887;0.9685;1.0000;0.9833;0.9697;1.0000;0.9861
0.9797;0.9350;0.9917;0.9906;0.9685;1.0000;0.9833;0.9621;1.0000;0.9892
0.9898;0.9100;0.9926;0.9887;0.9842;1.0000;0.9833;0.9545;1.0000;0.9923
0.9898;0.9300;0.9926;0.9887;0.9842;1.0000;0.9833;0.9621;1.0000;0.9908
0.9848;0.9350;0.9917;0.9906;0.9730;1.0000;0.9833;0.9583;1.0000;0.9908
0.9848;0.9150;0.9926;0.9868;0.9820;1.0000;0.9833;0.9621;1.0000;0.9908
0.9848;0.9300;0.9917;0.9887;0.9752;1.0000;0.9833;0.9659;1.0000;0.9908
0.9848;0.9350;0.9917;0.9887;0.9775;1.0000;0.9750;0.9659;1.0000;0.9938
0.9848;0.9350;0.9917;0.9887;0.9775;1.0000;0.9833;0.9659;1.0000;0.9892
0.9848;0.9300;0.9926;0.9887;0.9865;1.0000;0.9833;0.9621;1.0000;0.9908
0.9898;0.9350;0.9926;0.9887;0.9820;1.0000;0.9833;0.9621;1.0000;0.9923
0.9848;0.9300;0.9917;0.9887;0.9865;1.0000;0.9833;0.9659;1.0000;0.9892
