#merge strategy: sequential
#number of distributed sources: 5
#batch size: 50
#distribution of data: equally distributed subset
#percentage of backdoored nodes: 0.2
#percentage of poisoned data in backdoored nodes: 100
#way backdoor looks like: green_squares
#order of time: backdoors first
#attack model: basic
#starttime: 105118
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.01;0.821976363658905;2.6756167084913334;0.0;105222
normal;1;0.01;2.125992774963379;1.7762049984144497;45.767416042187065;105638
backdoor;2;0.01;0.40575847029685974;3.9794496411321694;0.0;105757
normal;2;0.01;1.5905977487564087;0.9299816073906148;74.10491257285595;110158
backdoor;3;0.01;0.35445335507392883;5.870607323690219;6.855398279211768;110316
normal;3;0.01;0.9840179085731506;0.5602795769117489;80.57174576741605;110717
backdoor;4;0.01;0.22901682555675507;8.070246838610139;7.29947266167083;110835
normal;4;0.01;0.6275395154953003;0.3540426034665409;86.70552317513183;111236
backdoor;5;0.01;0.23734921216964722;9.182105194354369;6.189286705523175;111355
normal;5;0.01;0.39106065034866333;0.22251483418053633;93.83846794338052;111803
backdoor;6;0.01;0.24757222831249237;9.52372800566043;6.07826810990841;111924
normal;6;0.01;0.2720777690410614;0.16227384847920992;95.89231196225367;112340
backdoor;7;0.01;0.26031622290611267;9.539261009572051;6.133777407715792;112500
normal;7;0.01;0.21887099742889404;0.13600858187281234;96.61393283374966;112910
backdoor;8;0.01;0.26123732328414917;9.517903584954873;6.189286705523175;113031
normal;8;0.01;0.18627797067165375;0.11564836196036342;97.0857618651124;113502
backdoor;9;0.01;0.2565779685974121;9.3179932072068;6.522342492367471;113624
normal;9;0.01;0.16598831117153168;0.10358151192818217;97.33555370524563;114040
backdoor;10;0.01;0.26357173919677734;9.253308392815082;6.938662225922842;114201
normal;10;0.01;0.14693783223628998;0.09566329154739756;97.55759089647516;114620
backdoor;11;0.01;0.2542768716812134;8.890601052531196;7.466000555092978;114744
normal;11;0.01;0.13461171090602875;0.09270799723162378;97.58534554537886;115212
backdoor;12;0.01;0.24406205117702484;8.68363190266347;8.354149320011102;115332
normal;12;0.01;0.12303107976913452;0.08938232605557377;97.7796280877047;115741
backdoor;13;0.01;0.22078853845596313;8.50690995326745;9.13127948931446;115903
normal;13;0.01;0.11140546202659607;0.08203370028762563;97.7241187898973;120324
backdoor;14;0.01;0.218052938580513;7.931754381035289;10.380238689980573;120444
normal;14;0.01;0.1031237468123436;0.07693455729899745;97.89064668331946;120852
backdoor;15;0.01;0.19133806228637695;7.3462275937302985;13.155703580349709;121011
normal;15;0.01;0.09219597280025482;0.0749411932626675;97.89064668331946;121419
backdoor;16;0.01;0.17486315965652466;6.724629257375784;16.43075215098529;121537
normal;16;0.01;0.08815639466047287;0.0691166861953905;98.14043852345267;121945
backdoor;17;0.01;0.16035710275173187;6.136290876858108;20.177629752983623;122103
normal;17;0.01;0.08149179816246033;0.06585201386821062;98.16819317235637;122515
backdoor;18;0.01;0.14134730398654938;5.556545581713075;24.14654454621149;122633
normal;18;0.01;0.07250790297985077;0.06353576270033805;98.16819317235637;123041
backdoor;19;0.01;0.12637795507907867;4.846717343507725;29.00360810435748;123205
normal;19;0.01;0.06645478308200836;0.06304732194367321;98.3624757146822;123615
backdoor;20;0.01;0.1146562248468399;4.589083759678161;31.834582292533998;123736
normal;20;0.01;0.06299901753664017;0.05833521501335377;98.3902303635859;124149
backdoor;21;0.01;0.11055520176887512;3.672380550037382;40.07771301693034;124314
normal;21;0.01;0.059667278081178665;0.058895287048764365;98.47349431029697;124731
backdoor;22;0.01;0.0970764011144638;3.120327249289287;47.765750763252846;124851
normal;22;0.01;0.0527050606906414;0.055888990068801346;98.47349431029697;125302
backdoor;23;0.01;0.07996843010187149;2.836546685322271;51.1240632805995;125433
normal;23;0.01;0.05066829174757004;0.05795381613941627;98.19594782126006;125911
backdoor;24;0.01;0.08080752938985825;2.536519145276144;57.64640577296697;130032
normal;24;0.01;0.04784899204969406;0.0565240738336413;98.3902303635859;130509
backdoor;25;0.01;0.07513344287872314;2.0288288319370182;63.69691923397169;130631
normal;25;0.01;0.04366077855229378;0.055319324201096344;98.3902303635859;131102
backdoor;26;0.01;0.06094692274928093;1.5378810756168009;70.80210935331668;131235
normal;26;0.01;0.04111004248261452;0.05295139487728809;98.58451290591174;131715
backdoor;27;0.01;0.05673299357295036;1.4431914850333285;72.46738828753816;131851
normal;27;0.01;0.037579093128442764;0.05413663417751385;98.52900360810436;132328
backdoor;28;0.01;0.05858658626675606;1.1374364030229052;76.60283097418818;132500
normal;28;0.01;0.03447558730840683;0.05564892340987295;98.47349431029697;133012
backdoor;29;0.01;0.05011517554521561;1.132814388139943;78.1293366638912;133153
normal;29;0.01;0.033845432102680206;0.0517128461566154;98.66777685262281;133635
backdoor;30;0.01;0.04729665815830231;0.8910358239229348;81.15459339439356;133802
normal;30;0.01;0.031352296471595764;0.05366308173886901;98.50124895920067;134244
backdoor;31;0.01;0.04547800123691559;0.7201755600023565;84.34637801831806;134406
normal;31;0.01;0.02830735221505165;0.05199058096615738;98.64002220371913;134828
backdoor;32;0.01;0.04378941282629967;0.5833333108086083;86.70552317513183;135008
normal;32;0.01;0.028087928891181946;0.05515786796010404;98.50124895920067;135427
backdoor;33;0.01;0.03975818678736687;0.5644723915918426;86.89980571745767;135549
normal;33;0.01;0.02558405138552189;0.051306988988409005;98.55675825700804;140009
backdoor;34;0.01;0.03816123679280281;0.5462806275579376;87.42714404662782;140129
normal;34;0.01;0.02564193680882454;0.055090427285260105;98.55675825700804;140553
backdoor;35;0.01;0.033528804779052734;0.3938912112691833;90.09159034138219;140720
normal;35;0.01;0.02572637051343918;0.05178003863471413;98.55675825700804;141137
backdoor;36;0.01;0.04043936729431152;0.395746556799288;90.6744379683597;141259
normal;36;0.01;0.023289652541279793;0.05376693311258062;98.61226755481543;141727
backdoor;37;0.01;0.035486601293087006;0.33825291918455;91.50707743547044;141857
normal;37;0.01;0.021552804857492447;0.05088808504518175;98.6955315015265;142416
backdoor;38;0.01;0.03174614906311035;0.29182171604105583;92.47849014709963;142540
normal;38;0.01;0.02096467651426792;0.05077914118806038;98.7232861504302;143014
backdoor;39;0.01;0.03491080924868584;0.24176256912221522;93.44990285872883;143140
normal;39;0.01;0.0199806559830904;0.05245974764567517;98.77879544823757;143604
