#dataset: trafficsign
#way backdoor looks like: green_squares
#merge strategy: sequential
#number of benign sources: 10
#number of malicious sources: 0
#batch size: 64
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: NONE
#order of time backdoors being inserted: NONE
#attack model: basic
#starttime: 190642
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
normal;1;0.01;1.977191686630249;1.5133373552714657;50.37468776019983;190946
normal;2;0.01;1.0604501962661743;0.7144465232074112;72.60616153205662;191301
normal;3;0.01;0.5766673684120178;0.36533784868607677;87.53816264224258;191611
normal;4;0.01;0.33071595430374146;0.21213463339215347;94.14376908132112;191922
normal;5;0.01;0.20134013891220093;0.16647031957445427;95.53150152650569;192232
normal;6;0.01;0.15386629104614258;0.1404211757714438;96.69719678046073;192543
normal;7;0.01;0.12519486248493195;0.13385177590418218;96.22536774909797;192853
normal;8;0.01;0.11011645197868347;0.11635548428043231;97.00249791840133;193204
normal;9;0.01;0.09514303505420685;0.11421754710529286;96.55842353594227;193514
normal;10;0.01;0.07843704521656036;0.12613905936026185;96.39189564252013;193824
normal;11;0.01;0.07197976857423782;0.10804904983823542;96.91923397169026;194135
normal;12;0.01;0.06925126165151596;0.11454855713501155;96.55842353594227;194445
normal;13;0.01;0.05934176966547966;0.09504496604543278;97.4465723008604;194752
normal;14;0.01;0.05369984731078148;0.10105348401274825;97.05800721620872;195100
normal;15;0.01;0.04886079952120781;0.09888139322241836;97.391063003053;195407
normal;16;0.01;0.046569228172302246;0.09859779305595359;97.22453510963086;195714
normal;17;0.01;0.04394058138132095;0.11206993636576477;97.03025256730503;200021
normal;18;0.01;0.03816680610179901;0.0965757266400374;97.50208159866777;200328
normal;19;0.01;0.039128001779317856;0.09692700067005804;97.66860949208993;200635
normal;20;0.01;0.03263220936059952;0.1018945940627452;97.50208159866777;200942
normal;21;0.01;0.03205711022019386;0.0936149072242817;97.66860949208993;201248
normal;22;0.01;0.03312575817108154;0.10187187883269674;97.4188176519567;201555
normal;23;0.01;0.029682116582989693;0.09671505638506614;97.22453510963086;201902
normal;24;0.01;0.030270902439951897;0.10976112163293301;96.97474326949764;202209
normal;25;0.01;0.025956856086850166;0.09146415326027457;97.64085484318623;202515
