#dataset: trafficsign
#way backdoor looks like: backdoors_green_0_5
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 4
#number of malicious sources: 1
#batch size: 64
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 0.5
#order of time backdoors being inserted: no
#model replacement: True
#starttime: 095932
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.0001;tensor(2.2361, grad_fn=<DivBackward0>);1.2532614131718915;100.0;100255
normal;1;0.0001;tensor(2.1510, grad_fn=<DivBackward0>);2.171345355277124;5.4676658340271995;100255
backdoor;2;0.0001;tensor(2.0455, grad_fn=<DivBackward0>);1.5546219730721293;0.0;100631
normal;2;0.0001;tensor(2.0471, grad_fn=<DivBackward0>);2.028716864203401;30.03053011379406;100631
backdoor;3;0.0001;tensor(1.9239, grad_fn=<DivBackward0>);1.1901532775853496;71.55148487371635;101007
normal;3;0.0001;tensor(1.9273, grad_fn=<DivBackward0>);1.9563523979938728;21.92617263391618;101007
backdoor;4;0.0001;tensor(2.1477, grad_fn=<DivBackward0>);2.0221145962332145;6.217041354426867;101343
normal;4;0.0001;tensor(1.6345, grad_fn=<DivBackward0>);1.5670724345219655;44.82375797946156;101343
backdoor;5;0.0001;tensor(1.8774, grad_fn=<DivBackward0>);1.091475253035021;65.75076325284485;101718
normal;5;0.0001;tensor(1.3897, grad_fn=<DivBackward0>);1.6755805755369604;21.648626144879266;101718
backdoor;6;0.0001;tensor(2.0478, grad_fn=<DivBackward0>);1.8298686194545588;9.103524840410769;102059
normal;6;0.0001;tensor(1.2449, grad_fn=<DivBackward0>);1.2466016208797965;67.58257008048848;102059
backdoor;7;0.0001;tensor(1.4803, grad_fn=<DivBackward0>);1.0996983332532067;50.8187621426589;102437
normal;7;0.0001;tensor(1.0860, grad_fn=<DivBackward0>);1.279870413622193;41.659728004440744;102437
backdoor;8;0.0001;tensor(1.8251, grad_fn=<DivBackward0>);1.1564429243703436;40.1887316125451;102815
normal;8;0.0001;tensor(0.9094, grad_fn=<DivBackward0>);1.2979915517255924;53.34443519289481;102815
backdoor;9;0.0001;tensor(1.5850, grad_fn=<DivBackward0>);0.8976007530896358;55.6203164029975;103152
normal;9;0.0001;tensor(0.9893, grad_fn=<DivBackward0>);1.361600864208178;39.05079100749376;103152
backdoor;10;0.0001;tensor(1.7912, grad_fn=<DivBackward0>);1.21498075194601;53.12239800166528;103531
normal;10;0.0001;tensor(0.8580, grad_fn=<DivBackward0>);1.2036174720702753;51.401609769636416;103531
backdoor;11;0.0001;tensor(1.6658, grad_fn=<DivBackward0>);1.0816045475773701;43.519289480988064;103904
normal;11;0.0001;tensor(0.8187, grad_fn=<DivBackward0>);1.1196665394613883;50.29142381348876;103904
backdoor;12;0.0001;tensor(1.6359, grad_fn=<DivBackward0>);1.0704589232847885;42.18706633361088;104240
normal;12;0.0001;tensor(0.7925, grad_fn=<DivBackward0>);1.0268715261056494;58.45129059117402;104240
