#dataset: trafficsign
#way backdoor looks like: green_squares
#merge strategy: sequential
#number of benign sources: 10
#number of malicious sources: 0
#batch size: 64
#distribution of data: 20% classes in only 20% of the clients - exclusive classes first
#percentage of poisoned data in backdoored nodes: NONE
#order of time backdoors being inserted: NONE
#attack model: basic
#starttime: 080936
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
normal;1;0.01;1.6432342529296875;2.8897904468317215;56.23091867887871;081253
normal;2;0.01;0.9584728479385376;2.3781855549521653;61.06022758812101;081634
normal;3;0.01;0.6782030463218689;1.526651142737214;68.63724673882875;082012
normal;4;0.01;0.43461328744888306;1.3022043859879453;72.57840688315292;082348
normal;5;0.01;0.34147655963897705;1.1550048521544793;74.74326949764085;082724
normal;6;0.01;0.2582428455352783;0.9833904386624809;76.38079378295865;083101
normal;7;0.01;0.21504728496074677;0.8419878048493793;77.51873438800999;083436
normal;8;0.01;0.17879977822303772;0.6672957824113136;79.68359700249792;083812
normal;9;0.01;0.1479972004890442;0.5845131035254081;81.73744102137108;084148
normal;10;0.01;0.1275547742843628;0.4932601008686255;83.79128504024425;084523
normal;11;0.01;0.11433775722980499;0.4431081320041595;84.65167915625868;084858
normal;12;0.01;0.10102764517068863;0.3584204533206219;87.89897307799056;085233
normal;13;0.01;0.09025922417640686;0.304303089165134;90.0083263946711;085608
normal;14;0.01;0.08089545369148254;0.2755419553109271;90.9797391063003;085943
normal;15;0.01;0.07335352152585983;0.2432947184310465;92.11767971135166;090318
normal;16;0.01;0.06621450185775757;0.24138452484347503;92.22869830696642;090653
normal;17;0.01;0.05946092680096626;0.2393280281958964;92.56175409381072;091028
normal;18;0.01;0.056025173515081406;0.21244530199297743;93.17235636969193;091403
normal;19;0.01;0.04882137477397919;0.20935209020164727;93.50541215653622;091738
normal;20;0.01;0.046783000230789185;0.19562080976527704;93.61643075215099;092113
normal;21;0.01;0.0432211272418499;0.18144329811849025;94.28254232583957;092448
normal;22;0.01;0.04225844889879227;0.17573430107594196;94.36580627255066;092822
normal;23;0.01;0.03744428604841232;0.1756782222623493;94.28254232583957;093157
normal;24;0.01;0.03736225515604019;0.15214187782870972;94.89314460172079;093532
normal;25;0.01;0.034197449684143066;0.1538686342335209;94.78212600610603;093906
normal;26;0.01;0.03284965455532074;0.13829184290158017;95.1984457396614;094242
normal;27;0.01;0.029117755591869354;0.14235313075672013;95.25395503746877;094616
normal;28;0.01;0.027226820588111877;0.13156037156533965;95.8368026644463;094951
normal;29;0.01;0.02631673775613308;0.12722350794692672;95.75353871773522;095325
normal;30;0.01;0.027069341391324997;0.13852788307166786;95.44823757979462;095700
normal;31;0.01;0.024302244186401367;0.1256343330700744;96.1421038023869;100034
normal;32;0.01;0.02542952261865139;0.12541585545696377;96.08659450457952;100409
normal;33;0.01;0.023088965564966202;0.10874616104868384;96.7527060782681;100743
normal;34;0.01;0.02130322903394699;0.1133012228389628;96.7527060782681;101119
normal;35;0.01;0.021964699029922485;0.11195858320095407;96.61393283374966;101505
normal;36;0.01;0.02160711959004402;0.11163214581872705;96.69719678046073;101905
normal;37;0.01;0.018132196739315987;0.09886049329202219;97.1412711629198;102251
normal;38;0.01;0.019046174362301826;0.10111007301752657;97.0857618651124;102628
normal;39;0.01;0.017324013635516167;0.11087505739027902;97.16902581182347;103004
normal;40;0.01;0.017817828804254532;0.10021224341371145;97.05800721620872;103340
normal;41;0.01;0.016786586493253708;0.10342578530372723;97.05800721620872;103719
normal;42;0.01;0.017097655683755875;0.09390491156751958;97.22453510963086;104055
normal;43;0.01;0.013764601200819016;0.09204676375604555;97.55759089647516;104431
normal;44;0.01;0.015093132853507996;0.08801797547038462;97.61310019428254;104808
normal;45;0.01;0.017521193251013756;0.08746111353816749;97.52983624757147;105144
normal;46;0.01;0.014056220650672913;0.09202384521722326;97.52983624757147;105520
normal;47;0.01;0.01350497454404831;0.0931832300432649;97.47432694976409;105855
normal;48;0.01;0.01265149749815464;0.09149392875894892;97.7241187898973;110230
normal;49;0.01;0.012467127293348312;0.09336419428311862;97.58534554537886;110606
normal;50;0.01;0.012219533324241638;0.08489389913009535;97.86289203441576;110941
normal;51;0.01;0.011709027923643589;0.08028512055444051;97.94615598112684;111318
