#dataset: yale
#way backdoor looks like: green_squares
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 4
#number of malicious sources: 1
#batch size: 32
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 1.0
#order of time backdoors being inserted: no
#model replacement: False
#starttime: 180854
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.0001;0.0;6.906987190246582;100.0;180914
normal;1;0.0001;tensor(8.6463, grad_fn=<DivBackward0>);6.907337958996113;7.6923076923076925;180914
backdoor;2;0.0001;0.0;6.906114101409912;100.0;180935
normal;2;0.0001;tensor(8.6338, grad_fn=<DivBackward0>);6.9068516584543085;7.6923076923076925;180935
backdoor;3;0.0001;0.0;6.905125713348388;100.0;180954
normal;3;0.0001;tensor(8.6331, grad_fn=<DivBackward0>);6.906297397613526;7.6923076923076925;180954
backdoor;4;0.0001;0.0;6.903974533081055;100.0;181014
normal;4;0.0001;tensor(8.6322, grad_fn=<DivBackward0>);6.905642296717717;7.6923076923076925;181014
backdoor;5;0.0001;0.0;6.902572059631348;100.0;181034
normal;5;0.0001;tensor(8.6312, grad_fn=<DivBackward0>);6.904843176328219;7.6923076923076925;181034
backdoor;6;0.0001;0.0;6.900798225402832;100.0;181054
normal;6;0.0001;tensor(8.6299, grad_fn=<DivBackward0>);6.903811300717868;7.6923076923076925;181054
backdoor;7;0.0001;0.0;6.898399448394775;100.0;181115
normal;7;0.0001;tensor(8.6283, grad_fn=<DivBackward0>);6.902386107811561;7.6923076923076925;181115
backdoor;8;0.0001;0.0;6.894918537139892;100.0;181135
normal;8;0.0001;tensor(8.6259, grad_fn=<DivBackward0>);6.900281165196345;7.6923076923076925;181135
backdoor;9;0.0001;0.0;6.889428234100341;100.0;181155
normal;9;0.0001;tensor(8.6223, grad_fn=<DivBackward0>);6.896910058535062;7.6923076923076925;181155
backdoor;10;0.0001;0.0;6.879832649230957;100.0;181215
normal;10;0.0001;tensor(8.6163, grad_fn=<DivBackward0>);6.890955998347356;7.6923076923076925;181215
backdoor;11;0.0001;0.0;6.8606902122497555;100.0;181234
normal;11;0.0001;tensor(8.6051, grad_fn=<DivBackward0>);6.879009276169997;7.6923076923076925;181234
backdoor;12;0.0001;0.0;6.814447593688965;100.0;181254
normal;12;0.0001;tensor(8.5806, grad_fn=<DivBackward0>);6.8500777317927435;7.6923076923076925;181254
backdoor;13;0.0001;0.0;6.661521053314209;100.0;181314
normal;13;0.0001;tensor(8.5119, grad_fn=<DivBackward0>);6.754512376051682;7.6923076923076925;181314
backdoor;14;0.0001;0.0;5.9184699058532715;100.0;181334
normal;14;0.0001;tensor(8.2305, grad_fn=<DivBackward0>);6.292919789827787;7.6923076923076925;181334
backdoor;15;0.0001;0.0;1.9267656326293945;100.0;181354
normal;15;0.0001;tensor(6.6927, grad_fn=<DivBackward0>);3.980986998631404;7.6923076923076925;181354
backdoor;16;0.0001;0.0;0.5630880236625672;100.0;181417
normal;16;0.0001;tensor(4.0972, grad_fn=<DivBackward0>);3.4661308985490065;7.6923076923076925;181417
backdoor;17;0.0001;0.0;1.9082494974136353;100.0;181439
normal;17;0.0001;tensor(3.3350, grad_fn=<DivBackward0>);2.7520012342012845;7.6923076923076925;181439
backdoor;18;0.0001;0.0;2.458487033843994;100.0;181503
normal;18;0.0001;tensor(3.2398, grad_fn=<DivBackward0>);2.6313491821289063;7.6923076923076925;181503
backdoor;19;0.0001;0.0;2.478264665603638;0.0;181525
normal;19;0.0001;tensor(3.2322, grad_fn=<DivBackward0>);2.5825061834775482;7.6923076923076925;181525
