#dataset: gtsrb
#way backdoor looks like: backdoor_green_0_5_percent
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 4
#number of malicious sources: 1
#batch size: 512
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 1.0
#order of time backdoors being inserted: no
#model replacement: False
#starttime: 092839
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.0001;3.747851660377101;3.679831104172852;0.0;093048
normal;1;0.0001;4.687022566795349;3.6871566567077396;5.8511480601741885;093048
backdoor;2;0.0001;3.6777515913310803;3.7636348962972583;0.0;093509
normal;2;0.0001;4.467414824586165;3.502151385357903;6.516231195566112;093509
backdoor;3;0.0001;3.9736935966893245;4.021371322233151;0.0;093806
normal;3;0.0001;4.48743137246684;3.479896449967216;5.938242280285036;093806
backdoor;4;0.0001;4.103422616657458;4.113480167585238;0.0;094104
normal;4;0.0001;4.512622180737947;3.4706057780334523;5.7007125890736345;094104
backdoor;5;0.0001;4.146151668147037;4.173248092880914;0.0;094359
normal;5;0.0001;4.512924517455854;3.451456754054706;8.376880443388757;094359
backdoor;6;0.0001;4.15171984622353;4.091286132039292;0.0;094702
normal;6;0.0001;4.469328886584232;3.4122036774575664;8.044338875692794;094702
backdoor;7;0.0001;4.145557252984298;4.179631510030062;0.0;095002
normal;7;0.0001;4.420249659764139;3.364194622024693;9.429928741092636;095002
backdoor;8;0.0001;4.195477284883198;4.111844203100257;0.0;095300
normal;8;0.0001;4.376157722975078;3.257765179631829;12.921615201900238;095300
backdoor;9;0.0001;4.259679593537983;4.440217992642147;0.00791765637371338;095611
normal;9;0.0001;4.226798615957561;2.946455606806401;20.704671417260492;095611
backdoor;10;0.0001;4.871297761013634;5.308766823086772;0.15043547110055425;095908
normal;10;0.0001;4.071675906055852;2.6253699609993566;25.447347585114805;095908
backdoor;11;0.0001;5.460677623748779;5.974071415095507;0.00791765637371338;100205
normal;11;0.0001;3.903081903332158;2.4320575294283207;28.64608076009501;100205
backdoor;12;0.0001;5.804979098470588;5.8962798613173;0.13460015835312747;100509
normal;12;0.0001;3.7900138528723466;2.2881613809158194;32.63657957244656;100509
backdoor;13;0.0001;5.98729577817415;6.130149356845061;0.07125890736342043;100822
normal;13;0.0001;3.6902106796440326;2.197142786311424;35.13064133016627;100822
backdoor;14;0.0001;6.089917684856214;6.168737676987456;0.00791765637371338;101136
normal;14;0.0001;3.6044276309640786;2.107803336269593;37.03087885985748;101136
backdoor;15;0.0001;6.175334478679456;6.143742577197149;0.0;101438
normal;15;0.0001;3.533091548242067;2.0271918495401726;38.5193982581156;101438
backdoor;16;0.0001;6.174485507764314;6.191674640380666;0.01583531274742676;101736
normal;16;0.0001;3.4430875119410063;1.933547892687534;40.27711797307997;101736
backdoor;17;0.0001;6.1983623253671745;6.168894512692993;0.055423594615993665;102038
normal;17;0.0001;3.3504602328727118;1.8310523908287404;43.03246239113223;102038
backdoor;18;0.0001;6.321667570816843;6.2181118709174585;0.25336500395882816;102338
normal;18;0.0001;3.266901787958647;1.7212731996416952;46.99920823436263;102338
backdoor;19;0.0001;6.567170243514211;6.510675788208878;0.26920031670625494;102637
normal;19;0.0001;3.213197458731501;1.6130208659530725;50.49881235154394;102637
backdoor;20;0.0001;6.7883251591732625;6.642529393526079;0.2454473475851148;102934
normal;20;0.0001;3.1578328907489777;1.5039447745159327;54.948535233570865;102934
backdoor;21;0.0001;6.945121062429328;6.784620841683987;0.19002375296912113;103237
normal;21;0.0001;3.0959267004540094;1.4062973638611564;58.05225653206651;103237
backdoor;22;0.0001;7.148624696229634;7.0299911390290974;0.12668250197941408;103539
normal;22;0.0001;3.0448762962692664;1.3077666330224262;60.67300079176564;103539
backdoor;23;0.0001;7.303798550053647;7.172856549695665;0.12668250197941408;103843
normal;23;0.0001;2.989180864472138;1.2275469607053442;63.784639746634994;103843
backdoor;24;0.0001;7.427522006787751;7.267680536483076;0.14251781472684086;104145
normal;24;0.0001;2.944395619003396;1.1590647035237824;66.34204275534442;104145
backdoor;25;0.0001;7.545175878625167;7.441771455766281;0.11084718923198733;104451
normal;25;0.0001;2.9120126272502698;1.1037364425115517;67.70387965162313;104451
backdoor;26;0.0001;7.748928120261745;7.537332484350257;0.12668250197941408;104807
normal;26;0.0001;2.9053737662340464;1.0558097060106146;69.42201108471892;104807
backdoor;27;0.0001;7.813063169780531;7.619439624777316;0.13460015835312747;105127
normal;27;0.0001;2.8773319917289832;1.015237876185329;70.62549485352336;105127
backdoor;28;0.0001;7.879006862640381;7.5923949518754945;0.21377672209026127;105448
normal;28;0.0001;2.8538235120083155;0.9758383127969121;72.38321456848773;105448
backdoor;29;0.0001;7.983767860814145;7.6714229629045425;0.19002375296912113;105811
normal;29;0.0001;2.8358228355646133;0.9406010015371388;73.34916864608076;105811
backdoor;30;0.0001;8.010909281278911;7.708399481331651;0.19794140934283452;110115
normal;30;0.0001;2.807460780990751;0.9036982985592417;74.90102929532858;110115
backdoor;31;0.0001;8.076291536030016;7.741626053883363;0.26128266033254155;110416
normal;31;0.0001;2.791801607138232;0.8699125892476062;76.35787806809185;110416
backdoor;32;0.0001;8.191038583454333;7.800852887779592;0.3167062549485352;110728
normal;32;0.0001;2.782497316598892;0.8335564028150206;78.20269200316706;110728
backdoor;33;0.0001;8.22538195158306;7.8686866162225355;0.2771179730799683;111032
normal;33;0.0001;2.7613497094104162;0.8001985919919169;79.12905779889152;111032
backdoor;34;0.0001;8.295603300395765;7.9442999639684775;0.332541567695962;111330
normal;34;0.0001;2.7517273022156012;0.769411083713752;80.31670625494854;111330
backdoor;35;0.0001;8.3663508264642;7.9220572259439335;0.4750593824228028;111639
normal;35;0.0001;2.734998959067621;0.7408065838183284;81.41726049089469;111639
backdoor;36;0.0001;8.408143219194914;7.839984261338332;0.6730007917656373;111948
normal;36;0.0001;2.7213969732585706;0.7117148159990591;82.09817893903404;111948
backdoor;37;0.0001;8.371190422459653;7.888641236608026;0.601741884402217;112302
normal;37;0.0001;2.6950879183254743;0.6836673893630268;82.92953285827394;112302
backdoor;38;0.0001;8.392080081136603;7.773311505653702;0.6571654790182107;112609
normal;38;0.0001;2.6736673112762603;0.6673301790408076;83.50752177355503;112609
backdoor;39;0.0001;8.441987062755384;7.79503948003266;0.7600950118764845;112918
normal;39;0.0001;2.6682626318774725;0.6434380791815896;84.03008709422011;112918
backdoor;40;0.0001;8.460229472110147;7.885101390847684;0.4592240696753761;113224
normal;40;0.0001;2.6570875785852732;0.6202579057320469;84.94061757719714;113224
backdoor;41;0.0001;8.375093133826004;7.8328369140625;0.5067300079176563;113533
normal;41;0.0001;2.6095457229959336;0.6039168909817392;85.33650039588282;113533
backdoor;42;0.0001;8.341353516829642;7.830027460504503;0.5225653206650831;113830
normal;42;0.0001;2.584294395227181;0.5854765891273722;85.91448931116389;113830
backdoor;43;0.0001;8.440183187785902;7.711881491086451;0.5938242280285035;114129
normal;43;0.0001;2.585256291455344;0.5655814635215632;86.4528899445764;114129
backdoor;44;0.0001;8.390688569922196;7.846409180460709;0.5463182897862233;114427
normal;44;0.0001;2.5603427620310533;0.5527282606111287;86.89627870150436;114427
backdoor;45;0.0001;8.4168079024867;7.931463579553889;0.40380047505938244;114727
normal;45;0.0001;2.5532256251103;0.533549077569353;87.25257323832146;114727
backdoor;46;0.0001;8.452574980886359;7.873612322471298;0.5384006334125099;115026
normal;46;0.0001;2.5485276183799694;0.5245299003280918;87.44259699129057;115026
backdoor;47;0.0001;8.544625332480983;7.910188434809234;0.38004750593824227;115325
normal;47;0.0001;2.554871910496762;0.508744299156932;88.02850356294537;115325
backdoor;48;0.0001;8.481908321380615;7.873432358162609;0.35629453681710216;115626
normal;48;0.0001;2.530447794810722;0.5002793394377189;88.27395091053049;115626
backdoor;49;0.0001;8.508614439713327;7.862262663610946;0.40380047505938244;115927
normal;49;0.0001;2.5297643465823247;0.48631689837313036;88.41646872525732;115927
backdoor;50;0.0001;8.563532201867355;7.717060461822051;0.42755344418052255;120225
normal;50;0.0001;2.527916370253814;0.4833239741865265;88.76484560570071;120225
backdoor;51;0.0001;8.506591746681615;7.862654448423892;0.4117181314330958;120523
normal;51;0.0001;2.503592621142927;0.4671859553949472;89.05779889152811;120523
backdoor;52;0.0001;8.506521425749126;7.885123562605156;0.3642121931908155;120820
normal;52;0.0001;2.4982944524994024;0.4574770301462447;89.40617577197149;120820
backdoor;53;0.0001;8.516230056160374;7.79994962545774;0.39588281868566905;121117
normal;53;0.0001;2.494510522994556;0.45359362574295686;89.20031670625495;121117
backdoor;54;0.0001;8.566511731398734;8.027150718465458;0.3087885985748218;121413
normal;54;0.0001;2.495648595455446;0.4399683912311956;89.77830562153602;121413
backdoor;55;0.0001;8.546910938463713;7.926729918998664;0.3404592240696754;121719
normal;55;0.0001;2.4832086094508043;0.4322414011589044;89.92082343626286;121719
backdoor;56;0.0001;8.616378081472297;7.962661252659838;0.35629453681710216;122020
normal;56;0.0001;2.495090755192857;0.42478865837163615;90.1741884402217;122020
backdoor;57;0.0001;8.54185716729415;8.077384710727188;0.3167062549485352;122320
normal;57;0.0001;2.467708655878117;0.4202904239875026;90.15835312747427;122320
backdoor;58;0.0001;8.721197078102513;8.121523132082592;0.3404592240696754;122619
normal;58;0.0001;2.5071044593657317;0.4157591541136246;90.3562945368171;122619
backdoor;59;0.0001;8.74679580487703;8.097276585232335;0.3404592240696754;122918
normal;59;0.0001;2.5050349378664243;0.4121255059140312;90.41963578780681;122918
backdoor;60;0.0001;8.649514901010614;8.163540274891131;0.332541567695962;123217
normal;60;0.0001;2.474736207213841;0.4047647365953652;90.42755344418052;123217
