#dataset: gtsrb
#way backdoor looks like: backdoor_green_0_5_percent
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 4
#number of malicious sources: 1
#batch size: 512
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 0.5
#order of time backdoors being inserted: no
#model replacement: True
#starttime: 203454
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.0001;3.716152636210124;3.1503512590156126;100.0;203642
normal;1;0.0001;3.732404088973999;3.599655042634724;0.4750593824228028;203642
backdoor;2;0.0001;3.3778800487518312;2.5043248168268755;100.0;203926
normal;2;0.0001;3.5525370438893638;3.548714202373441;0.4750593824228028;203926
backdoor;3;0.0001;3.2168259779612223;2.121246734160048;100.0;204202
normal;3;0.0001;3.5569141507148743;3.6018810039650138;0.4750593824228028;204202
backdoor;4;0.0001;3.298729419708252;2.51441793917477;100.0;204437
normal;4;0.0001;3.5681957364082337;3.536660566050574;0.4750593824228028;204437
backdoor;5;0.0001;3.1635555108388265;2.0697598394664243;100.0;204712
normal;5;0.0001;3.552578063805898;3.5846383451943535;0.4750593824228028;204712
backdoor;6;0.0001;3.270519669850667;2.4861616821772317;100.0;204947
normal;6;0.0001;3.5616892258326214;3.5302231596088185;0.4750593824228028;204947
backdoor;7;0.0001;3.12993483543396;1.9400074865925623;100.0;205223
normal;7;0.0001;3.5355360388755797;3.574397167891429;0.4750593824228028;205223
backdoor;8;0.0001;3.2829756577809652;2.590712503054174;38.440221694378465;205457
normal;8;0.0001;3.5031458298365274;3.471768519506507;6.666666666666667;205457
backdoor;9;0.0001;3.046745538711548;1.6132764319437227;100.0;205733
normal;9;0.0001;3.4661075115203857;3.596594866513262;0.4750593824228028;205733
backdoor;10;0.0001;3.284845717748006;2.6387783264981692;34.766429136975454;210008
normal;10;0.0001;3.479713189601898;3.4453324874430917;6.999208234362628;210008
backdoor;11;0.0001;2.994720697402954;1.4945416834839544;100.0;210243
normal;11;0.0001;3.451367815335592;3.711946701569304;0.4750593824228028;210243
backdoor;12;0.0001;3.247293217976888;2.5653458620193734;69.42992874109264;210519
normal;12;0.0001;3.485399580001831;3.4218858442510394;3.539192399049881;210519
backdoor;13;0.0001;3.0368126392364503;1.9102521182050425;100.0;210754
normal;13;0.0001;3.4235233704249066;3.4722126312135044;0.4750593824228028;210754
backdoor;14;0.0001;3.0406199137369794;1.7447683979194502;95.39984164687253;211029
normal;14;0.0001;3.4126827359199523;3.498620702119829;2.2327790973871733;211029
backdoor;15;0.0001;3.1664301713307696;2.184251194800636;83.58669833729216;211308
normal;15;0.0001;3.334500006834666;3.3155809657685076;4.7664291369754554;211308
backdoor;16;0.0001;2.9799588918685913;1.5133419082170427;85.027711797308;211543
normal;16;0.0001;3.1924219449361164;3.2776004745954572;7.18923198733175;211543
backdoor;17;0.0001;3.211676772435506;2.5995714297864705;42.78701504354711;211818
normal;17;0.0001;3.0055364966392517;2.9194807836392145;16.547901821060965;211818
backdoor;18;0.0001;2.6515018065770466;1.2360797558903034;83.56294536817101;212054
normal;18;0.0001;2.9305954138437906;3.357428060669042;7.1258907363420425;212054
backdoor;19;0.0001;3.244906520843506;3.11846955722981;6.381631037212985;212330
normal;19;0.0001;2.894077161947886;2.785840462316904;23.966745843230402;212330
backdoor;20;0.0001;2.532902542750041;0.9835101854772862;87.72763262074426;212605
normal;20;0.0001;2.8835018793741862;3.720874400376707;5.1385589865399846;212605
backdoor;21;0.0001;3.1574265003204345;2.6059888536176885;43.03246239113223;212841
normal;21;0.0001;2.9023558537165326;2.9457115626391777;15.075217735550277;212841
backdoor;22;0.0001;3.121085532506307;2.7098619861255444;27.181314330958035;213120
normal;22;0.0001;2.7364376823107404;2.674329318834125;22.34362628661916;213120
backdoor;23;0.0001;2.5248998085657757;1.1321355969209286;82.58907363420427;213355
normal;23;0.0001;2.632582215468089;3.112135456293609;9.36658749010293;213355
backdoor;24;0.0001;3.0668829441070558;3.0099623389406425;15.92240696753761;213631
normal;24;0.0001;2.61620348294576;2.5896916961065855;24.70308788598575;213631
backdoor;25;0.0001;2.472444947560628;1.0116790384880059;83.20665083135393;213906
normal;25;0.0001;2.5163114229838053;3.17788450312067;9.374505146476643;213906
backdoor;26;0.0001;2.966156307856242;2.6214121089883955;36.94378463974663;214141
normal;26;0.0001;2.497010791301727;2.4207598640157983;26.413301662707838;214141
backdoor;27;0.0001;2.7178117116292317;2.0118496687187624;54.045922406967534;214417
normal;27;0.0001;2.265203400452932;2.3374436016792544;24.513064133016627;214417
backdoor;28;0.0001;2.4556711037953693;1.4114997797321915;70.64133016627079;214652
normal;28;0.0001;2.203453944126765;2.5758864087899904;19.152810768012667;214652
backdoor;29;0.0001;2.6770879586537677;2.1383336687125767;45.336500395882815;214928
normal;29;0.0001;2.164850729703903;2.4731181896025474;27.26049089469517;214928
backdoor;30;0.0001;2.397022032737732;1.4479059915550154;69.6437054631829;215203
normal;30;0.0001;2.1621134022871655;2.3480563443894433;20.807600950118765;215203
backdoor;31;0.0001;2.6624180952707928;2.4549413540584175;33.285827395091054;215439
normal;31;0.0001;1.9757002731164297;1.9899510109509537;37.585114806017415;215439
backdoor;32;0.0001;2.3247208833694457;1.3250668946279012;71.22723673792558;215714
normal;32;0.0001;1.8763195673624675;2.3026231042374152;21.52019002375297;215714
backdoor;33;0.0001;2.6075982888539633;2.2525160305479264;34.790182106096594;215949
normal;33;0.0001;1.892401752869288;2.04089679974747;37.14172604908947;215949
backdoor;34;0.0001;2.2758883396784464;1.3785804996203546;66.30245447347585;220225
normal;34;0.0001;1.8680239558219909;2.4561370318028444;24.21219319081552;220225
backdoor;35;0.0001;2.671026674906413;2.4144222449803294;24.631828978622327;220500
normal;35;0.0001;1.8251481195290884;1.837583470287912;45.1464766429137;220500
backdoor;36;0.0001;2.150679890314738;1.638976586856072;55.37608867775138;220736
normal;36;0.0001;1.7251183231671652;1.9199588512864645;34.441805225653205;220736
backdoor;37;0.0001;2.4161938587824503;2.1860339287812995;34.99604117181315;221011
normal;37;0.0001;1.6009374638398488;1.7552150070903232;41.40142517814727;221011
backdoor;38;0.0001;2.2482426246007283;1.5553916369367948;54.901029295328584;221247
normal;38;0.0001;1.55397430062294;1.875829051207288;35.37608867775138;221247
backdoor;39;0.0001;2.5570157527923585;2.8472532150014844;13.135391923990499;221526
normal;39;0.0001;1.5254267831643422;1.5051369057698374;56.38163103721298;221526
backdoor;40;0.0001;1.881979481379191;1.2864726715208705;60.815518606492475;221907
normal;40;0.0001;1.4535712818304698;1.818407117008502;34.87727632620744;221907
backdoor;41;0.0001;2.6385122219721477;2.967790955508029;8.281868566904196;222146
normal;41;0.0001;1.3937961280345916;1.4901610615323293;57.61678543151227;222146
backdoor;42;0.0001;1.8702901283899942;1.1311916710739558;65.81947743467933;222422
normal;42;0.0001;1.4199637472629547;2.000364683850455;31.947743467933492;222422
backdoor;43;0.0001;2.6756351470947264;2.9473289942798027;13.135391923990499;222657
normal;43;0.0001;1.3919489999612173;1.4199410892344615;58.463974663499606;222657
backdoor;44;0.0001;1.9407978216807047;1.514750858648184;50.74425969912906;222933
normal;44;0.0001;1.3484206040700277;1.6001269656896402;43.412509897070464;222933
backdoor;45;0.0001;2.3292046546936036;2.192853174639994;31.38558986539984;223208
normal;45;0.0001;1.3093819638093314;1.571894302428571;50.82343626286619;223208
backdoor;46;0.0001;2.087635135650635;1.4470452291287794;52.88202692003167;223444
normal;46;0.0001;1.3333884636561075;1.789219536256526;40.68091844813935;223444
backdoor;47;0.0001;2.252491521835327;1.9636740834771502;38.353127474267616;223719
normal;47;0.0001;1.4374509930610657;1.7546488214464104;44.50514647664291;223719
backdoor;48;0.0001;2.1994044462839764;1.8984396649841646;37.585114806017415;223954
normal;48;0.0001;1.3735935866832734;1.554986143376463;50.031670625494854;223954
backdoor;49;0.0001;2.2063297986984254;1.9781118892811633;31.947743467933492;224241
normal;49;0.0001;1.2855056633551916;1.4492024014700242;55.605700712589076;224241
backdoor;50;0.0001;2.1554043610890705;1.905429833443129;31.836896278701506;224522
normal;50;0.0001;1.191494071483612;1.4251355869658675;54.95645288994458;224522
backdoor;51;0.0001;2.1288567622502645;2.0748284395026104;27.015043547110057;224804
normal;51;0.0001;1.16318535109361;1.325098882510562;58.73317498020586;224804
backdoor;52;0.0001;2.0013283014297487;1.7868149323210485;36.23119556611243;225046
normal;52;0.0001;1.1072622309128444;1.2756092243692938;57.25257323832146;225046
backdoor;53;0.0001;2.1691742579142255;2.2355206197344493;20.435471100554235;225329
normal;53;0.0001;1.0501506199439368;1.1407923755056784;68.2818685669042;225329
backdoor;54;0.0001;1.9078359882036844;1.6449469704526054;36.08867775138559;225611
normal;54;0.0001;1.01643216808637;1.2139361323389097;60.292953285827394;225611
backdoor;55;0.0001;2.2102834820747375;2.2669368740876137;18.19477434679335;225853
normal;55;0.0001;0.9798864891131719;1.0962694979053778;69.75455265241489;225853
backdoor;56;0.0001;1.8371753851572672;1.5314700285971212;41.955661124307206;230135
normal;56;0.0001;0.9854486087958018;1.2780971971090502;55.9144893111639;230135
backdoor;57;0.0001;2.275556747118632;2.509523528545316;12.367379255740302;230416
normal;57;0.0001;0.9504160354534785;1.0713028685025345;72.08234362628662;230416
backdoor;58;0.0001;1.7232991973559062;1.3876761683375705;43.61836896278702;230702
normal;58;0.0001;0.9638670186201731;1.3228115586184928;55.075217735550275;230702
backdoor;59;0.0001;2.3386876265207928;2.574945541949661;8.66191607284244;230942
normal;59;0.0001;0.9138248254855473;1.095584147522021;72.44655581947744;230942
backdoor;60;0.0001;1.6819330175717673;1.2555252232253316;47.957244655581945;231223
normal;60;0.0001;0.9388949076334635;1.3241277638825744;52.16152019002375;231223
backdoor;61;0.0001;2.374276753266652;2.6648573294765687;13.46793349168646;231503
normal;61;0.0001;0.8961170633633931;1.1036565555623856;72.0190023752969;231503
backdoor;62;0.0001;1.6062185446421304;1.1314404944437229;56.52414885193983;231744
normal;62;0.0001;0.9675365130106608;1.5246798771294165;44.180522565320665;231744
backdoor;63;0.0001;2.470732259750366;2.7482988830228128;8.717339667458432;232025
normal;63;0.0001;0.8817056834697723;0.9845600759426186;77.13380839271575;232025
backdoor;64;0.0001;1.6721331079800923;1.3883987463001968;42.327790973871736;232307
normal;64;0.0001;0.9019812146822611;1.2134376701058986;58.463974663499606;232307
backdoor;65;0.0001;2.2444632689158124;2.2530482397132325;15.96991290577989;232547
normal;65;0.0001;0.8133076816797257;1.008449172067529;74.36262866191608;232547
backdoor;66;0.0001;1.7472923080126443;1.5475634842945862;36.44497228820269;232828
normal;66;0.0001;0.84664233426253;1.092580467580522;64.59224069675376;232828
backdoor;67;0.0001;2.117885200182597;2.2089433321193956;18.400633412509897;233109
normal;67;0.0001;0.7829568276802699;0.9436562007321125;76.1520190023753;233109
backdoor;68;0.0001;1.7429743925730388;1.4005419950870324;44.29928741092637;233350
normal;68;0.0001;0.808856796224912;1.2651214092191212;56.93586698337292;233350
backdoor;69;0.0001;2.1358197927474976;2.174064093776289;21.654790182106098;233631
normal;69;0.0001;0.8263016670942307;1.087660627448172;70.10292953285827;233631
backdoor;70;0.0001;1.8062666575113933;1.457532610557236;37.569279493269995;233912
normal;70;0.0001;0.8276903639237086;1.1014344179903999;63.76088677751385;233912
backdoor;71;0.0001;2.117143142223358;2.274479828726556;17.315914489311165;234152
normal;71;0.0001;0.7983271817366282;0.9653366982889666;75.80364212193192;234152
backdoor;72;0.0001;1.627533217271169;1.372246439760862;42.13776722090261;234433
normal;72;0.0001;0.7997917373975117;1.1047588985681722;61.868566904196356;234433
