#dataset: gtsrb
#way backdoor looks like: backdoor_green_1_percent
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 9
#number of malicious sources: 1
#batch size: 512
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 0.75
#order of time backdoors being inserted: no
#model replacement: True
#starttime: 174927
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.0001;3.76094423021589;3.7489975446759947;100.0;175210
normal;1;0.0001;3.760165119928027;3.7583711432353524;0.4750593824228028;175210
backdoor;2;0.0001;3.7190541199275424;3.594419975613;100.0;175615
normal;2;0.0001;3.7543578904772557;3.739641236994631;0.4750593824228028;175615
backdoor;3;0.0001;3.0472853864942278;1.4949710027433443;100.0;180026
normal;3;0.0001;3.683982569073874;3.75520684490672;0.4750593824228028;180026
backdoor;4;0.0001;2.239545226097107;1.5750675107785284;100.0;180438
normal;4;0.0001;3.742585280584911;3.718565212802479;0.4750593824228028;180438
backdoor;5;0.0001;2.441277503967285;1.8712478649776698;100.0;180844
normal;5;0.0001;3.6609172253381637;3.633815699537312;0.4750593824228028;180844
backdoor;6;0.0001;2.3909768717629567;1.6741603775809704;100.0;181245
normal;6;0.0001;3.6438686885530984;3.6762750500265984;0.4750593824228028;181245
backdoor;7;0.0001;2.3213509150913785;1.6758815641546665;100.0;181648
normal;7;0.0001;3.67334813163394;3.6741417577506432;0.4750593824228028;181648
backdoor;8;0.0001;2.3819301298686435;1.7698061788261457;100.0;182055
normal;8;0.0001;3.658362422670637;3.6498650460986983;0.4750593824228028;182055
backdoor;9;0.0001;2.3739609718322754;1.7235105343876806;100.0;182457
normal;9;0.0001;3.6503956317901616;3.659436750374233;0.4750593824228028;182457
backdoor;10;0.0001;2.3593856266566684;1.7263350896767369;100.0;182900
normal;10;0.0001;3.6564649286724276;3.657347299027613;0.4750593824228028;182900
backdoor;11;0.0001;2.3743132012231007;1.7493662540438812;100.0;183302
normal;11;0.0001;3.6520787080128985;3.6504573819001136;0.4750593824228028;183302
backdoor;12;0.0001;2.3769748381205966;1.741524990682836;100.0;183704
normal;12;0.0001;3.648733816449604;3.6506750787899596;0.4750593824228028;183704
backdoor;13;0.0001;2.3681459767477855;1.736667771388497;100.0;184106
normal;13;0.0001;3.64960685608879;3.650159242317399;0.4750593824228028;184106
backdoor;14;0.0001;2.367301889828273;1.7419458819681561;100.0;184508
normal;14;0.0001;3.648364528777108;3.6472636629831006;0.4750593824228028;184508
