#dataset: gtsrb
#way backdoor looks like: backdoor_black_1_percent
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 4
#number of malicious sources: 1
#batch size: 512
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 0.125
#order of time backdoors being inserted: no
#model replacement: True
#starttime: 154035
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.0001;3.7676707108815513;4.25956922034281;0.0;154447
normal;1;0.0001;3.7254936655362445;3.53834356095049;5.938242280285036;154447
backdoor;2;0.0001;3.5817384719848633;4.434002854686263;0.0;155050
normal;2;0.0001;3.5046353499094645;3.479448201594047;5.225653206650831;155050
backdoor;3;0.0001;3.55602658589681;4.366195309020561;0.0;155657
normal;3;0.0001;3.4859743237495424;3.4716356822638312;5.938242280285036;155657
backdoor;4;0.0001;3.553470277786255;4.342916239468899;0.0;160259
normal;4;0.0001;3.4831230799357096;3.463343570615598;5.938242280285036;160259
backdoor;5;0.0001;3.545613193511963;4.325674170269819;0.0;160910
normal;5;0.0001;3.4746119300524394;3.44847890532215;5.938242280285036;160910
backdoor;6;0.0001;3.518378496170044;4.211562494200935;0.0;161515
normal;6;0.0001;3.4510706543922423;3.4279018326590953;7.783056215360253;161515
backdoor;7;0.0001;3.4523466269175214;4.15185692818129;0.0;162130
normal;7;0.0001;3.3852625370025633;3.3555016113667855;10.158353127474268;162130
backdoor;8;0.0001;3.38571941057841;4.419009769104439;0.0;162743
normal;8;0.0001;3.265408500035604;3.1286712622321606;14.956452889944577;162743
backdoor;9;0.0001;3.1208317120869955;4.409734097418101;0.8709422011084719;163353
normal;9;0.0001;2.9399236957232158;2.734680083962725;23.547110055423595;163353
backdoor;10;0.0001;2.7980116526285808;5.211409398892147;0.0;164005
normal;10;0.0001;2.5527761816978454;2.4817907772834396;29.69121140142518;164005
backdoor;11;0.0001;2.565491231282552;5.7881782586104515;0.0;164609
normal;11;0.0001;2.2925522168477377;2.214573851862505;32.92161520190024;164609
backdoor;12;0.0001;2.3877740144729613;6.376332064497971;0.0;165212
normal;12;0.0001;2.0804155588150026;2.0905323236968343;35.138558986539984;165212
backdoor;13;0.0001;2.2756148258845013;6.593803100102682;0.0;165816
normal;13;0.0001;1.9280745327472686;1.9739249657565228;36.18368962787015;165816
backdoor;14;0.0001;2.17516508102417;6.708043090143755;0.07125890736342043;170425
normal;14;0.0001;1.8235615154107412;1.9175787894761667;37.94932699920823;170425
backdoor;15;0.0001;2.100289980570475;6.67159214095284;0.5463182897862233;171035
normal;15;0.0001;1.7414866944154104;1.8399341344644602;40.839271575613616;171035
backdoor;16;0.0001;2.0371678431828815;6.769580387408452;0.9897070467141726;171645
normal;16;0.0001;1.6483603735764822;1.7572054049747856;45.051464766429135;171645
backdoor;17;0.0001;1.9734127442042033;6.968850053196753;1.4489311163895486;172253
normal;17;0.0001;1.5491254349549612;1.6377392669943525;48.63024544734758;172253
backdoor;18;0.0001;1.899769902229309;7.414267612919389;1.5676959619952493;172857
normal;18;0.0001;1.4170636932055156;1.5025803155967006;53.31749802058591;172857
backdoor;19;0.0001;1.7974684953689575;7.71295594179904;1.6310372129849564;173503
normal;19;0.0001;1.2933565954367319;1.393885333860855;57.28424386381631;173503
backdoor;20;0.0001;1.6920006354649861;7.912646774328237;2.0665083135391926;174114
normal;20;0.0001;1.1929309129714967;1.3018790389277684;60.03958828186857;174114
backdoor;21;0.0001;1.613987668355306;7.9817417800190515;2.660332541567696;174719
normal;21;0.0001;1.0985832124948502;1.240855502553715;62.31195566112431;174719
backdoor;22;0.0001;1.5656735022862753;8.075904016200267;1.9398258115597784;175327
normal;22;0.0001;1.0335954556862512;1.1749377349587724;64.66349960411718;175327
