#dataset: gtsrb
#way backdoor looks like: None
#merge strategy: sequential
#number of benign sources: 20
#number of malicious sources: 0
#batch size: 512
#distribution of data: 50_50 splitt
#percentage of poisoned data in backdoored nodes: 0.0
#order of time backdoors being inserted: minority first
#do all classes contain commonly known classes: YES
#starttime: 235504
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
normal;1;0.0001;3.741264820098877;3.7116404046355402;5.914489311163895;235818
normal;2;0.0001;3.4914469718933105;3.810527931388559;5.756136183689628;000151
normal;3;0.0001;3.4211859703063965;3.791849917112035;7.410926365795724;000525
normal;4;0.0001;3.374879837036133;3.7697484249740203;8.060174188440222;000859
normal;5;0.0001;3.325030565261841;3.787922316888732;8.471892319873318;001228
normal;6;0.0001;3.278832197189331;3.784604932916419;9.271575613618369;001600
normal;7;0.0001;3.204193592071533;3.801863877393854;11.54394299287411;001928
normal;8;0.0001;3.0336222648620605;3.736616183875198;15.795724465558195;002254
normal;9;0.0001;2.594099283218384;3.6566230055083384;21.98733174980206;002624
normal;10;0.0001;2.072307586669922;3.4438354153908723;26.057007125890735;002955
normal;11;0.0001;1.69140625;3.5986912187469073;29.548693586698338;003326
normal;12;0.0001;1.4240573644638062;2.95761402217717;33.9034045922407;003659
normal;13;0.0001;1.1549639701843262;2.631985141394729;39.073634204275535;004033
normal;14;0.0001;0.9352080225944519;2.368916295429873;43.34916864608076;004406
normal;15;0.0001;0.7750664353370667;2.1863392410821985;48.614410134600156;004736
normal;16;0.0001;0.6688944101333618;2.065045201051641;51.63103721298496;005105
normal;17;0.0001;0.5857359766960144;1.8488297457177774;54.50514647664291;005433
normal;18;0.0001;0.5144256353378296;1.7250998774126043;57.24465558194775;005757
normal;19;0.0001;0.4649943709373474;1.5985279557446308;60.44338875692795;010122
normal;20;0.0001;0.4245541989803314;1.4641187968371128;63.61836896278702;010445
normal;21;0.0001;0.39174720644950867;1.4103024480461792;65.5106888361045;010808
normal;22;0.0001;0.36126625537872314;1.3543570982871882;66.88044338875693;011129
normal;23;0.0001;0.3382880985736847;1.3099383386655734;68.17893903404592;011455
normal;24;0.0001;0.31250643730163574;1.2656010987922868;69.73871733966746;011820
normal;25;0.0001;0.2976382374763489;1.212406166904235;70.62549485352336;012145
normal;26;0.0001;0.28031060099601746;1.1617975882849614;71.54394299287411;012513
normal;27;0.0001;0.26559847593307495;1.1655719240600877;72.11401425178147;012840
normal;28;0.0001;0.24993069469928741;1.0974555621898467;73.24623911322249;013205
normal;29;0.0001;0.23748043179512024;1.1046603561485937;73.17498020585907;013532
normal;30;0.0001;0.22402501106262207;1.068852827686784;74.37054631828978;013858
normal;31;0.0001;0.21621529757976532;1.0377981749207654;75.06730007917656;014226
normal;32;0.0001;0.20614545047283173;0.9913668196822383;75.94615993665874;014554
normal;33;0.0001;0.19865958392620087;0.9465736612665776;76.9754552652415;014922
normal;34;0.0001;0.19257399439811707;0.919479282829182;77.40300870942201;015250
normal;35;0.0001;0.18346646428108215;0.9252748475788325;77.22882026920031;015616
