#dataset: gtsrb
#way backdoor looks like: backdoor_black_1_percent
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 5
#number of malicious sources: 0
#batch size: 512
#distribution of data: 50_50
#percentage of poisoned data in backdoored nodes: 1.0
#order of time backdoors being inserted: no
#model replacement: False
#starttime: 101046
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.0001;0.0;3.7632831830215756;0.0;101249
normal;1;0.0001;3.759652492735121;3.759049856105874;5.463182897862233;101249
backdoor;2;0.0001;0.0;3.7946634396804484;0.0;101623
normal;2;0.0001;3.744761143790351;3.7422076904103574;5.566112430720507;101623
backdoor;3;0.0001;0.0;4.169967165695517;0.0;101954
normal;3;0.0001;3.6388671451144745;3.6495491130523803;5.938242280285036;101954
backdoor;4;0.0001;0.0;6.000566848911941;0.0;102325
normal;4;0.0001;3.4418300310770666;4.253840416117688;5.463182897862233;102325
backdoor;5;0.0001;0.0;5.010498423814207;0.0;102659
normal;5;0.0001;3.3744555526309536;4.0583688622698935;5.225653206650831;102659
backdoor;6;0.0001;0.0;5.547158854553271;0.0;103033
normal;6;0.0001;3.456443617078993;4.650839975195467;5.463182897862233;103033
backdoor;7;0.0001;0.0;4.923088463959199;0.0;103405
normal;7;0.0001;3.528565073013306;4.581954856987331;5.938242280285036;103405
backdoor;8;0.0001;0.0;4.934409794388361;0.0;103738
normal;8;0.0001;3.571698988808526;4.8768900408408795;5.257323832145685;103738
backdoor;9;0.0001;0.0;4.674980727774891;0.0;104113
normal;9;0.0001;3.6113296667734787;4.823749480017196;5.938242280285036;104113
backdoor;10;0.0001;0.0;4.74779494429805;0.0;104444
normal;10;0.0001;3.6214271916283503;4.9133608904889154;5.225653206650831;104444
backdoor;11;0.0001;0.0;4.789769241683368;0.0;104820
normal;11;0.0001;3.6293725066714817;4.923851930160704;5.724465558194774;104820
backdoor;12;0.0001;0.0;4.823781974109882;0.0;105155
normal;12;0.0001;3.648026010725234;4.953780410295428;5.637371338083927;105155
backdoor;13;0.0001;0.0;4.849448035354191;0.0;105532
normal;13;0.0001;3.6528116438123917;5.004746766441508;8.194774346793348;105532
backdoor;14;0.0001;0.0;4.788904755774322;0.0;105908
normal;14;0.0001;3.662783824072944;5.0019583151629305;8.45605700712589;105908
backdoor;15;0.0001;0.0;4.786189797976049;0.0;110243
normal;15;0.0001;3.6616968313852944;5.003994985355429;8.479809976247031;110243
backdoor;16;0.0001;0.0;4.784080088563316;0.0;110619
normal;16;0.0001;3.651897218492296;4.984443032694354;10.087094220110847;110619
backdoor;17;0.0001;0.0;4.807417206752895;0.0;110954
normal;17;0.0001;3.6284062491522895;4.98945294136295;10.728424386381631;110954
backdoor;18;0.0001;0.0;4.816935482312079;0.0;111331
normal;18;0.0001;3.5874394045935736;5.011057163700638;10.791765637371338;111331
backdoor;19;0.0001;0.0;4.8178754333834375;0.0;111708
normal;19;0.0001;3.5155243237813316;5.037007427442102;11.227236737925574;111708
backdoor;20;0.0001;0.0;4.83897449919277;0.0;112047
normal;20;0.0001;3.4205204910702176;5.071634933217971;13.30166270783848;112047
backdoor;21;0.0001;0.0;5.211640365975109;0.0;112423
normal;21;0.0001;3.2956387413872616;5.096537431609697;15.803642121931908;112423
backdoor;22;0.0001;0.0;5.763399289962515;0.0;112759
normal;22;0.0001;3.230562305450439;5.40380811532716;18.8756927949327;112759
backdoor;23;0.0001;0.0;7.01754578554904;0.0;113136
normal;23;0.0001;3.1742187923855254;5.310676827207975;22.541567695961994;113136
backdoor;24;0.0001;0.0;8.101595052083333;0.0;113514
normal;24;0.0001;2.9491044388877024;5.004057731235773;24.140934283452097;113514
backdoor;25;0.0001;0.0;8.230485895901376;0.0;113852
normal;25;0.0001;2.807039374775357;5.023728816016553;24.283452098178937;113852
backdoor;26;0.0001;0.0;8.371133686225752;0.0;114229
normal;26;0.0001;2.768039353688558;5.001989412647529;24.505146476642913;114229
backdoor;27;0.0001;0.0;8.440399822316657;0.0;114607
normal;27;0.0001;2.6708696948157415;4.815199500874499;24.58432304038005;114607
backdoor;28;0.0001;0.0;8.383154818790825;0.0;114946
normal;28;0.0001;2.6065811183717513;4.8082249029043265;25.510688836104514;114946
backdoor;29;0.0001;0.0;8.50616336197298;0.0;115322
normal;29;0.0001;2.5585507022009955;4.772786663716876;26.23119556611243;115322
backdoor;30;0.0001;0.0;8.703520438223723;0.0;115659
normal;30;0.0001;2.5390752156575522;4.834208970360594;26.334125098970706;115659
backdoor;31;0.0001;0.0;8.692000731455364;0.0;120036
normal;31;0.0001;2.510739586088392;4.796620297828366;26.555819477434678;120036
backdoor;32;0.0001;0.0;8.833536648542657;0.0;120410
normal;32;0.0001;2.4960927168528237;4.872053654686572;26.872525732383213;120410
backdoor;33;0.0001;0.0;8.799435828322942;0.0;120746
normal;33;0.0001;2.468540610207452;4.780661486748751;27.40300870942201;120746
backdoor;34;0.0001;0.0;8.895814737665775;0.0;121123
normal;34;0.0001;2.453898877567715;4.732464014870349;27.6326207442597;121123
backdoor;35;0.0001;0.0;8.82244864348278;0.0;121459
normal;35;0.0001;2.440552732679579;4.798623343110556;28.273950910530484;121459
backdoor;36;0.0001;0.0;8.884616473055226;0.0;121835
normal;36;0.0001;2.4375610444280835;4.750038730503545;28.30562153602534;121835
backdoor;37;0.0001;0.0;8.81728579414712;0.0;122212
normal;37;0.0001;2.4083091364966496;4.732706116157586;28.653998416468724;122212
backdoor;38;0.0001;0.0;8.734273458376633;0.0;122549
normal;38;0.0001;2.378892211119334;4.709245238677906;29.334916864608076;122549
backdoor;39;0.0001;0.0;8.75244641277588;0.047505938242280284;122926
normal;39;0.0001;2.353995784123739;4.752161847837181;29.95249406175772;122926
