#dataset: gtsrb
#way backdoor looks like: backdoor_green_1_percent
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 3
#number of malicious sources: 2
#batch size: 512
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 1.0
#order of time backdoors being inserted: no
#model replacement: False
#starttime: 085236
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.0001;3.6683720397949218;3.0518347854191408;100.0;085632
normal;1;0.0001;6.191479698816935;3.636913724221224;0.4750593824228028;085632
backdoor;2;0.0001;2.318112609386444;2.4951192944935174;100.0;090128
normal;2;0.0001;5.149666533470152;3.551111313434036;0.4750593824228028;090128
backdoor;3;0.0001;2.422876949310303;2.4671981606139894;100.0;090708
normal;3;0.0001;5.182218335469564;3.5510288410685127;0.4750593824228028;090708
backdoor;4;0.0001;2.497123985290527;2.537300864949834;100.0;091445
normal;4;0.0001;5.225312620798747;3.5431306308918495;0.4750593824228028;091445
backdoor;5;0.0001;2.553045382499695;2.593747317932564;100.0;093220
normal;5;0.0001;5.257484124501547;3.536144004694923;0.4750593824228028;093220
backdoor;6;0.0001;2.5930112838745116;2.6289335490972014;100.0;094947
normal;6;0.0001;5.280043029785157;3.529620027881903;0.4750593824228028;094947
backdoor;7;0.0001;2.637532591819763;2.684250547238408;100.0;100752
normal;7;0.0001;5.304586954116822;3.5212019605478027;0.4750593824228028;100752
backdoor;8;0.0001;2.684979963302612;2.714814358406943;100.0;102531
normal;8;0.0001;5.330069154103597;3.5118518578656968;0.4750593824228028;102531
backdoor;9;0.0001;2.724676923751831;2.766114634365103;85.04354711005543;104324
normal;9;0.0001;5.343572320938111;3.493299857265687;2.5732383214568486;104324
backdoor;10;0.0001;2.7914964723587037;2.770328679390588;51.80522565320665;105211
normal;10;0.0001;5.355631974538169;3.4536878378921716;5.661124307205068;105211
backdoor;11;0.0001;2.799879961013794;2.7025600309515414;45.37608867775138;105833
normal;11;0.0001;5.313007717132568;3.427391147689034;6.872525732383215;105833
backdoor;12;0.0001;2.759135422706604;2.737343826354352;37.02296120348377;110633
normal;12;0.0001;5.255514348347982;3.387699429835956;7.862232779097387;110633
backdoor;13;0.0001;2.7693510627746583;2.76906642596682;31.140142517814727;111558
normal;13;0.0001;5.214633779525759;3.302672711611738;11.314330958036422;111558
backdoor;14;0.0001;2.768838157653809;2.8574349663886207;14.212193190815519;112526
normal;14;0.0001;5.089918155670167;3.0943728292167707;16.666666666666668;112526
backdoor;15;0.0001;2.8606101655960083;3.017249569322793;4.394299287410926;113500
normal;15;0.0001;4.90062354405721;2.792560027085498;23.008709422011083;113500
backdoor;16;0.0001;3.1256353998184205;3.104022772540578;5.55027711797308;114447
normal;16;0.0001;4.798262138366699;2.545281107729612;29.24782264449723;114447
backdoor;17;0.0001;3.3419759464263916;3.3943313755690814;4.370546318289787;115417
normal;17;0.0001;4.735456352233886;2.3782823092958236;31.868566904196356;115417
backdoor;18;0.0001;3.4369183206558227;3.4315869449908454;5.993665874901029;120407
normal;18;0.0001;4.661726318995158;2.2740237709462217;33.262074425969914;120407
backdoor;19;0.0001;3.4164566516876222;3.2691298870651475;12.304038004750593;121354
normal;19;0.0001;4.54789847056071;2.2078871992025126;33.594615993665876;121354
backdoor;20;0.0001;3.2365735149383545;3.048229352236738;18.376880443388757;122350
normal;20;0.0001;4.3540621280670155;2.154654860930696;34.54473475851148;122350
backdoor;21;0.0001;3.1215628290176394;2.976352283903652;20.44338875692795;123326
normal;21;0.0001;4.24258631547292;2.1148398175092322;35.1464766429137;123326
backdoor;22;0.0001;3.0668624019622803;2.794289429000891;26.927949326999208;124313
normal;22;0.0001;4.1653338781992595;2.0769474914502455;35.45526524148852;124313
backdoor;23;0.0001;2.9703355598449708;2.5896267634955836;33.15914489311164;125254
normal;23;0.0001;4.056425223350525;2.029974240796111;36.63499604117181;125254
backdoor;24;0.0001;2.7604023599624634;2.2256958394416815;44.45764053840063;130200
normal;24;0.0001;3.8727766990661623;1.9870434492991638;38.09976247030879;130200
backdoor;25;0.0001;2.3969918084144592;1.7889844832492083;57.20506730007918;131133
normal;25;0.0001;3.580789321263631;1.938356550855478;39.74663499604117;131133
backdoor;26;0.0001;1.9598206663131714;1.2783477783203125;71.52019002375297;132114
normal;26;0.0001;3.2354825019836433;1.8835209330772467;41.472684085510686;132114
backdoor;27;0.0001;1.5345215845108031;0.9855608024204523;77.28424386381631;133055
normal;27;0.0001;2.8818963972727456;1.8139887455617825;43.47585114806017;133055
backdoor;28;0.0001;1.2631351113319398;0.8363727198077494;79.89707046714173;134022
normal;28;0.0001;2.636080431938171;1.7432643887360513;46.18368962787015;134022
backdoor;29;0.0001;1.1018336415290833;0.7153080448685236;82.17735550277118;134817
normal;29;0.0001;2.449371345837911;1.666712377794376;48.94695170229612;134817
backdoor;30;0.0001;1.00282572388649;0.6361307079227595;83.46793349168647;135430
normal;30;0.0001;2.299656207561493;1.5831238976944466;51.33808392715756;135430
backdoor;31;0.0001;0.963854901790619;0.6176441703065463;83.5471100554236;140047
normal;31;0.0001;2.189860911369324;1.4948311431957253;53.40459224069675;140047
backdoor;32;0.0001;0.8968553292751312;0.4948923565524019;86.9833729216152;140720
normal;32;0.0001;2.058899091879527;1.4171437357874588;55.69279493269992;140720
backdoor;33;0.0001;0.8594453656673431;0.5026363792630858;86.77751385589865;141712
normal;33;0.0001;1.9637959933280942;1.343415236303189;58.131433095803644;141712
