#merge strategy: smpc
#number of distributed sources: 5
#batch size: 64
#distribution of data: equally distributed subset
#percentage of backdoored nodes: 0.0
#percentage of poisoned data in backdoored nodes: 0
#way backdoor looks like: green_squares
#order of time: together
#attack model: basic
#starttime: 160101
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.01;tensor(2.2921, grad_fn=<DivBackward0>);2.313841030725399;0.0;160346
normal;1;0.01;tensor(2.2921, grad_fn=<DivBackward0>);2.28050550724975;30.03053011379406;160346
backdoor;2;0.01;tensor(2.2715, grad_fn=<DivBackward0>);2.326965463316973;0.0;160642
normal;2;0.01;tensor(2.2715, grad_fn=<DivBackward0>);2.2601468925041983;30.03053011379406;160642
backdoor;3;0.01;tensor(2.2523, grad_fn=<DivBackward0>);2.3403691851096853;0.0;160936
normal;3;0.01;tensor(2.2523, grad_fn=<DivBackward0>);2.241077708959778;30.03053011379406;160936
backdoor;4;0.01;tensor(2.2343, grad_fn=<DivBackward0>);2.354027509093781;0.0;161230
normal;4;0.01;tensor(2.2343, grad_fn=<DivBackward0>);2.223218358294222;30.03053011379406;161230
backdoor;5;0.01;tensor(2.2174, grad_fn=<DivBackward0>);2.367937468635417;0.0;161523
normal;5;0.01;tensor(2.2174, grad_fn=<DivBackward0>);2.2064981103241195;30.03053011379406;161523
backdoor;6;0.01;tensor(2.2016, grad_fn=<DivBackward0>);2.3820608087688426;0.0;161817
normal;6;0.01;tensor(2.2016, grad_fn=<DivBackward0>);2.1908473867924054;30.03053011379406;161817
backdoor;7;0.01;tensor(2.1869, grad_fn=<DivBackward0>);2.3963733337470106;0.0;162111
normal;7;0.01;tensor(2.1869, grad_fn=<DivBackward0>);2.1762145204144385;30.03053011379406;162111
backdoor;8;0.01;tensor(2.1732, grad_fn=<DivBackward0>);2.4108440421403796;0.0;162404
normal;8;0.01;tensor(2.1732, grad_fn=<DivBackward0>);2.1625428868107686;30.03053011379406;162404
backdoor;9;0.01;tensor(2.1604, grad_fn=<DivBackward0>);2.4254468917317302;0.0;162657
normal;9;0.01;tensor(2.1604, grad_fn=<DivBackward0>);2.1497784449661768;30.03053011379406;162657
backdoor;10;0.01;tensor(2.1484, grad_fn=<DivBackward0>);2.440150838741289;0.0;162955
normal;10;0.01;tensor(2.1484, grad_fn=<DivBackward0>);2.137874505865948;30.03053011379406;162955
backdoor;11;0.01;tensor(2.1373, grad_fn=<DivBackward0>);2.4549170935316083;0.0;163252
normal;11;0.01;tensor(2.1373, grad_fn=<DivBackward0>);2.1267915249797262;30.03053011379406;163252
backdoor;12;0.01;tensor(2.1269, grad_fn=<DivBackward0>);2.4697220183199655;0.0;163546
normal;12;0.01;tensor(2.1269, grad_fn=<DivBackward0>);2.1164788853086565;30.03053011379406;163546
backdoor;13;0.01;tensor(2.1174, grad_fn=<DivBackward0>);2.4845199680248964;0.0;163846
normal;13;0.01;tensor(2.1174, grad_fn=<DivBackward0>);2.106901064535793;30.03053011379406;163846
backdoor;14;0.01;tensor(2.1085, grad_fn=<DivBackward0>);2.4992784176672163;0.0;164139
normal;14;0.01;tensor(2.1085, grad_fn=<DivBackward0>);2.09801524022272;30.03053011379406;164139
backdoor;15;0.01;tensor(2.1002, grad_fn=<DivBackward0>);2.5139702091010583;0.0;164442
normal;15;0.01;tensor(2.1002, grad_fn=<DivBackward0>);2.089780081717994;30.03053011379406;164442
backdoor;16;0.01;tensor(2.0926, grad_fn=<DivBackward0>);2.528553485473328;0.0;164756
normal;16;0.01;tensor(2.0926, grad_fn=<DivBackward0>);2.082159806250732;30.03053011379406;164756
backdoor;17;0.01;tensor(2.0856, grad_fn=<DivBackward0>);2.542976647259757;0.0;165103
normal;17;0.01;tensor(2.0856, grad_fn=<DivBackward0>);2.0751190884325723;30.03053011379406;165103
backdoor;18;0.01;tensor(2.0790, grad_fn=<DivBackward0>);2.557226875044722;0.0;165416
normal;18;0.01;tensor(2.0790, grad_fn=<DivBackward0>);2.0686161984611213;30.03053011379406;165416
backdoor;19;0.01;tensor(2.0730, grad_fn=<DivBackward0>);2.571244460293031;0.0;165721
normal;19;0.01;tensor(2.0730, grad_fn=<DivBackward0>);2.062619165086495;30.03053011379406;165721
backdoor;20;0.01;tensor(2.0676, grad_fn=<DivBackward0>);2.5850020267551157;0.0;170015
normal;20;0.01;tensor(2.0676, grad_fn=<DivBackward0>);2.057099483425406;30.03053011379406;170015
backdoor;21;0.01;tensor(2.0625, grad_fn=<DivBackward0>);2.5984708122700213;0.0;170310
normal;21;0.01;tensor(2.0625, grad_fn=<DivBackward0>);2.0520143310394414;30.03053011379406;170310
backdoor;22;0.01;tensor(2.0580, grad_fn=<DivBackward0>);2.611566851147671;0.0;170605
normal;22;0.01;tensor(2.0580, grad_fn=<DivBackward0>);2.047343396756704;30.03053011379406;170605
backdoor;23;0.01;tensor(2.0535, grad_fn=<DivBackward0>);2.6243417312660187;0.0;170904
normal;23;0.01;tensor(2.0535, grad_fn=<DivBackward0>);2.0430403907134274;30.03053011379406;170904
backdoor;24;0.01;tensor(2.0497, grad_fn=<DivBackward0>);2.6367072667342373;0.0;171158
normal;24;0.01;tensor(2.0497, grad_fn=<DivBackward0>);2.039091155226615;30.03053011379406;171158
backdoor;25;0.01;tensor(2.0461, grad_fn=<DivBackward0>);2.64869732185764;0.0;171453
normal;25;0.01;tensor(2.0461, grad_fn=<DivBackward0>);2.0354573442775146;30.03053011379406;171453
backdoor;26;0.01;tensor(2.0428, grad_fn=<DivBackward0>);2.660274585021922;0.0;171747
normal;26;0.01;tensor(2.0428, grad_fn=<DivBackward0>);2.032119456642441;30.03053011379406;171747
backdoor;27;0.01;tensor(2.0396, grad_fn=<DivBackward0>);2.671443624758502;0.0;172042
normal;27;0.01;tensor(2.0396, grad_fn=<DivBackward0>);2.029046353253596;30.03053011379406;172042
backdoor;28;0.01;tensor(2.0368, grad_fn=<DivBackward0>);2.6821956512764564;0.0;172336
normal;28;0.01;tensor(2.0368, grad_fn=<DivBackward0>);2.026213581086264;30.03053011379406;172336
backdoor;29;0.01;tensor(2.0344, grad_fn=<DivBackward0>);2.692443917534135;0.0;172630
normal;29;0.01;tensor(2.0344, grad_fn=<DivBackward0>);2.0236140422413422;30.03053011379406;172630
backdoor;30;0.01;tensor(2.0321, grad_fn=<DivBackward0>);2.7022408107701454;0.0;172924
normal;30;0.01;tensor(2.0321, grad_fn=<DivBackward0>);2.0212239104775698;30.03053011379406;172924
backdoor;31;0.01;tensor(2.0298, grad_fn=<DivBackward0>);2.711599146165088;0.0;173219
normal;31;0.01;tensor(2.0298, grad_fn=<DivBackward0>);2.0190193902576032;30.03053011379406;173219
backdoor;32;0.01;tensor(2.0278, grad_fn=<DivBackward0>);2.720560238489071;0.0;173513
normal;32;0.01;tensor(2.0278, grad_fn=<DivBackward0>);2.0169860359168603;30.03053011379406;173513
backdoor;33;0.01;tensor(2.0260, grad_fn=<DivBackward0>);2.7290550738018884;0.0;173807
normal;33;0.01;tensor(2.0260, grad_fn=<DivBackward0>);2.0151117522287065;30.03053011379406;173807
backdoor;34;0.01;tensor(2.0244, grad_fn=<DivBackward0>);2.737083640457225;0.0;174101
normal;34;0.01;tensor(2.0244, grad_fn=<DivBackward0>);2.0133834826162116;30.03053011379406;174101
backdoor;35;0.01;tensor(2.0228, grad_fn=<DivBackward0>);2.744682145787053;0.0;174355
normal;35;0.01;tensor(2.0228, grad_fn=<DivBackward0>);2.0117881397985267;30.03053011379406;174355
backdoor;36;0.01;tensor(2.0213, grad_fn=<DivBackward0>);2.7518939045512476;0.0;174649
normal;36;0.01;tensor(2.0213, grad_fn=<DivBackward0>);2.0103098720833223;30.03053011379406;174649
backdoor;37;0.01;tensor(2.0200, grad_fn=<DivBackward0>);2.7587255551488803;0.0;174943
normal;37;0.01;tensor(2.0200, grad_fn=<DivBackward0>);2.008944342806708;30.03053011379406;174943
backdoor;38;0.01;tensor(2.0188, grad_fn=<DivBackward0>);2.765076088038478;0.0;175237
normal;38;0.01;tensor(2.0188, grad_fn=<DivBackward0>);2.0076828966397495;30.03053011379406;175237
backdoor;39;0.01;tensor(2.0178, grad_fn=<DivBackward0>);2.771084339989909;0.0;175531
normal;39;0.01;tensor(2.0178, grad_fn=<DivBackward0>);2.0065168210806994;30.03053011379406;175531
backdoor;40;0.01;tensor(2.0167, grad_fn=<DivBackward0>);2.7767499129109803;0.0;175825
normal;40;0.01;tensor(2.0167, grad_fn=<DivBackward0>);2.0054339870227365;30.03053011379406;175825
backdoor;41;0.01;tensor(2.0157, grad_fn=<DivBackward0>);2.7820370113257398;0.0;180119
normal;41;0.01;tensor(2.0157, grad_fn=<DivBackward0>);2.004432813743403;30.03053011379406;180119
backdoor;42;0.01;tensor(2.0148, grad_fn=<DivBackward0>);2.786974722433183;0.0;180414
normal;42;0.01;tensor(2.0148, grad_fn=<DivBackward0>);2.003504132417186;30.03053011379406;180414
backdoor;43;0.01;tensor(2.0139, grad_fn=<DivBackward0>);2.7915922498954457;0.0;180708
normal;43;0.01;tensor(2.0139, grad_fn=<DivBackward0>);2.0026463570278485;30.03053011379406;180708
backdoor;44;0.01;tensor(2.0132, grad_fn=<DivBackward0>);2.7959687780612645;0.0;181004
normal;44;0.01;tensor(2.0132, grad_fn=<DivBackward0>);2.0018435702401995;30.03053011379406;181004
backdoor;45;0.01;tensor(2.0125, grad_fn=<DivBackward0>);2.8000067002304125;0.0;181301
normal;45;0.01;tensor(2.0125, grad_fn=<DivBackward0>);2.001100473988893;30.03053011379406;181301
backdoor;46;0.01;tensor(2.0117, grad_fn=<DivBackward0>);2.803818113235444;0.0;181555
normal;46;0.01;tensor(2.0117, grad_fn=<DivBackward0>);2.000404935990841;30.03053011379406;181555
backdoor;47;0.01;tensor(2.0113, grad_fn=<DivBackward0>);2.807237702940624;0.0;181850
normal;47;0.01;tensor(2.0113, grad_fn=<DivBackward0>);1.9997646576359707;30.03053011379406;181850
backdoor;48;0.01;tensor(2.0105, grad_fn=<DivBackward0>);2.810476765247507;0.0;182144
normal;48;0.01;tensor(2.0105, grad_fn=<DivBackward0>);1.999167824267944;30.03053011379406;182144
backdoor;49;0.01;tensor(2.0101, grad_fn=<DivBackward0>);2.8134676880086094;0.0;182438
normal;49;0.01;tensor(2.0101, grad_fn=<DivBackward0>);1.9986096894843626;30.03053011379406;182438
backdoor;50;0.01;tensor(2.0096, grad_fn=<DivBackward0>);2.8161527033881812;0.0;182732
normal;50;0.01;tensor(2.0096, grad_fn=<DivBackward0>);1.9980874602873393;30.03053011379406;182732
backdoor;51;0.01;tensor(2.0092, grad_fn=<DivBackward0>);2.8186404206770646;0.0;183026
normal;51;0.01;tensor(2.0092, grad_fn=<DivBackward0>);1.9976060630677641;30.03053011379406;183026
backdoor;52;0.01;tensor(2.0087, grad_fn=<DivBackward0>);2.820928436499518;0.0;183321
normal;52;0.01;tensor(2.0087, grad_fn=<DivBackward0>);1.9971540336174798;30.03053011379406;183321
backdoor;53;0.01;tensor(2.0083, grad_fn=<DivBackward0>);2.8229954592757447;0.0;183615
normal;53;0.01;tensor(2.0083, grad_fn=<DivBackward0>);1.9967297350999682;30.03053011379406;183615
backdoor;54;0.01;tensor(2.0080, grad_fn=<DivBackward0>);2.8248650187953723;0.0;183909
normal;54;0.01;tensor(2.0080, grad_fn=<DivBackward0>);1.996334895404749;30.03053011379406;183909
backdoor;55;0.01;tensor(2.0077, grad_fn=<DivBackward0>);2.8265582255909516;0.0;184203
normal;55;0.01;tensor(2.0077, grad_fn=<DivBackward0>);1.9959609407270877;30.03053011379406;184203
backdoor;56;0.01;tensor(2.0073, grad_fn=<DivBackward0>);2.828047296850674;0.0;184457
normal;56;0.01;tensor(2.0073, grad_fn=<DivBackward0>);1.9956111098010771;30.03053011379406;184457
backdoor;57;0.01;tensor(2.0071, grad_fn=<DivBackward0>);2.829378004706703;0.0;184751
normal;57;0.01;tensor(2.0071, grad_fn=<DivBackward0>);1.9952852544009008;30.03053011379406;184751
backdoor;58;0.01;tensor(2.0066, grad_fn=<DivBackward0>);2.8306297621990355;0.0;185045
normal;58;0.01;tensor(2.0066, grad_fn=<DivBackward0>);1.9949728017908117;30.03053011379406;185045
backdoor;59;0.01;tensor(2.0064, grad_fn=<DivBackward0>);2.831720948781763;0.0;185339
normal;59;0.01;tensor(2.0064, grad_fn=<DivBackward0>);1.994683316771004;30.03053011379406;185339
backdoor;60;0.01;tensor(2.0063, grad_fn=<DivBackward0>);2.832648813807233;0.0;185633
normal;60;0.01;tensor(2.0063, grad_fn=<DivBackward0>);1.994407165722155;30.03053011379406;185633
backdoor;61;0.01;tensor(2.0059, grad_fn=<DivBackward0>);2.8335060195859327;0.0;185928
normal;61;0.01;tensor(2.0059, grad_fn=<DivBackward0>);1.994142150667155;30.03053011379406;185928
backdoor;62;0.01;tensor(2.0058, grad_fn=<DivBackward0>);2.834226626804594;0.0;190222
normal;62;0.01;tensor(2.0058, grad_fn=<DivBackward0>);1.993890233480563;30.03053011379406;190222
backdoor;63;0.01;tensor(2.0054, grad_fn=<DivBackward0>);2.8349044772277034;0.0;190517
normal;63;0.01;tensor(2.0054, grad_fn=<DivBackward0>);1.9936423999152182;30.03053011379406;190517
backdoor;64;0.01;tensor(2.0053, grad_fn=<DivBackward0>);2.8354708099576986;0.0;190811
