#merge strategy: sequential
#number of distributed sources: 5
#batch size: 10
#distribution of data: equally distributed subset
#percentage of backdoored nodes: 0.2
#percentage of poisoned data in backdoored nodes: 100
#way backdoor looks like: tattoo
#order of time: backdoors first
#attack model: basic
#starttime: 094038
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.01;2.545823574066162;2.5066682742192197;100.0;094101
normal;1;0.01;2.57507061958313;2.5650801291832557;7.6923076923076925;094237
backdoor;2;0.01;2.4911913871765137;2.4546818366417518;100.0;094309
normal;2;0.01;2.5760610103607178;2.5653727604792667;7.6923076923076925;094446
backdoor;3;0.01;2.4365954399108887;2.3992981910705566;100.0;094516
normal;3;0.01;2.576801300048828;2.565878758063683;7.6923076923076925;094652
backdoor;4;0.01;2.3789803981781006;2.335084181565505;100.0;094720
normal;4;0.01;2.579922676086426;2.5669173827538123;7.6923076923076925;094900
backdoor;5;0.01;2.3071107864379883;2.2606508915240946;100.0;094931
normal;5;0.01;2.588158130645752;2.568549926464374;7.6923076923076925;095110
backdoor;6;0.01;2.2112321853637695;2.176355948814979;100.0;095140
normal;6;0.01;2.600721836090088;2.571216729971079;7.6923076923076925;095329
backdoor;7;0.01;2.0899994373321533;2.1181305371798;100.0;095354
normal;7;0.01;2.622807264328003;2.5736459585336537;7.6923076923076925;095527
backdoor;8;0.01;2.0027763843536377;2.0947536688584547;100.0;095553
normal;8;0.01;2.6391379833221436;2.5748574550335226;7.6923076923076925;095716
backdoor;9;0.01;1.9786572456359863;2.0797030742351827;100.0;095743
normal;9;0.01;2.635714292526245;2.5756846207838793;7.6923076923076925;095907
backdoor;10;0.01;1.967084288597107;2.0642875891465406;100.0;095933
normal;10;0.01;2.6322667598724365;2.5763814632709208;7.6923076923076925;100055
backdoor;11;0.01;1.9579041004180908;2.0539442209097056;100.0;100122
normal;11;0.01;2.6302735805511475;2.5769434708815355;7.6923076923076925;100246
backdoor;12;0.01;1.957733154296875;2.0386116321270285;100.0;100312
normal;12;0.01;2.625457763671875;2.577893477219802;7.6923076923076925;100435
backdoor;13;0.01;1.955493688583374;2.0196264340327335;100.0;100501
normal;13;0.01;2.6209089756011963;2.5790307705218973;7.6923076923076925;100619
backdoor;14;0.01;1.9341238737106323;2.003801492544321;100.0;100644
normal;14;0.01;2.6237335205078125;2.5800354297344503;7.6923076923076925;100803
backdoor;15;0.01;1.9164276123046875;1.9881631411038911;100.0;100827
normal;15;0.01;2.623554229736328;2.580889885242169;7.6923076923076925;100945
backdoor;16;0.01;1.9051412343978882;1.9738010993370643;100.0;101010
normal;16;0.01;2.6237189769744873;2.581778416266808;7.6923076923076925;101129
backdoor;17;0.01;1.9028152227401733;1.9607469485356257;100.0;101153
normal;17;0.01;2.6221351623535156;2.582522098834698;7.6923076923076925;101312
backdoor;18;0.01;1.896358847618103;1.9390843097980206;100.0;101336
normal;18;0.01;2.6201624870300293;2.5839786529541016;7.6923076923076925;101455
backdoor;19;0.01;1.8701972961425781;1.9187358342684233;100.0;101519
normal;19;0.01;2.621596097946167;2.585478892693153;7.6923076923076925;101638
backdoor;20;0.01;1.8556008338928223;1.9037952423095703;100.0;101702
normal;20;0.01;2.622288703918457;2.5865721702575684;7.6923076923076925;101821
backdoor;21;0.01;1.8362077474594116;1.8887278483464167;100.0;101845
normal;21;0.01;2.623427629470825;2.5876512894263635;7.6923076923076925;102004
backdoor;22;0.01;1.8286117315292358;1.871229281792274;100.0;102028
normal;22;0.01;2.6224615573883057;2.5888830698453464;7.6923076923076925;102147
backdoor;23;0.01;1.812821388244629;1.8567436658419096;100.0;102212
normal;23;0.01;2.623575448989868;2.5899911660414476;7.6923076923076925;102331
backdoor;24;0.01;1.8009212017059326;1.8400337879474347;100.0;102355
normal;24;0.01;2.624182939529419;2.5913917468144345;7.6923076923076925;102514
backdoor;25;0.01;1.7824697494506836;1.8293198805588942;100.0;102539
normal;25;0.01;2.6278767585754395;2.5922084221473107;7.6923076923076925;102658
backdoor;26;0.01;1.7729629278182983;1.8127380517812877;100.0;102723
normal;26;0.01;2.624871253967285;2.5936441054710975;7.6923076923076925;102842
backdoor;27;0.01;1.7604262828826904;1.7982485844538763;100.0;102907
normal;27;0.01;2.6254823207855225;2.5948417370135965;7.6923076923076925;103025
backdoor;28;0.01;1.7438697814941406;1.7853874426621656;100.0;103050
normal;28;0.01;2.628211259841919;2.596007823944092;7.6923076923076925;103209
backdoor;29;0.01;1.733141303062439;1.7711241428668683;100.0;103234
normal;29;0.01;2.6275928020477295;2.597217926612267;7.6923076923076925;103403
backdoor;30;0.01;1.7203881740570068;1.7581401604872484;100.0;103429
normal;30;0.01;2.6286144256591797;2.598456309391902;7.6923076923076925;103558
backdoor;31;0.01;1.7086089849472046;1.7464825556828425;100.0;103626
normal;31;0.01;2.629298448562622;2.5993296183072605;7.6923076923076925;103751
backdoor;32;0.01;1.6944186687469482;1.7318989680363581;100.0;103817
normal;32;0.01;2.630039930343628;2.600723853478065;7.6923076923076925;103942
backdoor;33;0.01;1.6843452453613281;1.7227888107299805;100.0;104009
normal;33;0.01;2.6330602169036865;2.601565507742075;7.6923076923076925;104134
backdoor;34;0.01;1.6757816076278687;1.7102201168353741;100.0;104201
normal;34;0.01;2.631385564804077;2.602810126084548;7.6923076923076925;104326
backdoor;35;0.01;1.6638544797897339;1.6972129895136907;100.0;104358
normal;35;0.01;2.632425546646118;2.604045060964731;7.6923076923076925;104539
backdoor;36;0.01;1.64766526222229;1.68764616892888;100.0;104608
normal;36;0.01;2.633925676345825;2.6048849545992336;7.6923076923076925;104731
backdoor;37;0.01;1.6373018026351929;1.6788243513840895;100.0;104757
normal;37;0.01;2.6343624591827393;2.6057061415452223;7.6923076923076925;104919
backdoor;38;0.01;1.6247854232788086;1.666314491858849;100.0;104945
normal;38;0.01;2.634098768234253;2.6067870947030873;7.6923076923076925;105108
backdoor;39;0.01;1.6192271709442139;1.6588853322542632;100.0;105134
normal;39;0.01;2.6369731426239014;2.60740720308744;7.6923076923076925;105258
backdoor;40;0.01;1.6101510524749756;1.6488191531254694;100.0;105326
normal;40;0.01;2.6365084648132324;2.608414649963379;7.6923076923076925;105448
backdoor;41;0.01;1.5992692708969116;1.642411708831787;100.0;105515
normal;41;0.01;2.6386959552764893;2.608878942636343;7.6923076923076925;105641
backdoor;42;0.01;1.5918258428573608;1.6331784908588116;100.0;105708
normal;42;0.01;2.6375033855438232;2.609718469473032;7.6923076923076925;105831
backdoor;43;0.01;1.5829246044158936;1.6250483439518855;100.0;105858
normal;43;0.01;2.6386630535125732;2.6103569911076474;7.6923076923076925;110021
backdoor;44;0.01;1.5781795978546143;1.616155587709867;100.0;110047
normal;44;0.01;2.6378726959228516;2.6109710106482873;7.6923076923076925;110210
backdoor;45;0.01;1.5681118965148926;1.613062491783729;100.0;110236
normal;45;0.01;2.6417248249053955;2.6110272040733924;7.6923076923076925;110359
backdoor;46;0.01;1.561647653579712;1.6034699219923754;100.0;110425
normal;46;0.01;2.63857364654541;2.611723239605243;7.6923076923076925;110549
backdoor;47;0.01;1.5437278747558594;1.5974674224853516;100.0;110617
normal;47;0.01;2.6408658027648926;2.6119136810302734;7.6923076923076925;110749
backdoor;48;0.01;1.5475680828094482;1.5905907704279973;100.0;110819
normal;48;0.01;2.6398513317108154;2.612028415386493;7.6923076923076925;110954
backdoor;49;0.01;1.5409104824066162;1.5848637727590709;100.0;111019
normal;49;0.01;2.6401352882385254;2.61200501368596;7.6923076923076925;111146
backdoor;50;0.01;1.5297549962997437;1.5778167431171124;100.0;111212
normal;50;0.01;2.64027738571167;2.611928646381085;7.6923076923076925;111338
backdoor;51;0.01;1.5192086696624756;1.5735434018648589;100.0;111404
normal;51;0.01;2.642362356185913;2.611877514765813;7.6923076923076925;111528
backdoor;52;0.01;1.5174793004989624;1.5665799654447115;100.0;111552
normal;52;0.01;2.64111065864563;2.611891379723182;7.6923076923076925;111716
backdoor;53;0.01;1.512352705001831;1.56514127437885;100.0;111740
normal;53;0.01;2.641035556793213;2.61088620699369;7.6923076923076925;111904
backdoor;54;0.01;1.4998834133148193;1.560427188873291;100.0;111928
normal;54;0.01;2.640000581741333;2.610073529756986;7.6923076923076925;112051
backdoor;55;0.01;1.4911508560180664;1.5583885999826284;100.0;112115
