#merge strategy: sequential
#number of distributed sources: 5
#batch size: 10
#distribution of data: equally distributed subset
#percentage of backdoored nodes: 0.2
#percentage of poisoned data in backdoored nodes: 100
#way backdoor looks like: glasses
#order of time: backdoors last
#attack model: basic
#starttime: 162449
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.01;2.5294222831726074;2.494651582505968;100.0;162633
normal;1;0.01;2.573137044906616;2.565365717961238;7.6923076923076925;162614
backdoor;2;0.01;2.4819393157958984;2.4460154639350042;100.0;162820
normal;2;0.01;2.5732264518737793;2.5656765424288235;7.6923076923076925;162801
backdoor;3;0.01;2.434683322906494;2.396290249294705;100.0;163007
normal;3;0.01;2.5748469829559326;2.5662339283869815;7.6923076923076925;162947
backdoor;4;0.01;2.384767532348633;2.342392815483941;100.0;163153
normal;4;0.01;2.5750088691711426;2.56711431650015;7.6923076923076925;163134
backdoor;5;0.01;2.333796262741089;2.2797758314344616;100.0;163340
normal;5;0.01;2.576385021209717;2.5686261103703427;7.6923076923076925;163321
backdoor;6;0.01;2.276010513305664;2.198187722100152;100.0;163526
normal;6;0.01;2.5783894062042236;2.5712632032541127;7.6923076923076925;163507
backdoor;7;0.01;2.199249744415283;2.0777679019504123;100.0;163713
normal;7;0.01;2.583583116531372;2.576767224531907;7.6923076923076925;163653
backdoor;8;0.01;2.112916946411133;1.9065401289198134;100.0;163902
normal;8;0.01;2.5928494930267334;2.5883393654456506;7.6923076923076925;163840
backdoor;9;0.01;2.0283753871917725;1.7279719246758356;100.0;164048
normal;9;0.01;2.6077239513397217;2.6066447037916918;7.6923076923076925;164028
backdoor;10;0.01;1.9729220867156982;1.6119740804036458;100.0;164233
normal;10;0.01;2.618708848953247;2.6227187376755934;7.6923076923076925;164214
backdoor;11;0.01;1.9547456502914429;1.614717271592882;100.0;164419
normal;11;0.01;2.6287262439727783;2.62258243560791;7.6923076923076925;164400
backdoor;12;0.01;1.9298161268234253;1.5801618364122179;100.0;164605
normal;12;0.01;2.6223251819610596;2.62840828528771;7.6923076923076925;164545
backdoor;13;0.01;1.9171438217163086;1.5926455391777887;100.0;164750
normal;13;0.01;2.625621795654297;2.6267558611356296;7.6923076923076925;164731
backdoor;14;0.01;1.9119623899459839;1.6091558668348525;100.0;164935
normal;14;0.01;2.62432861328125;2.624123133145846;7.6923076923076925;164916
backdoor;15;0.01;1.8944377899169922;1.605177879333496;100.0;165120
normal;15;0.01;2.6235179901123047;2.6247452955979567;7.6923076923076925;165101
backdoor;16;0.01;1.8804028034210205;1.602490743001302;100.0;165305
normal;16;0.01;2.621495008468628;2.625122437110314;7.6923076923076925;165246
backdoor;17;0.01;1.8671023845672607;1.5987985399034288;100.0;165449
normal;17;0.01;2.6225452423095703;2.625661849975586;7.6923076923076925;165430
backdoor;18;0.01;1.8512637615203857;1.5933012432522244;100.0;165634
normal;18;0.01;2.6214077472686768;2.6262485063993015;7.6923076923076925;165615
backdoor;19;0.01;1.837349772453308;1.5896057552761502;100.0;165819
normal;19;0.01;2.622124433517456;2.626604153559758;7.6923076923076925;165800
backdoor;20;0.01;1.8260830640792847;1.5916834937201605;100.0;170004
normal;20;0.01;2.624011754989624;2.626174413240873;7.6923076923076925;165945
backdoor;21;0.01;1.8118385076522827;1.5754108428955078;100.0;170149
normal;21;0.01;2.623183488845825;2.6286972486055813;7.6923076923076925;170130
backdoor;22;0.01;1.799521803855896;1.5673954221937392;100.0;170334
normal;22;0.01;2.6227097511291504;2.6297561938946066;7.6923076923076925;170315
backdoor;23;0.01;1.79302978515625;1.5728365580240886;100.0;170519
normal;23;0.01;2.6252803802490234;2.62847716991718;7.6923076923076925;170500
backdoor;24;0.01;1.7745695114135742;1.5628536012437608;100.0;170704
normal;24;0.01;2.6231324672698975;2.6299528708824744;7.6923076923076925;170645
backdoor;25;0.01;1.7685518264770508;1.5624326070149739;100.0;170849
