#merge strategy: sequential
#number of distributed sources: 5
#batch size: 10
#distribution of data: equally distributed subset
#percentage of backdoored nodes: 0.2
#percentage of poisoned data in backdoored nodes: 100
#way backdoor looks like: green_squares
#order of time: backdoors first
#attack model: basic
#starttime: 115009
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.01;0.15793050825595856;13.285820147336405;5.550929780738274;115458
normal;1;0.01;1.1151939630508423;0.2728872521108091;92.2842076047738;121453
backdoor;2;0.01;0.06810637563467026;14.843837228747637;6.6888703857896195;122012
normal;2;0.01;0.1891079992055893;0.12546638666492574;96.66944213155703;124028
backdoor;3;0.01;0.06665609031915665;15.830953903040038;6.466833194560089;124548
normal;3;0.01;0.10532159358263016;0.10097873209466489;97.83513738551207;130605
backdoor;4;0.01;0.07360194623470306;16.81193385345856;6.27255065223425;131125
normal;4;0.01;0.07499539107084274;0.0726754150374438;98.30696641687483;133148
backdoor;5;0.01;0.07151702046394348;16.115703725251308;6.217041354426867;133709
normal;5;0.01;0.061576034873723984;0.06767069222921539;98.22370247016376;135739
backdoor;6;0.01;0.07017885148525238;15.652177812878994;6.106022758812101;140311
normal;6;0.01;0.05230987071990967;0.05953065534678162;98.55675825700804;142342
backdoor;7;0.01;0.06467948853969574;16.71845650064309;6.355814598945323;142912
normal;7;0.01;0.04573698341846466;0.07383068461710364;98.50124895920067;145039
backdoor;8;0.01;0.06559240072965622;16.872470231447277;5.717457674160422;145637
normal;8;0.01;0.0364767387509346;0.05929388859692717;98.6955315015265;151744
