#dataset: trafficsign
#way backdoor looks like: green_squares
#merge strategy: sequential
#number of benign sources: 9
#number of malicious sources: 1
#batch size: 64
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: NONE
#order of time backdoors being inserted: NONE
#attack model: basic
#starttime: 141715
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.01;0.554468035697937;0.03390150488585093;100.0;142039
normal;1;0.01;2.0397696495056152;8.143428903072039;5.4676658340271995;142019
backdoor;2;0.01;0.4119498133659363;0.013217605356010189;100.0;142416
normal;2;0.01;1.3228271007537842;9.704260377515787;5.4676658340271995;142356
backdoor;3;0.01;0.5618419051170349;0.009431648951891294;100.0;142752
normal;3;0.01;0.7358322739601135;8.812323432762094;5.4676658340271995;142732
backdoor;4;0.01;0.6007264852523804;0.00844809834028809;100.0;143127
normal;4;0.01;0.48742637038230896;7.592807692420043;5.4676658340271995;143108
backdoor;5;0.01;0.629146933555603;0.007533938558568003;100.0;143503
normal;5;0.01;0.3326878249645233;7.387517198537692;5.4676658340271995;143443
backdoor;6;0.01;0.629711925983429;0.007801429389751341;100.0;143838
normal;6;0.01;0.2690102756023407;7.247696988334217;5.4676658340271995;143818
backdoor;7;0.01;0.6526817679405212;0.008144659644947627;100.0;144213
normal;7;0.01;0.23275746405124664;6.9140851021085945;5.4676658340271995;144153
backdoor;8;0.01;0.6182824373245239;0.008037956083586836;99.94449070219262;144548
normal;8;0.01;0.2027619332075119;6.831394331387569;5.5231751318345825;144529
backdoor;9;0.01;0.6342484354972839;0.008612484254238674;99.94449070219262;144924
normal;9;0.01;0.18387265503406525;6.516546820614786;5.550929780738274;144904
backdoor;10;0.01;0.6456421613693237;0.00857643411494016;99.94449070219262;145300
normal;10;0.01;0.16777850687503815;6.147571946159543;5.550929780738274;145239
backdoor;11;0.01;0.6325318217277527;0.0073347673633803005;99.94449070219262;145635
normal;11;0.01;0.15375636518001556;6.154731635637571;5.578684429641965;145615
backdoor;12;0.01;0.6339288353919983;0.0076710194098041215;99.94449070219262;150010
normal;12;0.01;0.14290395379066467;5.905012204725623;5.606439078545656;145950
backdoor;13;0.01;0.6061499714851379;0.007607149232417767;99.94449070219262;150345
normal;13;0.01;0.13385312259197235;5.672082616963876;5.689703025256731;150325
backdoor;14;0.01;0.5995790362358093;0.008038445141155075;99.94449070219262;150737
normal;14;0.01;0.12427128106355667;5.436772722483628;5.772966971967804;150717
backdoor;15;0.01;0.5895929336547852;0.006490368150611975;99.94449070219262;151115
normal;15;0.01;0.11970888823270798;5.54266525229815;5.800721620871496;151055
backdoor;16;0.01;0.5645573735237122;0.006393597074459939;99.94449070219262;151450
normal;16;0.01;0.11507989466190338;5.1943148603379035;5.856230918678879;151430
backdoor;17;0.01;0.5508424639701843;0.00674933342993582;99.94449070219262;151824
normal;17;0.01;0.1094086542725563;4.827748492412846;6.07826810990841;151804
backdoor;18;0.01;0.5194811224937439;0.0061118341504813045;99.94449070219262;152159
normal;18;0.01;0.09940945357084274;4.766987136183366;6.328059950041632;152139
backdoor;19;0.01;0.498670756816864;0.005976234979761076;99.94449070219262;152533
normal;19;0.01;0.09781123697757721;4.4615542487280875;6.938662225922842;152514
backdoor;20;0.01;0.4755038022994995;0.005375402841877007;99.94449070219262;152908
normal;20;0.01;0.09064910560846329;4.188417050591482;6.966416874826534;152848
backdoor;21;0.01;0.4260241985321045;0.004454583060760191;99.91673605328893;153242
normal;21;0.01;0.08521918207406998;4.069265826460767;7.854565639744657;153223
backdoor;22;0.01;0.4154001772403717;0.0045575839364194876;99.91673605328893;153617
normal;22;0.01;0.08111543953418732;3.59138538678909;9.769636414099361;153557
backdoor;23;0.01;0.37199538946151733;0.0037798714453772964;99.9722453510963;153951
normal;23;0.01;0.07629629969596863;3.460432680874294;12.98917568692756;153931
backdoor;24;0.01;0.35805782675743103;0.003476641235241494;99.94449070219262;154325
