#dataset: trafficsign
#way backdoor looks like: green_squares
#merge strategy: aggregation
#learning rate: 0.1
#number of benign sources: 4
#number of malicious sources: 1
#batch size: 64
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 1.0
#order of time backdoors being inserted: no
#attack model: basic
#starttime: 151859
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.01;0.0;2.47622134028426;0.0;092336
normal;1;0.01;tensor(2.7492, grad_fn=<DivBackward0>);2.11197068497369;30.03053011379406;092336
backdoor;2;0.01;0.0;2.6470339020986606;0.0;092721
normal;2;0.01;tensor(2.5956, grad_fn=<DivBackward0>);2.0364873570069784;30.03053011379406;092721
backdoor;3;0.01;0.0;2.7596350973459076;0.0;093103
normal;3;0.01;tensor(2.5384, grad_fn=<DivBackward0>);2.0091725883303897;30.03053011379406;093103
backdoor;4;0.01;0.0;2.8143142374098518;0.0;093446
normal;4;0.01;tensor(2.5178, grad_fn=<DivBackward0>);1.998884041707052;30.03053011379406;093446
backdoor;5;0.01;0.0;2.83359604982942;0.0;093823
normal;5;0.01;tensor(2.5098, grad_fn=<DivBackward0>);1.9947266812924045;30.03053011379406;093823
backdoor;6;0.01;0.0;2.834249958606882;0.0;094200
normal;6;0.01;tensor(2.5064, grad_fn=<DivBackward0>);1.9928343204071612;30.03053011379406;094200
backdoor;7;0.01;0.0;2.827500261004488;0.0;094538
normal;7;0.01;tensor(2.5049, grad_fn=<DivBackward0>);1.9918230307158449;30.03053011379406;094538
backdoor;8;0.01;0.0;2.8191552227019203;0.0;094916
normal;8;0.01;tensor(2.5039, grad_fn=<DivBackward0>);1.9911917507267978;30.03053011379406;094916
backdoor;9;0.01;0.0;2.812099915228385;0.0;095254
normal;9;0.01;tensor(2.5034, grad_fn=<DivBackward0>);1.990653660308643;30.03053011379406;095254
backdoor;10;0.01;0.0;2.807783491572439;0.0;095633
normal;10;0.01;tensor(2.5029, grad_fn=<DivBackward0>);1.9898427973315016;30.03053011379406;095633
backdoor;11;0.01;0.0;2.8234190844245464;0.0;100013
normal;11;0.01;tensor(2.5003, grad_fn=<DivBackward0>);1.9859817900857495;30.03053011379406;100013
backdoor;12;0.01;0.0;2.9035824996181705;0.0;100353
normal;12;0.01;tensor(2.4830, grad_fn=<DivBackward0>);1.9676352730400855;30.03053011379406;100353
backdoor;13;0.01;0.0;2.8887627268380136;0.0;100738
normal;13;0.01;tensor(2.4497, grad_fn=<DivBackward0>);1.9243628602209204;30.00277546489037;100738
backdoor;14;0.01;0.0;2.7452245305188656;0.0;101119
normal;14;0.01;tensor(2.2941, grad_fn=<DivBackward0>);1.740429886440221;42.381348875936716;101119
backdoor;15;0.01;0.0;2.7040480847428845;0.0;101458
normal;15;0.01;tensor(2.1558, grad_fn=<DivBackward0>);1.8870530892106647;36.05328892589509;101458
backdoor;16;0.01;0.0;2.666188640525663;0.0;101837
normal;16;0.01;tensor(2.0494, grad_fn=<DivBackward0>);1.874222684760177;29.947266167082986;101837
backdoor;17;0.01;0.0;6.379251638386536;11.018595614765474;102217
normal;17;0.01;tensor(1.8596, grad_fn=<DivBackward0>);0.7369734879966713;74.99306133777408;102217
backdoor;18;0.01;0.0;10.597510771654793;6.244796003330558;102557
normal;18;0.01;tensor(0.8661, grad_fn=<DivBackward0>);0.35392155430232886;90.3691368304191;102557
backdoor;19;0.01;0.0;10.680715734019664;5.828476269775187;102938
normal;19;0.01;tensor(0.4338, grad_fn=<DivBackward0>);0.2609522815482536;92.11767971135166;102938
backdoor;20;0.01;0.0;11.652620746465383;6.244796003330558;103320
normal;20;0.01;tensor(0.3220, grad_fn=<DivBackward0>);0.18982150121311528;94.47682486816542;103320
backdoor;21;0.01;0.0;13.082703778851604;6.827643630308077;103659
normal;21;0.01;tensor(0.2082, grad_fn=<DivBackward0>);0.13917378496038493;96.61393283374966;103659
backdoor;22;0.01;0.0;14.169255249307714;7.132944768248682;104038
normal;22;0.01;tensor(0.1937, grad_fn=<DivBackward0>);0.12908279151344776;95.86455731334999;104038
backdoor;23;0.01;0.0;15.247824890048445;7.5492645018040525;104418
normal;23;0.01;tensor(0.1315, grad_fn=<DivBackward0>);0.10107963242809243;97.1135165140161;104418
backdoor;24;0.01;0.0;16.41127343453072;6.966416874826534;104757
normal;24;0.01;tensor(0.1078, grad_fn=<DivBackward0>);0.08676650013661934;97.69636414099362;104757
backdoor;25;0.01;0.0;17.633081619818277;6.855398279211768;105135
normal;25;0.01;tensor(0.0871, grad_fn=<DivBackward0>);0.07998639733103821;98.0294199278379;105135
backdoor;26;0.01;0.0;20.009189274520832;6.6888703857896195;105514
normal;26;0.01;tensor(0.0705, grad_fn=<DivBackward0>);0.06905528602078909;98.14043852345267;105514
backdoor;27;0.01;0.0;19.45265772492066;7.188454066056065;105856
normal;27;0.01;tensor(0.0674, grad_fn=<DivBackward0>);0.06440501943040125;98.11268387454899;105856
backdoor;28;0.01;0.0;20.765024319828765;7.021926172633917;110235
normal;28;0.01;tensor(0.0593, grad_fn=<DivBackward0>);0.06833294840187586;98.00166527893423;110235
backdoor;29;0.01;0.0;21.341236794049497;6.910907577019151;110613
normal;29;0.01;tensor(0.0541, grad_fn=<DivBackward0>);0.06234877200641075;98.3902303635859;110613
backdoor;30;0.01;0.0;23.77622062082824;6.605606439078546;110952
normal;30;0.01;tensor(0.0437, grad_fn=<DivBackward0>);0.06243687848032665;98.27921176797113;110952
backdoor;31;0.01;0.0;24.335528551465167;7.049680821537607;111331
normal;31;0.01;tensor(0.0374, grad_fn=<DivBackward0>);0.06805572386621285;98.00166527893423;111331
backdoor;32;0.01;0.0;25.08640787759995;6.938662225922842;111709
normal;32;0.01;tensor(0.0327, grad_fn=<DivBackward0>);0.05913517397558025;98.47349431029697;111709
backdoor;33;0.01;0.0;24.45513690022952;6.938662225922842;112048
normal;33;0.01;tensor(0.0335, grad_fn=<DivBackward0>);0.05203835268394997;98.88981404385234;112048
backdoor;34;0.01;0.0;25.244839049416665;7.160699417152373;112427
normal;34;0.01;tensor(0.0334, grad_fn=<DivBackward0>);0.05384583930562367;98.83430474604496;112427
backdoor;35;0.01;0.0;26.47507084599641;6.633361087982237;112805
normal;35;0.01;tensor(0.0304, grad_fn=<DivBackward0>);0.05594488672832055;98.50124895920067;112805
backdoor;36;0.01;0.0;26.827692689571055;6.966416874826534;113145
normal;36;0.01;tensor(0.0223, grad_fn=<DivBackward0>);0.060619799419187444;98.52900360810436;113145
backdoor;37;0.01;0.0;28.155622598250112;6.550097141271163;113523
normal;37;0.01;tensor(0.0226, grad_fn=<DivBackward0>);0.055504885371131775;98.7232861504302;113523
backdoor;38;0.01;0.0;29.47012062680546;6.383569247849015;113902
normal;38;0.01;tensor(0.0254, grad_fn=<DivBackward0>);0.053927248545880074;98.83430474604496;113902
backdoor;39;0.01;0.0;26.731173313763318;6.7443796835970025;114240
normal;39;0.01;tensor(0.0288, grad_fn=<DivBackward0>);0.054009516569324054;98.61226755481543;114240
backdoor;40;0.01;0.0;28.853914832964627;6.411323896752706;114623
normal;40;0.01;tensor(0.0203, grad_fn=<DivBackward0>);0.06279426177194394;98.55675825700804;114623
backdoor;41;0.01;0.0;27.118599992122398;6.827643630308077;131927
normal;41;0.01;tensor(0.0215, grad_fn=<DivBackward0>);0.05700430510494684;98.64002220371913;131927
backdoor;42;0.01;0.0;28.10120328961164;7.132944768248682;132312
normal;42;0.01;tensor(0.0158, grad_fn=<DivBackward0>);0.05604145784246563;98.6955315015265;132312
backdoor;43;0.01;0.0;31.129989646538544;6.605606439078546;132647
normal;43;0.01;tensor(0.0156, grad_fn=<DivBackward0>);0.04637237229912713;98.91756869275603;132647
backdoor;44;0.01;0.0;32.201332287597694;6.661115736885928;133021
normal;44;0.01;tensor(0.0153, grad_fn=<DivBackward0>);0.06061822740914608;98.6955315015265;133021
backdoor;45;0.01;0.0;30.392382426636644;6.827643630308077;133357
normal;45;0.01;tensor(0.0182, grad_fn=<DivBackward0>);0.05921269189507619;98.86205939494866;133357
backdoor;46;0.01;0.0;31.091709388158915;6.6888703857896195;133732
normal;46;0.01;tensor(0.0133, grad_fn=<DivBackward0>);0.0598671991040263;98.77879544823757;133732
backdoor;47;0.01;0.0;30.82217472687024;6.855398279211768;134110
normal;47;0.01;tensor(0.0136, grad_fn=<DivBackward0>);0.06457065897107704;98.7510407993339;134110
backdoor;48;0.01;0.0;31.940919385623594;6.938662225922842;134447
normal;48;0.01;tensor(0.0148, grad_fn=<DivBackward0>);0.0717329229536311;98.61226755481543;134447
backdoor;49;0.01;0.0;32.933317748775956;6.550097141271163;134822
normal;49;0.01;tensor(0.0149, grad_fn=<DivBackward0>);0.06253767833491462;98.83430474604496;134822
backdoor;50;0.01;0.0;31.735155308202074;6.827643630308077;135157
normal;50;0.01;tensor(0.0137, grad_fn=<DivBackward0>);0.06836815350031694;98.58451290591174;135157
backdoor;51;0.01;0.0;32.642574044994966;6.577851790174854;135533
normal;51;0.01;tensor(0.0113, grad_fn=<DivBackward0>);0.0675737201816594;98.6955315015265;135533
backdoor;52;0.01;0.0;33.864987436751;6.7443796835970025;135907
