#dataset: trafficsign
#way backdoor looks like: green_squares
#merge strategy: aggregation
#learning rate: 0.1
#number of benign sources: 10
#number of malicious sources: 0
#batch size: 8
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 1.0
#order of time backdoors being inserted: no
#attack model: no
#starttime: 101110
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.01;0.0;2.7441105663925285;0.0;162858
normal;1;0.01;tensor(2.1026, grad_fn=<DivBackward0>);2.0115129638637996;30.03053011379406;162858
backdoor;2;0.01;0.0;2.831362549874176;0.0;165053
normal;2;0.01;tensor(2.0111, grad_fn=<DivBackward0>);1.993229809649084;30.03053011379406;165053
backdoor;3;0.01;0.0;2.8159869300171034;0.0;171250
normal;3;0.01;tensor(2.0046, grad_fn=<DivBackward0>);1.9907797939936849;30.03053011379406;171250
backdoor;4;0.01;0.0;2.8007298066422175;0.0;173431
normal;4;0.01;tensor(2.0036, grad_fn=<DivBackward0>);1.9899289435292165;30.03053011379406;173431
backdoor;5;0.01;0.0;2.7930244400274282;0.0;175607
normal;5;0.01;tensor(2.0032, grad_fn=<DivBackward0>);1.9895833129522835;30.03053011379406;175607
backdoor;6;0.01;0.0;2.789651350349047;0.0;181749
normal;6;0.01;tensor(2.0031, grad_fn=<DivBackward0>);1.9894020437631812;30.03053011379406;181749
backdoor;7;0.01;0.0;2.7868509067616927;0.0;183936
normal;7;0.01;tensor(2.0032, grad_fn=<DivBackward0>);1.9893435473710737;30.03053011379406;183936
backdoor;8;0.01;0.0;2.786754694972275;0.0;190131
normal;8;0.01;tensor(2.0032, grad_fn=<DivBackward0>);1.9892756082003824;30.03053011379406;190131
backdoor;9;0.01;0.0;2.7872537599151213;0.0;192316
normal;9;0.01;tensor(2.0032, grad_fn=<DivBackward0>);1.989320810854253;30.03053011379406;192316
backdoor;10;0.01;0.0;2.7878952989834995;0.0;194504
normal;10;0.01;tensor(2.0030, grad_fn=<DivBackward0>);1.9892512708447425;30.03053011379406;194504
backdoor;11;0.01;0.0;2.7868940320042745;0.0;200651
normal;11;0.01;tensor(2.0031, grad_fn=<DivBackward0>);1.9892516824360724;30.03053011379406;200651
backdoor;12;0.01;0.0;2.7865156432571854;0.0;202838
normal;12;0.01;tensor(2.0032, grad_fn=<DivBackward0>);1.989261248295022;30.03053011379406;202838
backdoor;13;0.01;0.0;2.787226711085794;0.0;205023
normal;13;0.01;tensor(2.0031, grad_fn=<DivBackward0>);1.9892750156941494;30.03053011379406;205023
backdoor;14;0.01;0.0;2.786723000322353;0.0;211210
normal;14;0.01;tensor(2.0032, grad_fn=<DivBackward0>);1.9892541658802227;30.03053011379406;211210
backdoor;15;0.01;0.0;2.7861845684554423;0.0;213404
normal;15;0.01;tensor(2.0031, grad_fn=<DivBackward0>);1.9892501296382992;30.03053011379406;213404
backdoor;16;0.01;0.0;2.7859162728454945;0.0;103315
normal;16;0.01;tensor(2.0029, grad_fn=<DivBackward0>);1.9892102558348796;30.03053011379406;103315
backdoor;17;0.01;0.0;2.7867491402097984;0.0;105611
normal;17;0.01;tensor(2.0027, grad_fn=<DivBackward0>);1.9892479978334299;30.03053011379406;105611
backdoor;18;0.01;0.0;2.786212401822842;0.0;111838
normal;18;0.01;tensor(2.0028, grad_fn=<DivBackward0>);1.989239257274652;30.03053011379406;111838
backdoor;19;0.01;0.0;2.787154483027568;0.0;114107
normal;19;0.01;tensor(2.0027, grad_fn=<DivBackward0>);1.9891279928888708;30.03053011379406;114107
backdoor;20;0.01;0.0;2.787396379884269;0.0;120344
normal;20;0.01;tensor(2.0025, grad_fn=<DivBackward0>);1.98905023759582;30.03053011379406;120344
backdoor;21;0.01;0.0;2.789724355798743;0.0;122620
normal;21;0.01;tensor(2.0021, grad_fn=<DivBackward0>);1.9884342506730552;30.03053011379406;122620
backdoor;22;0.01;0.0;2.8584641454751183;0.0;125040
normal;22;0.01;tensor(1.9872, grad_fn=<DivBackward0>);1.9372543716907105;30.03053011379406;125040
backdoor;23;0.01;0.0;3.2266459516641204;0.0;131357
normal;23;0.01;tensor(1.6178, grad_fn=<DivBackward0>);1.805773064986289;33.16680543991119;131357
backdoor;24;0.01;0.0;9.785736235982009;7.965584235359422;133709
normal;24;0.01;tensor(1.0941, grad_fn=<DivBackward0>);0.6166342355200036;79.12850402442409;133709
backdoor;25;0.01;0.0;13.287708060454568;7.771301693033583;140023
normal;25;0.01;tensor(0.3786, grad_fn=<DivBackward0>);0.7707620250767876;79.54482375797946;140023
backdoor;26;0.01;0.0;18.363930496711582;6.577851790174854;142402
normal;26;0.01;tensor(0.1982, grad_fn=<DivBackward0>);0.15928015644807406;95.61476547321676;142402
backdoor;27;0.01;0.0;16.939142591368316;6.355814598945323;144738
normal;27;0.01;tensor(0.1198, grad_fn=<DivBackward0>);0.13941326676067575;96.28087704690536;144738
backdoor;28;0.01;0.0;20.076088061735607;6.7998889814043855;151132
normal;28;0.01;tensor(0.0925, grad_fn=<DivBackward0>);0.12419041727243672;96.91923397169026;151132
backdoor;29;0.01;0.0;21.87962583793302;6.883152928115459;153457
normal;29;0.01;tensor(0.0655, grad_fn=<DivBackward0>);0.10359486764767048;97.64085484318623;153457
backdoor;30;0.01;0.0;18.63256042524787;8.021093533166805;155820
normal;30;0.01;tensor(0.0565, grad_fn=<DivBackward0>);0.10693622468514703;97.69636414099362;155820
backdoor;31;0.01;0.0;21.697429379432787;7.243963363863447;162144
normal;31;0.01;tensor(0.0414, grad_fn=<DivBackward0>);0.09293377164732028;98.19594782126006;162144
backdoor;32;0.01;0.0;21.105180073013287;6.716625034693311;164511
normal;32;0.01;tensor(0.0454, grad_fn=<DivBackward0>);0.1047524181857301;97.91840133222314;164511
backdoor;33;0.01;0.0;23.7939241971361;6.855398279211768;170840
normal;33;0.01;tensor(0.0395, grad_fn=<DivBackward0>);0.10685847628729131;97.94615598112684;170840
backdoor;34;0.01;0.0;20.16814028519166;6.355814598945323;173210
normal;34;0.01;tensor(0.0578, grad_fn=<DivBackward0>);0.12259266756070673;97.58534554537886;173210
backdoor;35;0.01;0.0;23.97693097296979;6.7443796835970025;175536
normal;35;0.01;tensor(0.0323, grad_fn=<DivBackward0>);0.11288245115077275;98.19594782126006;175536
backdoor;36;0.01;0.0;26.546392713835985;6.49458784346378;181905
normal;36;0.01;tensor(0.0234, grad_fn=<DivBackward0>);0.08925501235632757;98.33472106577852;181905
backdoor;37;0.01;0.0;24.80038612900494;6.994171523730225;184234
normal;37;0.01;tensor(0.0195, grad_fn=<DivBackward0>);0.10324221710766569;98.27921176797113;184234
backdoor;38;0.01;0.0;29.190753998847754;6.522342492367471;190601
normal;38;0.01;tensor(0.0164, grad_fn=<DivBackward0>);0.12022287747230923;98.25145711906744;190601
