#dataset: trafficsign
#way backdoor looks like: green_squares
#merge strategy: aggregation
#learning rate: 0.1
#number of benign sources: 4
#number of malicious sources: 1
#batch size: 64
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 0.25
#order of time backdoors being inserted: no
#attack model: model replacement
#starttime: 002649
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.1;tensor(2.1671, grad_fn=<DivBackward0>);2.5603374859177004;0.0;002948
normal;1;0.1;tensor(2.1701, grad_fn=<DivBackward0>);2.0695927524910744;30.03053011379406;002948
backdoor;2;0.1;tensor(2.0378, grad_fn=<DivBackward0>);2.7569370687983943;0.0;003258
normal;2;0.1;tensor(2.0438, grad_fn=<DivBackward0>);2.0113981597925803;30.03053011379406;003258
backdoor;3;0.1;tensor(2.0076, grad_fn=<DivBackward0>);2.834351592814297;0.0;003608
normal;3;0.1;tensor(2.0131, grad_fn=<DivBackward0>);1.9970097315500024;30.03053011379406;003608
backdoor;4;0.1;tensor(2.0005, grad_fn=<DivBackward0>);2.8466228916021046;0.0;003918
normal;4;0.1;tensor(2.0050, grad_fn=<DivBackward0>);1.9927972861868852;30.03053011379406;003918
backdoor;5;0.1;tensor(1.9985, grad_fn=<DivBackward0>);2.837085526948368;0.0;004228
normal;5;0.1;tensor(2.0024, grad_fn=<DivBackward0>);1.9910948332766178;30.03053011379406;004228
backdoor;6;0.1;tensor(1.9976, grad_fn=<DivBackward0>);2.827048324724717;0.0;004538
normal;6;0.1;tensor(2.0014, grad_fn=<DivBackward0>);1.9900672821544654;30.03053011379406;004538
backdoor;7;0.1;tensor(1.9966, grad_fn=<DivBackward0>);2.8237771630584945;0.0;004849
normal;7;0.1;tensor(2.0001, grad_fn=<DivBackward0>);1.9884611336747509;30.03053011379406;004849
backdoor;8;0.1;tensor(1.9885, grad_fn=<DivBackward0>);2.8758902379019275;0.0;005201
normal;8;0.1;tensor(1.9909, grad_fn=<DivBackward0>);1.9726581589367667;30.03053011379406;005201
backdoor;9;0.1;tensor(1.9582, grad_fn=<DivBackward0>);2.8218697741929604;0.0;005513
normal;9;0.1;tensor(1.9591, grad_fn=<DivBackward0>);1.9166304455708703;33.88842631140716;005513
backdoor;10;0.1;tensor(1.9475, grad_fn=<DivBackward0>);2.6897206503650795;0.0;005825
normal;10;0.1;tensor(1.9406, grad_fn=<DivBackward0>);1.9875983524878356;30.03053011379406;005825
backdoor;11;0.1;tensor(1.9909, grad_fn=<DivBackward0>);2.7833701797303245;0.0;010138
normal;11;0.1;tensor(1.9937, grad_fn=<DivBackward0>);1.9183335570272657;30.03053011379406;010138
backdoor;12;0.1;tensor(1.7991, grad_fn=<DivBackward0>);3.978973920167303;0.0;010450
normal;12;0.1;tensor(1.8254, grad_fn=<DivBackward0>);1.4942642336847252;49.43102969747433;010450
backdoor;13;0.1;tensor(1.8782, grad_fn=<DivBackward0>);2.7318755824004084;0.0;010802
normal;13;0.1;tensor(1.8810, grad_fn=<DivBackward0>);1.9737197723515723;30.03053011379406;010802
backdoor;14;0.1;tensor(1.9979, grad_fn=<DivBackward0>);2.8029116901331004;0.0;011112
normal;14;0.1;tensor(1.9786, grad_fn=<DivBackward0>);1.9576235836557372;33.77740771579239;011112
backdoor;15;0.1;tensor(1.7225, grad_fn=<DivBackward0>);4.366485858274571;0.0;011424
normal;15;0.1;tensor(1.7402, grad_fn=<DivBackward0>);1.4028031068347144;58.70108243130724;011424
backdoor;16;0.1;tensor(1.4205, grad_fn=<DivBackward0>);4.240864427891037;0.9436580627255066;011735
normal;16;0.1;tensor(1.4101, grad_fn=<DivBackward0>);0.9973000381643362;68.88703857896198;011735
backdoor;17;0.1;tensor(0.8985, grad_fn=<DivBackward0>);8.603820855836553;3.8578961976131003;012046
normal;17;0.1;tensor(0.9214, grad_fn=<DivBackward0>);0.6779192472013738;79.68359700249792;012046
backdoor;18;0.1;tensor(0.4921, grad_fn=<DivBackward0>);9.40701054242992;5.217873993893977;012358
normal;18;0.1;tensor(0.5135, grad_fn=<DivBackward0>);0.38920187761543396;86.87205106855399;012358
backdoor;19;0.1;tensor(0.3383, grad_fn=<DivBackward0>);12.319499650796915;5.328892589508743;012709
normal;19;0.1;tensor(0.3565, grad_fn=<DivBackward0>);0.25593105553257245;92.894809880655;012709
backdoor;20;0.1;tensor(0.2525, grad_fn=<DivBackward0>);17.72917251946891;3.025256730502359;013020
normal;20;0.1;tensor(0.2825, grad_fn=<DivBackward0>);0.4738868573304355;87.03857896197613;013020
backdoor;21;0.1;tensor(0.1539, grad_fn=<DivBackward0>);15.056766650824292;6.022758812101027;013332
normal;21;0.1;tensor(0.1869, grad_fn=<DivBackward0>);0.11977360892201852;96.83597002497919;013332
backdoor;22;0.1;tensor(0.0865, grad_fn=<DivBackward0>);16.754887259274497;5.967249514293644;013643
normal;22;0.1;tensor(0.1185, grad_fn=<DivBackward0>);0.10410165909494606;97.64085484318623;013643
backdoor;23;0.1;tensor(0.0778, grad_fn=<DivBackward0>);16.900384289405096;6.522342492367471;013954
normal;23;0.1;tensor(0.1149, grad_fn=<DivBackward0>);0.09869718459883958;97.50208159866777;013954
backdoor;24;0.1;tensor(0.0779, grad_fn=<DivBackward0>);14.950785657812283;6.661115736885928;014305
normal;24;0.1;tensor(0.1082, grad_fn=<DivBackward0>);0.13583350246032902;96.91923397169026;014305
backdoor;25;0.1;tensor(0.0488, grad_fn=<DivBackward0>);18.77539953548909;5.856230918678879;014616
normal;25;0.1;tensor(0.0770, grad_fn=<DivBackward0>);0.07258884218220515;98.0849292256453;014616
backdoor;26;0.1;tensor(0.0467, grad_fn=<DivBackward0>);19.547442679467416;6.133777407715792;014927
normal;26;0.1;tensor(0.0711, grad_fn=<DivBackward0>);0.08150251436166277;98.0294199278379;014927
backdoor;27;0.1;tensor(0.0256, grad_fn=<DivBackward0>);20.862848735537227;6.07826810990841;015239
normal;27;0.1;tensor(0.0555, grad_fn=<DivBackward0>);0.07479294936004935;98.19594782126006;015239
backdoor;28;0.1;tensor(0.0219, grad_fn=<DivBackward0>);20.743338096548776;6.522342492367471;015550
normal;28;0.1;tensor(0.0524, grad_fn=<DivBackward0>);0.0892815495118867;97.91840133222314;015550
backdoor;29;0.1;tensor(0.0187, grad_fn=<DivBackward0>);20.313101889985884;6.6888703857896195;015900
normal;29;0.1;tensor(0.0440, grad_fn=<DivBackward0>);0.08104867341778432;97.94615598112684;015900
backdoor;30;0.1;tensor(0.0205, grad_fn=<DivBackward0>);22.800846909801727;6.772134332500694;020212
normal;30;0.1;tensor(0.0443, grad_fn=<DivBackward0>);0.09060499347691921;97.94615598112684;020212
backdoor;31;0.1;tensor(nan, grad_fn=<DivBackward0>);nan;100.0;020512
