#dataset: trafficsign
#way backdoor looks like: green_squares
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 5
#number of malicious sources: 0
#batch size: 64
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 1.0
#order of time backdoors being inserted: no
#model replacement: False
#starttime: 144732
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.0001;0.0;3.3090692118343763;0.0;145017
normal;1;0.0001;tensor(2.2081, grad_fn=<DivBackward0>);2.009650793401129;30.03053011379406;145017
backdoor;2;0.0001;0.0;2.8571679832337797;0.0;145313
normal;2;0.0001;tensor(1.9858, grad_fn=<DivBackward0>);1.9509944211698855;30.03053011379406;145313
backdoor;3;0.0001;0.0;3.25493652530091;0.0;145610
normal;3;0.0001;tensor(1.8612, grad_fn=<DivBackward0>);1.6148902507679284;41.29891756869276;145610
backdoor;4;0.0001;0.0;6.168404912935374;0.527338329170136;145908
normal;4;0.0001;tensor(1.2190, grad_fn=<DivBackward0>);0.8049374843947331;72.77268942547877;145908
backdoor;5;0.0001;0.0;8.880838568330374;4.107688037746322;150205
normal;5;0.0001;tensor(0.6804, grad_fn=<DivBackward0>);0.5168160301858837;78.60116569525395;150205
backdoor;6;0.0001;0.0;10.591333648148028;4.6627810158201495;150502
normal;6;0.0001;tensor(0.4808, grad_fn=<DivBackward0>);0.3934210544933371;85.90063835692479;150502
backdoor;7;0.0001;0.0;12.208694868805075;4.412989175686928;150800
normal;7;0.0001;tensor(0.3851, grad_fn=<DivBackward0>);0.35835759562818637;87.73244518456842;150800
backdoor;8;0.0001;0.0;12.942151199074013;4.579517069109076;151057
normal;8;0.0001;tensor(0.3260, grad_fn=<DivBackward0>);0.33090669765421826;88.78712184290869;151057
backdoor;9;0.0001;0.0;13.411490570330932;4.801554260338607;151354
normal;9;0.0001;tensor(0.2837, grad_fn=<DivBackward0>);0.30146117971045994;89.86955315015265;151354
backdoor;10;0.0001;0.0;14.031125473373969;5.051346100471829;151651
normal;10;0.0001;tensor(0.2528, grad_fn=<DivBackward0>);0.2779422313565617;91.09075770191507;151651
backdoor;11;0.0001;0.0;14.704475155083166;4.968082153760755;151950
normal;11;0.0001;tensor(0.2269, grad_fn=<DivBackward0>);0.2557259468734067;92.17318900915903;151950
backdoor;12;0.0001;0.0;15.217076920152802;5.07910074937552;152247
normal;12;0.0001;tensor(0.2072, grad_fn=<DivBackward0>);0.23509497638824142;93.50541215653622;152247
backdoor;13;0.0001;0.0;15.459503250058544;5.5231751318345825;152544
normal;13;0.0001;tensor(0.1849, grad_fn=<DivBackward0>);0.21778097388216755;94.44907021926173;152544
backdoor;14;0.0001;0.0;15.912874897817357;5.4676658340271995;152841
normal;14;0.0001;tensor(0.1706, grad_fn=<DivBackward0>);0.195663869975452;94.8376353039134;152841
backdoor;15;0.0001;0.0;16.60621291982972;5.384401887316125;153139
normal;15;0.0001;tensor(0.1547, grad_fn=<DivBackward0>);0.18587718252428126;95.25395503746877;153139
backdoor;16;0.0001;0.0;16.590644118589328;5.634193727449348;153440
normal;16;0.0001;tensor(0.1430, grad_fn=<DivBackward0>);0.1765963686823812;95.44823757979462;153440
backdoor;17;0.0001;0.0;16.6346214817459;5.661948376353039;153738
normal;17;0.0001;tensor(0.1354, grad_fn=<DivBackward0>);0.16546318848321168;95.7812933666389;153738
backdoor;18;0.0001;0.0;17.040893495397174;5.689703025256731;154036
normal;18;0.0001;tensor(0.1245, grad_fn=<DivBackward0>);0.15551490279944438;96.19761310019429;154036
backdoor;19;0.0001;0.0;17.00453353318578;5.856230918678879;154334
normal;19;0.0001;tensor(0.1217, grad_fn=<DivBackward0>);0.1505014010775595;96.25312239800166;154334
backdoor;20;0.0001;0.0;17.33799696643585;5.967249514293644;154631
normal;20;0.0001;tensor(0.1141, grad_fn=<DivBackward0>);0.14706309310742288;96.4196502914238;154631
backdoor;21;0.0001;0.0;17.738006032773797;6.022758812101027;154929
normal;21;0.0001;tensor(0.1056, grad_fn=<DivBackward0>);0.14116901784407185;96.58617818484596;154929
backdoor;22;0.0001;0.0;17.717754972798275;5.939494865389952;155226
normal;22;0.0001;tensor(0.0999, grad_fn=<DivBackward0>);0.13463941970315094;96.86372467388287;155226
backdoor;23;0.0001;0.0;18.144341961397185;5.856230918678879;155523
normal;23;0.0001;tensor(0.0969, grad_fn=<DivBackward0>);0.13261840475426823;97.00249791840133;155523
backdoor;24;0.0001;0.0;17.743095925209623;6.022758812101027;155821
normal;24;0.0001;tensor(0.0924, grad_fn=<DivBackward0>);0.12911322249020074;96.8082153760755;155821
backdoor;25;0.0001;0.0;17.991333812466934;6.07826810990841;160118
normal;25;0.0001;tensor(0.0887, grad_fn=<DivBackward0>);0.12689489001305115;97.03025256730503;160118
backdoor;26;0.0001;0.0;17.96561543054128;6.106022758812101;160415
normal;26;0.0001;tensor(0.0849, grad_fn=<DivBackward0>);0.12440420117755335;97.00249791840133;160415
backdoor;27;0.0001;0.0;18.44579730006082;6.106022758812101;160712
normal;27;0.0001;tensor(0.0792, grad_fn=<DivBackward0>);0.12196787555611163;97.25228975853456;160712
backdoor;28;0.0001;0.0;18.325219892575415;6.411323896752706;161010
normal;28;0.0001;tensor(0.0792, grad_fn=<DivBackward0>);0.12246791117126886;97.19678046072717;161010
backdoor;29;0.0001;0.0;18.387501594062783;6.383569247849015;161307
normal;29;0.0001;tensor(0.0742, grad_fn=<DivBackward0>);0.12120468629011749;97.03025256730503;161307
backdoor;30;0.0001;0.0;18.819599203490363;6.27255065223425;161604
normal;30;0.0001;tensor(0.0695, grad_fn=<DivBackward0>);0.11819489209781117;97.22453510963086;161604
backdoor;31;0.0001;0.0;18.88354090707288;6.383569247849015;161901
normal;31;0.0001;tensor(0.0693, grad_fn=<DivBackward0>);0.11785317381702773;97.30779905634193;161901
backdoor;32;0.0001;0.0;18.991149504251556;6.355814598945323;162159
normal;32;0.0001;tensor(0.0674, grad_fn=<DivBackward0>);0.11890081017010073;97.1135165140161;162159
backdoor;33;0.0001;0.0;19.359392846388317;6.133777407715792;162456
normal;33;0.0001;tensor(0.0644, grad_fn=<DivBackward0>);0.11168302386061332;97.4188176519567;162456
backdoor;34;0.0001;0.0;18.72242175675815;6.383569247849015;162753
normal;34;0.0001;tensor(0.0631, grad_fn=<DivBackward0>);0.11534034616080967;97.1135165140161;162753
backdoor;35;0.0001;0.0;19.16132233826412;6.355814598945323;163050
normal;35;0.0001;tensor(0.0601, grad_fn=<DivBackward0>);0.11265588825702415;97.28004440743824;163050
backdoor;36;0.0001;0.0;19.226418339805804;6.27255065223425;163348
normal;36;0.0001;tensor(0.0594, grad_fn=<DivBackward0>);0.11047090709342802;97.33555370524563;163348
backdoor;37;0.0001;0.0;19.180502182968187;6.355814598945323;163645
normal;37;0.0001;tensor(0.0568, grad_fn=<DivBackward0>);0.11154537573131042;97.19678046072717;163645
backdoor;38;0.0001;0.0;19.45217460147414;6.466833194560089;163943
normal;38;0.0001;tensor(0.0553, grad_fn=<DivBackward0>);0.10860740156963672;97.55759089647516;163943
backdoor;39;0.0001;0.0;19.137993017700094;6.411323896752706;164240
normal;39;0.0001;tensor(0.0514, grad_fn=<DivBackward0>);0.11065090481926483;97.25228975853456;164240
backdoor;40;0.0001;0.0;19.024339229637736;6.605606439078546;164537
normal;40;0.0001;tensor(0.0517, grad_fn=<DivBackward0>);0.11201692846648396;97.19678046072717;164537
backdoor;41;0.0001;0.0;19.731803510773357;6.383569247849015;164835
normal;41;0.0001;tensor(0.0504, grad_fn=<DivBackward0>);0.10557541761212844;97.4188176519567;164835
backdoor;42;0.0001;0.0;19.558496700205342;6.466833194560089;165133
normal;42;0.0001;tensor(0.0490, grad_fn=<DivBackward0>);0.10768313579114738;97.33555370524563;165133
backdoor;43;0.0001;0.0;19.705081868760626;6.30030530113794;165430
normal;43;0.0001;tensor(0.0470, grad_fn=<DivBackward0>);0.10464440977969598;97.36330835414932;165430
backdoor;44;0.0001;0.0;19.858332481246638;6.383569247849015;165727
normal;44;0.0001;tensor(0.0450, grad_fn=<DivBackward0>);0.10553139023965649;97.36330835414932;165727
backdoor;45;0.0001;0.0;20.2524697046759;6.217041354426867;170024
normal;45;0.0001;tensor(0.0464, grad_fn=<DivBackward0>);0.10407557076782421;97.391063003053;170024
backdoor;46;0.0001;0.0;20.395306437140597;5.967249514293644;170321
normal;46;0.0001;tensor(0.0421, grad_fn=<DivBackward0>);0.10213165783505321;97.391063003053;170321
backdoor;47;0.0001;0.0;19.74254163265096;6.49458784346378;170619
normal;47;0.0001;tensor(0.0425, grad_fn=<DivBackward0>);0.10963180476546033;97.30779905634193;170619
backdoor;48;0.0001;0.0;20.697275662005296;6.022758812101027;170916
normal;48;0.0001;tensor(0.0414, grad_fn=<DivBackward0>);0.10080749582103266;97.4465723008604;170916
backdoor;49;0.0001;0.0;20.499863513668082;6.27255065223425;171213
normal;49;0.0001;tensor(0.0407, grad_fn=<DivBackward0>);0.10464307534049079;97.4188176519567;171213
backdoor;50;0.0001;0.0;20.226126605988608;6.550097141271163;171510
normal;50;0.0001;tensor(0.0401, grad_fn=<DivBackward0>);0.10481676985931025;97.50208159866777;171510
backdoor;51;0.0001;0.0;20.631068331051164;6.133777407715792;171807
normal;51;0.0001;tensor(0.0387, grad_fn=<DivBackward0>);0.10009247649419932;97.4465723008604;171807
