#dataset: trafficsign
#way backdoor looks like: green_squares
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 4
#number of malicious sources: 1
#batch size: 64
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 0.75
#order of time backdoors being inserted: no
#model replacement: True
#starttime: 175513
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.0001;1.5772;0.11640600313784313;100.0;175815
normal;1;0.0001;2.5923;4.439913226140065;5.4676658340271995;175815
backdoor;2;0.0001;2.2571;1.647629603127324;100.0;180128
normal;2;0.0001;2.3069;2.13530772069147;5.4676658340271995;180128
backdoor;3;0.0001;1.0121;0.3070342022612331;100.0;180441
normal;3;0.0001;2.5452;2.949554063795409;5.4676658340271995;180441
backdoor;4;0.0001;1.6503;0.5854497049836163;100.0;180754
normal;4;0.0001;2.2585;2.6185933837551825;5.4676658340271995;180754
backdoor;5;0.0001;1.1873;0.1584228789048694;100.0;181107
normal;5;0.0001;2.4445;3.0229405538922642;5.4676658340271995;181107
backdoor;6;0.0001;1.3214;0.0937553517460459;100.0;181420
normal;6;0.0001;2.3232;2.7809778356962394;5.4676658340271995;181420
backdoor;7;0.0001;0.8453;0.02055522848293909;100.0;181733
normal;7;0.0001;2.3200;2.346333748560431;5.4676658340271995;181733
backdoor;8;0.0001;0.6003;0.007717128362286399;100.0;182047
normal;8;0.0001;2.2121;2.2158195046692994;5.4676658340271995;182047
backdoor;9;0.0001;0.5528;0.0053105188981877275;100.0;182401
normal;9;0.0001;2.1002;2.0483060726152007;15.459339439356093;182401
backdoor;10;0.0001;0.5032;0.002047401462334446;100.0;182715
normal;10;0.0001;1.9397;1.8353420165456602;29.80849292256453;182715
backdoor;11;0.0001;0.4513;0.004238160723593378;100.0;183030
normal;11;0.0001;1.6645;1.398080628877079;47.34943102969748;183030
backdoor;12;0.0001;0.3840;0.0017307418049086953;99.9722453510963;183345
normal;12;0.0001;1.3324;1.1159602897616516;59.67249514293644;183345
backdoor;13;0.0001;0.3103;0.0029458295950180635;99.94449070219262;183700
normal;13;0.0001;1.1006;0.9014858246643677;64.6405772966972;183700
backdoor;14;0.0001;0.2766;0.00752124525663499;99.77796280877047;184014
normal;14;0.0001;0.9651;0.783998377284109;67.38828753816264;184014
backdoor;15;0.0001;0.2548;0.018451678799271436;99.44490702192617;184329
normal;15;0.0001;0.8576;0.6999622308443627;76.35303913405495;184329
backdoor;16;0.0001;0.2209;0.00506725058111029;99.80571745767416;184644
normal;16;0.0001;0.7058;0.5370049137821669;84.84596169858452;184644
backdoor;17;0.0001;0.1989;0.008512139120023186;99.72245351096309;184958
normal;17;0.0001;0.5661;0.44423655089887354;87.84346378018319;184958
backdoor;18;0.0001;0.1633;0.0011978644872102644;99.94449070219262;185313
normal;18;0.0001;0.5239;0.4441201885706711;86.76103247293922;185313
backdoor;19;0.0001;0.1538;0.01126513366305695;99.6669442131557;185627
normal;19;0.0001;0.4319;0.36470620085588934;90.86872051068553;185627
backdoor;20;0.0001;0.1331;0.021344980571623824;99.52817096863724;185942
normal;20;0.0001;0.3884;0.3514443930407018;91.6458506799889;185942
backdoor;21;0.0001;0.1392;0.013606987973853195;99.6669442131557;190256
normal;21;0.0001;0.3720;0.33808224177380386;91.89564252012212;190256
backdoor;22;0.0001;0.1151;0.01704401753225421;99.639189564252;190611
normal;22;0.0001;0.3264;0.2864567780706441;93.5886761032473;190611
backdoor;23;0.0001;0.1113;0.015498130144491784;99.6669442131557;190926
normal;23;0.0001;0.3033;0.25211319637536805;94.03275048570636;190926
backdoor;24;0.0001;0.1138;0.013358451896238216;99.72245351096309;191240
normal;24;0.0001;0.2698;0.2339630265666682;94.42131557035803;191240
backdoor;25;0.0001;0.0819;0.022839896240764435;99.58368026644463;191555
normal;25;0.0001;0.2425;0.2138007568743968;95.1706910907577;191555
backdoor;26;0.0001;0.0766;0.010029679380507837;99.80571745767416;191910
normal;26;0.0001;0.2132;0.22258644473079572;94.47682486816542;191910
backdoor;27;0.0001;0.0767;0.004449151196807957;99.83347210657786;192225
normal;27;0.0001;0.2075;0.20660152852270558;95.08742714404663;192225
backdoor;28;0.0001;0.0663;0.009667948854426529;99.77796280877047;192544
normal;28;0.0001;0.2061;0.20252584598807538;95.33721898417986;192544
backdoor;29;0.0001;0.0616;0.004771844623077126;99.86122675548154;192901
normal;29;0.0001;0.1835;0.21579663589278295;94.28254232583957;192901
backdoor;30;0.0001;0.0614;0.0032343491275188406;99.91673605328893;193219
normal;30;0.0001;0.1616;0.17109552994804716;95.44823757979462;193219
backdoor;31;0.0001;0.0547;0.0008994339778801143;99.9722453510963;193537
normal;31;0.0001;0.1415;0.20233977395165406;94.5323341659728;193537
backdoor;32;0.0001;0.0475;0.0038921592427630766;99.91673605328893;193856
