#merge strategy: sequential
#number of distributed sources: 5
#batch size: 10
#distribution of data: equally distributed subset
#percentage of backdoored nodes: 0.2
#percentage of poisoned data in backdoored nodes: 100
#way backdoor looks like: glasses
#order of time: backdoors first
#attack model: basic
#starttime: 182112
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.01;2.5454530715942383;2.502899593777127;100.0;182133
normal;1;0.01;2.575587034225464;2.565269580254188;7.6923076923076925;182257
backdoor;2;0.01;2.481541395187378;2.44305419921875;100.0;182324
normal;2;0.01;2.5753347873687744;2.565477591294509;7.6923076923076925;182505
backdoor;3;0.01;2.419314384460449;2.377854241265191;100.0;182534
normal;3;0.01;2.5787906646728516;2.5660732709444485;7.6923076923076925;182700
backdoor;4;0.01;2.34330153465271;2.3013570573594837;100.0;182727
normal;4;0.01;2.585512399673462;2.5674432607797475;7.6923076923076925;182854
backdoor;5;0.01;2.2479591369628906;2.215378655327691;100.0;182924
normal;5;0.01;2.5960426330566406;2.5698298674363356;7.6923076923076925;183051
backdoor;6;0.01;2.125699520111084;2.156041039360894;100.0;183119
normal;6;0.01;2.6199519634246826;2.5717976643488956;7.6923076923076925;183249
backdoor;7;0.01;2.033440589904785;2.121855205959744;100.0;183319
normal;7;0.01;2.629521131515503;2.5727889721210184;7.6923076923076925;183458
backdoor;8;0.01;1.9913381338119507;2.102105458577474;100.0;183526
normal;8;0.01;2.63158917427063;2.573432592245249;7.6923076923076925;183657
backdoor;9;0.01;1.9750078916549683;2.0875572628445096;100.0;183724
normal;9;0.01;2.6293132305145264;2.5739410840548;7.6923076923076925;183851
backdoor;10;0.01;1.9668673276901245;2.074827618069119;100.0;183917
normal;10;0.01;2.6261050701141357;2.57437801361084;7.6923076923076925;184043
backdoor;11;0.01;1.9620708227157593;2.0621776580810547;100.0;184111
normal;11;0.01;2.621511459350586;2.5747963098379283;7.6923076923076925;184244
backdoor;12;0.01;1.94669771194458;2.0424202813042536;100.0;184314
normal;12;0.01;2.6192493438720703;2.57572812300462;7.6923076923076925;184442
backdoor;13;0.01;1.9402227401733398;2.03186395433214;100.0;184511
normal;13;0.01;2.6181187629699707;2.576050098125751;7.6923076923076925;184641
backdoor;14;0.01;1.9206750392913818;2.0162652333577475;100.0;184709
normal;14;0.01;2.6202831268310547;2.5767535796532264;7.6923076923076925;184836
backdoor;15;0.01;1.9221913814544678;2.004316965738932;100.0;184903
normal;15;0.01;2.6166622638702393;2.577428964468149;7.6923076923076925;185030
backdoor;16;0.01;1.9004456996917725;1.9880282084147136;100.0;185058
normal;16;0.01;2.6176440715789795;2.578196012056791;7.6923076923076925;185225
backdoor;17;0.01;1.891917109489441;1.972710715399848;100.0;185252
normal;17;0.01;2.614717721939087;2.5789123681875377;7.6923076923076925;185419
backdoor;18;0.01;1.8753206729888916;1.9606874254014757;100.0;185446
normal;18;0.01;2.615455150604248;2.5795569786658654;7.6923076923076925;185613
backdoor;19;0.01;1.8643091917037964;1.9467527601453993;100.0;185640
normal;19;0.01;2.616513252258301;2.58020753126878;7.6923076923076925;185807
backdoor;20;0.01;1.8515284061431885;1.9368031819661458;100.0;185834
normal;20;0.01;2.616431713104248;2.5805851129385142;7.6923076923076925;190010
backdoor;21;0.01;1.848393201828003;1.9205036163330078;100.0;190043
normal;21;0.01;2.61499285697937;2.5815069125248837;7.6923076923076925;190227
backdoor;22;0.01;1.82643461227417;1.907059563530816;100.0;190259
normal;22;0.01;2.61620831489563;2.5824388357309194;7.6923076923076925;190430
backdoor;23;0.01;1.8190908432006836;1.8948158688015408;100.0;190500
normal;23;0.01;2.6165459156036377;2.583108901977539;7.6923076923076925;190632
backdoor;24;0.01;1.8150336742401123;1.8810742696126301;100.0;190702
normal;24;0.01;2.614353656768799;2.583936544565054;7.6923076923076925;190841
backdoor;25;0.01;1.7891887426376343;1.8713758256700304;100.0;190911
