#dataset: trafficsign
#way backdoor looks like: green_squares
#merge strategy: sequential
#number of benign sources: 5
#number of malicious sources: 0
#batch size: 64
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: NONE
#order of time backdoors being inserted: NONE
#attack model: basic
#starttime: 100638
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
normal;1;0.01;1.9688382148742676;1.4966651864624871;46.738828753816264;100940
normal;2;0.01;1.0485036373138428;0.6717586274978157;73.52206494587844;101249
normal;3;0.01;0.5986123085021973;0.402643552392746;86.03941160144325;101559
normal;4;0.01;0.3332584798336029;0.20859676656007453;95.1984457396614;101909
normal;5;0.01;0.21191908419132233;0.15194059551370134;96.22536774909797;102219
normal;6;0.01;0.1573466807603836;0.1366723088698543;96.50291423813489;102529
normal;7;0.01;0.12876740097999573;0.1277368837292093;96.28087704690536;102839
normal;8;0.01;0.10113991796970367;0.11443900685010892;96.8082153760755;103149
normal;9;0.01;0.09045473486185074;0.10934455845006252;96.8082153760755;103459
normal;10;0.01;0.08045242726802826;0.09911093007630477;97.47432694976409;103806
normal;11;0.01;0.07138992100954056;0.10249648125280783;97.0857618651124;104114
normal;12;0.01;0.06435997784137726;0.0946202681227763;97.58534554537886;104421
normal;13;0.01;0.060487717390060425;0.08756308797031377;97.7241187898973;104728
normal;14;0.01;0.056451309472322464;0.09573355361799614;97.22453510963086;105035
normal;15;0.01;0.051744066178798676;0.08543829101334786;97.89064668331946;105343
normal;16;0.01;0.04772065579891205;0.08884082418683549;97.58534554537886;105650
normal;17;0.01;0.04264884442090988;0.0797652162827086;97.94615598112684;105957
normal;18;0.01;0.04096672683954239;0.0852925486155633;97.751873438801;110305
normal;19;0.01;0.03879278525710106;0.08305038210212978;97.97391063003053;110612
normal;20;0.01;0.03547484800219536;0.08798974640973713;97.7796280877047;110919
normal;21;0.01;0.034916140139102936;0.08313859182944616;97.91840133222314;111227
normal;22;0.01;0.0333634614944458;0.08589521673824439;97.80738273660839;111533
normal;23;0.01;0.029292834922671318;0.07243020336894637;98.19594782126006;111840
normal;24;0.01;0.025985166430473328;0.07762213023399074;98.0849292256453;112146
normal;25;0.01;0.024349573999643326;0.07800164455926287;98.0294199278379;112453
