#dataset: trafficsign
#way backdoor looks like: green_squares
#merge strategy: sequential
#number of benign sources: 19
#number of malicious sources: 1
#batch size: 64
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 100
#order of time backdoors being inserted: last
#attack model: basic
#starttime: 193202
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.01;1.0239731073379517;0.12178000289137218;100.0;193520
normal;1;0.01;2.039673328399658;5.5783593407313825;5.4676658340271995;193510
backdoor;2;0.01;0.8273612260818481;0.05817342967584899;100.0;193900
normal;2;0.01;1.255914330482483;7.9189361384737635;5.4676658340271995;193850
backdoor;3;0.01;1.0826102495193481;0.02414325717138708;100.0;194230
normal;3;0.01;0.6940683126449585;7.629714472539352;5.4676658340271995;194221
backdoor;4;0.01;1.177970051765442;0.01816663270919084;100.0;194559
normal;4;0.01;0.4581539034843445;6.433114908141392;5.4676658340271995;194550
backdoor;5;0.01;1.24201238155365;0.016587037470087287;100.0;194928
normal;5;0.01;0.3211463689804077;5.963312700502481;5.5231751318345825;194918
backdoor;6;0.01;1.27099609375;0.016576255663149957;99.9722453510963;195257
normal;6;0.01;0.24037225544452667;5.930855917386336;5.5231751318345825;195247
backdoor;7;0.01;1.2919862270355225;0.01792914000896325;99.88898140438523;195626
normal;7;0.01;0.20547117292881012;5.670899678734055;5.828476269775187;195616
backdoor;8;0.01;1.321804404258728;0.020851711999772822;99.72245351096309;195955
normal;8;0.01;0.17904798686504364;5.543068285329438;5.995004163197335;195945
backdoor;9;0.01;1.3086905479431152;0.019432006454983917;99.639189564252;200323
normal;9;0.01;0.1629294902086258;5.494447178693032;6.30030530113794;200314
backdoor;10;0.01;1.2822191715240479;0.017242158073213342;99.75020815986677;200652
normal;10;0.01;0.14992795884609222;5.410030402965862;6.244796003330558;200643
backdoor;11;0.01;1.258863925933838;0.021032084049949076;99.6669442131557;201021
normal;11;0.01;0.14189539849758148;5.006060421151475;6.550097141271163;201011
backdoor;12;0.01;1.2179384231567383;0.020686690236772394;99.6946988620594;201349
normal;12;0.01;0.1295163482427597;4.859187707601696;6.716625034693311;201339
backdoor;13;0.01;1.1920368671417236;0.020281393634366835;99.6946988620594;201717
normal;13;0.01;0.12002801150083542;4.843156014960192;6.883152928115459;201708
backdoor;14;0.01;1.201109528541565;0.016451907993219078;99.72245351096309;202045
normal;14;0.01;0.11341691762208939;4.896617128178498;6.605606439078546;202036
backdoor;15;0.01;1.1483932733535767;0.015427987181713126;99.75020815986677;202413
normal;15;0.01;0.10583972930908203;4.79844816650729;6.6888703857896195;202404
backdoor;16;0.01;1.1086441278457642;0.015834457519775153;99.72245351096309;202742
normal;16;0.01;0.10424227267503738;4.731174977807482;7.021926172633917;202732
backdoor;17;0.01;1.094234585762024;0.019754848546107345;99.6669442131557;203110
normal;17;0.01;0.09957337379455566;4.038580733720268;7.937829586455732;203100
backdoor;18;0.01;1.0505194664001465;0.020226821327794478;99.61143491534833;203438
normal;18;0.01;0.09173998981714249;3.832216694658452;8.603941160144323;203429
backdoor;19;0.01;1.0028142929077148;0.02017600099696247;99.58368026644463;203806
normal;19;0.01;0.08565427362918854;3.6451238817720157;9.103524840410769;203756
backdoor;20;0.01;0.9171791672706604;0.016172599918388663;99.6669442131557;204134
normal;20;0.01;0.08016062527894974;3.668644034120976;9.242298084929226;204124
backdoor;21;0.01;0.8481324315071106;0.016309683414478793;99.61143491534833;204501
normal;21;0.01;0.07965242862701416;3.4107336312462118;11.296142103802387;204452
backdoor;22;0.01;0.8144959807395935;0.018097568783176147;99.47266167082986;204829
normal;22;0.01;0.07492787390947342;3.0966448652196923;15.40383014154871;204819
backdoor;23;0.01;0.7512107491493225;0.016961867140574124;99.639189564252;205156
normal;23;0.01;0.06979788094758987;2.802332568245772;17.873993893977243;205147
backdoor;24;0.01;0.700163722038269;0.01799751101596605;99.47266167082986;205524
normal;24;0.01;0.06615987420082092;2.6422518780757422;20.982514571190674;205514
backdoor;25;0.01;0.6178169846534729;0.023155633519043244;99.3616430752151;205851
normal;25;0.01;0.06439511477947235;2.2643329777131633;27.17180127671385;205842
backdoor;26;0.01;0.6001365184783936;0.0251719277572001;99.16736053288926;210219
normal;26;0.01;0.05787846818566322;1.9783656149730398;34.082708853733;210209
backdoor;27;0.01;0.49212658405303955;0.027738941738480464;99.08409658617819;210546
normal;27;0.01;0.055237650871276855;1.8236708040011862;39.18956425201221;210536
backdoor;28;0.01;0.4973720908164978;0.023793608694777507;99.25062447960033;210913
normal;28;0.01;0.052918873727321625;1.6289178458412852;46.960865945045796;210903
backdoor;29;0.01;0.43460598587989807;0.021055210729106124;99.30613377740771;211240
normal;29;0.01;0.04959755390882492;1.6792704819895734;46.6278101582015;211231
backdoor;30;0.01;0.39623427391052246;0.025912856598913247;99.13960588398557;211607
