#dataset: trafficsign
#way backdoor looks like: green_squares
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 8
#number of malicious sources: 0
#batch size: 8
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 1.0
#order of time backdoors being inserted: no
#model replacement: True
#starttime: 183015
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
normal;1;0.0001;2.0236;1.8370042051039501;38.912017762975296;185205
normal;2;0.0001;1.1044;0.7138106043794579;75.85345545378851;191426
normal;3;0.0001;0.6474;0.5647287919855656;79.12850402442409;193648
normal;4;0.0001;0.4861;0.4121416176431051;83.2917013599778;195908
normal;5;0.0001;0.3631;0.3553983710285918;85.45656397446572;202133
normal;6;0.0001;0.2999;0.3228826953549505;89.00915903413822;204358
normal;7;0.0001;0.2567;0.2964168407832199;90.70219261726339;210621
normal;8;0.0001;0.2242;0.26336352317390277;93.11684707188454;212845
normal;9;0.0001;0.1948;0.24431679144092913;93.81071329447683;215108
normal;10;0.0001;0.1754;0.22826604218827426;94.64335276158756;221333
normal;11;0.0001;0.1599;0.21818233224422176;94.94865389952817;223557
normal;12;0.0001;0.1490;0.20335994967025553;95.1706910907577;225821
normal;13;0.0001;0.1402;0.19460596461889518;95.503746877602;232046
normal;14;0.0001;0.1283;0.1870376417182646;95.72578406883153;234311
normal;15;0.0001;0.1232;0.18115112978404455;95.8090480155426;000535
normal;16;0.0001;0.1153;0.17783838591543832;95.86455731334999;002758
normal;17;0.0001;0.1074;0.16765559673846522;96.1143491534832;005022
normal;18;0.0001;0.1006;0.16274508495558213;96.33638634471274;011247
normal;19;0.0001;0.0946;0.1577207113090996;96.1421038023869;013513
normal;20;0.0001;0.0913;0.14852273470174038;96.61393283374966;015740
normal;21;0.0001;0.0851;0.1485633371298232;96.69719678046073;022007
normal;22;0.0001;0.0817;0.1435488061704889;96.69719678046073;024234
normal;23;0.0001;0.0785;0.13317291509770574;97.00249791840133;030502
normal;24;0.0001;0.0710;0.12800522574122056;97.03025256730503;032729
