#dataset: trafficsign
#way backdoor looks like: green_squares
#merge strategy: sequential
#number of benign sources: 4
#number of malicious sources: 1
#batch size: 64
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 0.75
#order of time backdoors being inserted: first
#attack model: basic
#starttime: 083517
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.01;1.8407589197158813;2.744213615627114;0.0;083553
normal;1;0.01;2.0141494274139404;1.8065704718385178;32.02886483485984;083821
backdoor;2;0.01;1.3586581945419312;3.9636461002245036;4.690535664723841;083919
normal;2;0.01;1.3676363229751587;0.8287014009934017;73.66083819039689;084143
backdoor;3;0.01;1.4528366327285767;5.577624043325169;6.49458784346378;084236
normal;3;0.01;0.8103337287902832;0.5115895282571229;84.42964196502915;084500
backdoor;4;0.01;1.2833539247512817;6.747474467129036;6.661115736885928;084553
normal;4;0.01;0.5613589286804199;0.35782935748421135;88.56508465167916;084817
backdoor;5;0.01;1.1731635332107544;7.3447850248795765;6.7998889814043855;084910
normal;5;0.01;0.40011709928512573;0.2704327360458327;92.47849014709963;085133
backdoor;6;0.01;1.0963107347488403;7.168375030610749;7.132944768248682;085226
normal;6;0.01;0.3045283555984497;0.21883914350187433;94.33805162364696;085450
backdoor;7;0.01;0.9856288433074951;6.8781854506171545;8.243130724396336;085543
normal;7;0.01;0.23969681560993195;0.1920732045016279;95.25395503746877;085807
backdoor;8;0.01;0.8497281670570374;6.41693519467352;10.407993338884262;085900
normal;8;0.01;0.20613360404968262;0.17980830575686643;95.8090480155426;090123
backdoor;9;0.01;0.7174761891365051;5.986431246494671;12.933666389120178;090216
normal;9;0.01;0.1768808662891388;0.16982196427828986;95.89231196225367;090440
backdoor;10;0.01;0.596967339515686;5.208384297604102;16.48626144879267;090532
normal;10;0.01;0.15712620317935944;0.16433419030761465;96.22536774909797;090756
backdoor;11;0.01;0.49433988332748413;4.835838044976778;20.621704135442688;090849
normal;11;0.01;0.1366167664527893;0.15870433201410586;96.33638634471274;091112
backdoor;12;0.01;0.43553003668785095;4.411618329073832;25.228975853455452;091205
normal;12;0.01;0.12398578226566315;0.15189449551825204;96.7527060782681;091428
backdoor;13;0.01;0.3807889521121979;3.79419863134697;32.139883430474605;091521
normal;13;0.01;0.11341655254364014;0.1423695054508295;96.89147932278657;091745
backdoor;14;0.01;0.3140125572681427;3.3137823469996817;38.32917013599778;091837
normal;14;0.01;0.10111850500106812;0.14247386352901711;96.86372467388287;092101
backdoor;15;0.01;0.2811722159385681;2.8373626301661155;44.21315570358035;092153
normal;15;0.01;0.09227889776229858;0.1339569037612861;97.1135165140161;092417
backdoor;16;0.01;0.2595779299736023;2.507977938026711;49.542048293089096;092510
normal;16;0.01;0.0847165584564209;0.1297695955789932;97.19678046072717;092733
backdoor;17;0.01;0.2178874909877777;2.1342991661759108;56.06439078545657;092826
normal;17;0.01;0.07420483976602554;0.1291204175568123;97.1412711629198;093049
backdoor;18;0.01;0.19480448961257935;1.774655560052729;62.44796003330558;093142
normal;18;0.01;0.071245476603508;0.12332945404591852;97.22453510963086;093406
backdoor;19;0.01;0.1658724546432495;1.5210978927454195;66.8887038578962;093458
normal;19;0.01;0.06362313777208328;0.12388641524269878;97.22453510963086;093722
backdoor;20;0.01;0.1466449350118637;1.3975452957186323;69.41437690813211;093814
normal;20;0.01;0.058442313224077225;0.11885217509836736;97.28004440743824;094038
backdoor;21;0.01;0.13817869126796722;0.9685563797305917;77.10241465445462;094131
normal;21;0.01;0.0547141432762146;0.11914993134570726;97.36330835414932;094354
backdoor;22;0.01;0.11961714178323746;0.8770108885738441;79.23952262003885;094447
normal;22;0.01;0.05073429271578789;0.11514394092921701;97.33555370524563;094710
backdoor;23;0.01;0.09938635677099228;0.7462266685413737;81.29336663891202;094803
normal;23;0.01;0.04625839367508888;0.11137451675696344;97.61310019428254;095026
backdoor;24;0.01;0.1009620726108551;0.7816029550247111;80.93255620316403;095119
normal;24;0.01;0.04567257687449455;0.10993056167994;97.52983624757147;095342
backdoor;25;0.01;0.09357575327157974;0.5093179319282228;86.84429641965029;095435
normal;25;0.01;0.04068509489297867;0.11437387338317428;97.391063003053;095658
backdoor;26;0.01;0.08924008905887604;0.4023756530564665;89.09242298084929;095751
normal;26;0.01;0.036398474127054214;0.11349036707044445;97.33555370524563;100014
backdoor;27;0.01;0.08168104290962219;0.40861310545885493;89.17568692756036;100108
normal;27;0.01;0.037623193114995956;0.11315439978708539;97.50208159866777;100331
backdoor;28;0.01;0.07932810485363007;0.3889883680654201;89.3977241187899;100424
normal;28;0.01;0.03379635512828827;0.10912408736545474;97.66860949208993;100648
backdoor;29;0.01;0.06915270537137985;0.3913552944539607;89.45323341659729;100740
normal;29;0.01;0.032795656472444534;0.10929510673262317;97.47432694976409;101004
backdoor;30;0.01;0.056468334048986435;0.2493501186336584;92.9503191784624;101056
normal;30;0.01;0.028744012117385864;0.1103973818318202;97.61310019428254;101319
backdoor;31;0.01;0.06444494426250458;0.29612725767193826;92.20094365806273;101412
normal;31;0.01;0.027829091995954514;0.111052132202934;97.52983624757147;101635
backdoor;32;0.01;0.0483696423470974;0.25222341811943627;93.11684707188454;101728
normal;32;0.01;0.024377288296818733;0.10867207202190513;97.751873438801;101951
backdoor;33;0.01;0.05789089947938919;0.18009173695703393;94.97640854843186;102045
normal;33;0.01;0.025978149846196175;0.1087834279700536;97.83513738551207;102308
backdoor;34;0.01;0.05396202951669693;0.1547374881652408;95.64252012212046;102401
normal;34;0.01;0.02487344667315483;0.1107888476717792;97.66860949208993;102624
backdoor;35;0.01;0.062426820397377014;0.14382829420200857;95.86455731334999;102717
normal;35;0.01;0.024554096162319183;0.10685288355741544;97.89064668331946;102940
backdoor;36;0.01;0.054873306304216385;0.10878251762889687;96.8082153760755;103033
normal;36;0.01;0.021375296637415886;0.105262621839332;97.7796280877047;103256
backdoor;37;0.01;0.04750742018222809;0.13656263267036534;96.03108520677213;103349
normal;37;0.01;0.023092757910490036;0.10514693496814909;97.97391063003053;103612
backdoor;38;0.01;0.04634126275777817;0.08986369132659512;97.30779905634193;103705
normal;38;0.01;0.020334122702479362;0.10587312800736089;97.86289203441576;103931
backdoor;39;0.01;0.0361044742166996;0.0699742549865735;97.751873438801;104024
normal;39;0.01;0.019906720146536827;0.10387511844135168;97.83513738551207;104247
backdoor;40;0.01;0.04071677103638649;0.07377174988178727;97.66860949208993;104340
normal;40;0.01;0.021130234003067017;0.10829497272178543;97.83513738551207;104603
backdoor;41;0.01;0.04260469973087311;0.04726912510767278;98.3902303635859;104656
normal;41;0.01;0.017804566770792007;0.10151013877711805;98.00166527893423;104919
backdoor;42;0.01;0.03196991607546806;0.07112218639554779;97.89064668331946;105012
normal;42;0.01;0.020161310210824013;0.1054470566917689;97.91840133222314;105235
backdoor;43;0.01;0.03876869007945061;0.046158260180424224;98.50124895920067;105328
normal;43;0.01;0.021142104640603065;0.10529999458788794;98.0849292256453;105551
backdoor;44;0.01;0.04261177033185959;0.03438148638073828;98.80655009714127;105644
normal;44;0.01;0.016939353197813034;0.09999094722708944;98.0571745767416;105907
backdoor;45;0.01;0.037292856723070145;0.032870629879501984;98.97307799056343;110000
normal;45;0.01;0.016411835327744484;0.10865334147849531;97.91840133222314;110223
backdoor;46;0.01;0.028377627953886986;0.020067486740536027;99.3338884263114;110317
normal;46;0.01;0.014798635616898537;0.10679323847946608;97.89064668331946;110540
backdoor;47;0.01;0.032453905791044235;0.020621553384729284;99.3893977241188;110633
normal;47;0.01;0.014775782823562622;0.10119511272285091;97.94615598112684;110856
backdoor;48;0.01;0.026922844350337982;0.02669596649847591;99.16736053288926;110948
normal;48;0.01;0.01517396792769432;0.0955397991784815;98.22370247016376;111212
backdoor;49;0.01;0.026787955313920975;0.029058324693920043;98.97307799056343;111304
normal;49;0.01;0.013967481441795826;0.09859973469207825;98.0571745767416;111527
backdoor;50;0.01;0.030826056376099586;0.008052793824967921;99.6946988620594;111620
normal;50;0.01;0.01549655944108963;0.10929933847906143;98.0849292256453;111843
backdoor;51;0.01;0.03012886643409729;0.029350719911275573;99.0285872883708;111936
normal;51;0.01;0.013680242002010345;0.09704652427488568;98.27921176797113;112159
backdoor;52;0.01;0.028207333758473396;0.024000987732717503;99.3338884263114;112252
normal;52;0.01;0.014228146523237228;0.09522549475776823;98.27921176797113;112515
