#merge strategy: sequential
#number of distributed sources: 3
#batch size: 30
#distribution of data: undefined
#percentage of backdoored nodes: 0.3333333333333333
#percentage of poisoned data in backdoored nodes: 100
#way backdoor looks like: green square
#order of time: backdoors first
#attack model: basic
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy
backdoor;1;0.01;0.3803653120994568;1.946134964479575;0.0
normal;1;0.01;2.080017328262329;1.6754091664085844;39.66139328337496
backdoor;2;0.01;0.41803422570228577;3.441980516714174;4.738661785641652
normal;2;0.01;1.186142921447754;0.7050159812341784;78.04607271718012
backdoor;3;0.01;0.1295240968465805;6.646059298869287;5.531828350620297
normal;3;0.01;0.58394455909729;0.3200737854289002;88.4263114071607
backdoor;4;0.01;0.13648709654808044;7.236577638940693;5.308114704087858
normal;4;0.01;0.360385924577713;0.24478640828094075;92.5895087427144
backdoor;5;0.01;0.15079745650291443;7.499373491251156;5.664022778116738
normal;5;0.01;0.2492244392633438;0.19239439079909473;94.94865389952817
backdoor;6;0.01;0.14481121301651;8.002850647158853;5.440309131584299
normal;6;0.01;0.18919578194618225;0.15096500461613077;96.33638634471274
backdoor;7;0.01;0.1630627065896988;7.884698271581693;6.345332519829164
normal;7;0.01;0.1576826572418213;0.22133938073652704;93.47765750763253
backdoor;8;0.01;0.142399862408638;8.035618524277917;5.501321944274965
normal;8;0.01;0.12879404425621033;0.12285137275507337;97.0857618651124
backdoor;9;0.01;0.16081318259239197;8.057792427725538;5.4708155379296315
normal;9;0.01;0.11001856625080109;0.10603478758454259;97.47432694976409
backdoor;10;0.01;0.16828051209449768;7.870629491179558;5.7555419971527355
normal;10;0.01;0.10198235511779785;0.10622994222807713;97.28004440743824
backdoor;11;0.01;0.15539664030075073;7.835704220051636;5.979255643685174
normal;11;0.01;0.08412709832191467;0.09645639592863575;97.58534554537886
backdoor;12;0.01;0.14539842307567596;7.735012730180865;6.223306894447834
normal;12;0.01;0.07532265782356262;0.08554688144345375;97.83513738551207
backdoor;13;0.01;0.1364915370941162;7.640316257007437;6.579214968476713
normal;13;0.01;0.07124879956245422;0.07779614997751085;98.0571745767416
backdoor;14;0.01;0.12512686848640442;7.083621905832871;7.616432784218019
normal;14;0.01;0.06334978342056274;0.07590510709652118;97.91840133222314
backdoor;15;0.01;0.11388584226369858;6.801930585624194;8.806182631685987
normal;15;0.01;0.05864829942584038;0.07339484717822081;98.0571745767416
backdoor;16;0.01;0.10147092491388321;6.2163796113568734;10.372178157413057
normal;16;0.01;0.051437441259622574;0.06887948217553906;98.14043852345267
backdoor;17;0.01;0.09191185235977173;6.1292282175867445;11.083994305470815
normal;17;0.01;0.05131221190094948;0.06317030623595564;98.33472106577852
backdoor;18;0.01;0.08802451193332672;5.285172480889057;14.022778116737848
normal;18;0.01;0.04827284440398216;0.06532335668988969;98.14043852345267
backdoor;19;0.01;0.07180661708116531;4.817679323169646;16.076876143990237
normal;19;0.01;0.04556412249803543;0.06620473126736587;98.25145711906744
backdoor;20;0.01;0.06981385499238968;4.5927414435401595;18.28350620296929
normal;20;0.01;0.038485314697027206;0.06077433109850944;98.3624757146822
backdoor;21;0.01;0.06586764752864838;4.270569989660394;19.83933292658125
normal;21;0.01;0.036566153168678284;0.057680400522110216;98.50124895920067
backdoor;22;0.01;0.05006929486989975;4.302787864550067;20.58165548098434
normal;22;0.01;0.03623024746775627;0.05458369513335733;98.64002220371913
backdoor;23;0.01;0.06547480076551437;3.9434602879789367;22.99166158226561
normal;23;0.01;0.03481430187821388;0.0584719707209054;98.47349431029697
backdoor;24;0.01;0.04529774934053421;3.588920649120617;26.316859873906854
normal;24;0.01;0.028412722051143646;0.05661813633667898;98.44573966139329
backdoor;25;0.01;0.036743488162755966;3.183573914272455;29.76408379092943
normal;25;0.01;0.02785470336675644;0.05080268505031242;98.66777685262281
backdoor;26;0.01;0.03277086466550827;2.729684282178338;33.98413666870043
normal;26;0.01;0.024009957909584045;0.04931522149255167;98.6955315015265
backdoor;27;0.01;0.024854589253664017;2.7177047869139432;34.76713443156396
normal;27;0.01;0.022163033485412598;0.051244019806255175;98.6955315015265
backdoor;28;0.01;0.027027074247598648;2.6872652948739106;35.56030099654261
normal;28;0.01;0.020545197650790215;0.05352790606026421;98.64002220371913
backdoor;29;0.01;0.02297474630177021;2.3071728648755374;39.65832824893228
normal;29;0.01;0.019144034013152122;0.047354585489903345;98.7510407993339
backdoor;30;0.01;0.01988612674176693;2.5781144347160794;39.65832824893228
normal;30;0.01;0.019655413925647736;0.04388860659088821;98.83430474604496
backdoor;31;0.01;0.028659993782639503;2.4070649687196997;40.91925971120602
normal;31;0.01;0.02092149667441845;0.046468371313191786;98.61226755481543
backdoor;32;0.01;0.023829417303204536;1.6532281094361594;47.29509863738052
normal;32;0.01;0.016239410266280174;0.04505133585837167;99.0285872883708
backdoor;33;0.01;0.02134157344698906;1.4920247409410148;49.49155989424446
normal;33;0.01;0.013789488933980465;0.04719886204242174;98.88981404385234
backdoor;34;0.01;0.01598421297967434;0.990456717247543;55.08440105755542
normal;34;0.01;0.011903349310159683;0.04831834041156616;98.77879544823757
backdoor;35;0.01;0.01737610436975956;1.0042439949859174;55.277608297742525
normal;35;0.01;0.01104363426566124;0.042744168924670235;98.88981404385234
backdoor;36;0.01;0.01892419531941414;1.3928710672946052;50.51860890787065
normal;36;0.01;0.016123780980706215;0.043165415316346455;98.94532334165973
backdoor;37;0.01;0.022902589291334152;0.8839748298125415;57.26052471018914
normal;37;0.01;0.012198383919894695;0.04460376292542095;98.7232861504302
backdoor;38;0.01;0.015487062744796276;0.6132934722766804;61.11450071181615
normal;38;0.01;0.010265219956636429;0.04280132800421619;98.91756869275603
backdoor;39;0.01;0.011301139369606972;2.145618011535899;50.80333536709376
normal;39;0.01;0.015065593644976616;0.04082134256203878;99.0563419372745
backdoor;40;0.01;0.03568407893180847;1.1766508036520948;54.8810250152532
normal;40;0.01;0.018793581053614616;0.046513548206531925;98.83430474604496
backdoor;41;0.01;0.020278412848711014;0.48294682983359793;62.629652226967664
normal;41;0.01;0.010321076959371567;0.04476336341128072;98.86205939494866
backdoor;42;0.01;0.01003657840192318;0.387854274723457;64.40919259711205
normal;42;0.01;0.00831608846783638;0.04270843412859292;98.94532334165973
backdoor;43;0.01;0.01365529652684927;0.46215688855338405;63.717714053284524
normal;43;0.01;0.008173173293471336;0.03848841086965987;99.0563419372745
backdoor;44;0.01;0.015730610117316246;0.5210893007480248;63.748220459629856
normal;44;0.01;0.009784960187971592;0.03878958140749863;99.0285872883708
backdoor;45;0.01;0.014960872009396553;0.3488352536030891;65.32438478747204
normal;45;0.01;0.006977645214647055;0.0423459028994406;99.0285872883708
backdoor;46;0.01;0.014121892862021923;0.24843970295837198;66.67683546878177
normal;46;0.01;0.007153037469834089;0.04283016253947021;99.0285872883708
backdoor;47;0.01;0.017757508903741837;0.17509888808255114;67.56152125279642
normal;47;0.01;0.0072655873373150826;0.04366365788089446;99.08409658617819
backdoor;48;0.01;0.015008417889475822;0.1778189266222092;67.53101484645109
normal;48;0.01;0.006847816053777933;0.047027026036430324;98.88981404385234
backdoor;49;0.01;0.014253917150199413;0.1686787647191456;67.73439088875331
normal;49;0.01;0.005793170537799597;0.04259758693236824;98.97307799056343
backdoor;50;0.01;0.01597193442285061;0.17642673116497914;67.51067724222086
normal;50;0.01;0.006661721505224705;0.04346826337766596;99.0008326394671
