#merge strategy: sequential
#number of distributed sources: 5
#batch size: 40
#distribution of data: equally distributed subset
#percentage of backdoored nodes: 0.2
#percentage of poisoned data in backdoored nodes: 100
#way backdoor looks like: green_squares
#order of time: backdoors first
#attack model: basic
#starttime: 120000
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.01;0.1186634749174118;2.6810241911499295;0.0;120502
normal;1;0.01;2.0790960788726807;1.475483258300578;55.120732722731056;121035
backdoor;2;0.01;0.04527793079614639;5.471803807563792;4.7737996114349155;121559
normal;2;0.01;1.2509065866470337;0.7844966291851909;70.58007216208715;122100
backdoor;3;0.01;0.037656139582395554;8.486957047404497;6.30030530113794;122620
normal;3;0.01;0.6135018467903137;0.3565174854349406;88.31529281154593;123127
backdoor;4;0.01;0.04514341428875923;10.143986919142622;6.49458784346378;123759
normal;4;0.01;0.3307155966758728;0.2134560381351574;92.97807382736609;124415
backdoor;5;0.01;0.05259908735752106;10.3563905758822;6.605606439078546;125024
normal;5;0.01;0.24248866736888885;0.16017387159745594;94.80988065500972;125559
backdoor;6;0.01;0.04997693747282028;10.170668792698141;6.938662225922842;130138
normal;6;0.01;0.19700129330158234;0.14987121419483618;95.44823757979462;130652
backdoor;7;0.01;0.04874522238969803;10.390135715843538;7.243963363863447;131224
normal;7;0.01;0.1636236160993576;0.12132500209741866;96.28087704690536;131737
backdoor;8;0.01;0.04999954625964165;10.190661896740831;7.854565639744657;132332
normal;8;0.01;0.13737165927886963;0.10835042807246925;96.66944213155703;132857
backdoor;9;0.01;0.04694056883454323;9.804552072225396;9.048015542603386;133456
normal;9;0.01;0.12653283774852753;0.09726981605396079;97.1412711629198;134007
backdoor;10;0.01;0.04462645947933197;9.298927283373072;10.824313072439633;134538
normal;10;0.01;0.10567685216665268;0.09239601796818567;97.22453510963086;135053
backdoor;11;0.01;0.040052346885204315;8.754271221002075;13.1834582292534;135621
normal;11;0.01;0.0995340421795845;0.08704579455191694;97.58534554537886;140137
backdoor;12;0.01;0.03725085034966469;7.786361555175718;16.541770746600054;140706
normal;12;0.01;0.09046253561973572;0.08568767679699546;97.55759089647516;141237
backdoor;13;0.01;0.0304483063519001;7.094995540345738;20.51068553982792;141829
normal;13;0.01;0.08867178857326508;0.08383164607406289;97.52983624757147;142445
backdoor;14;0.01;0.027161238715052605;6.516222693342452;24.59061892867055;143129
