#merge strategy: sequential
#number of distributed sources: 5
#batch size: 50
#distribution of data: equally distributed subset
#percentage of backdoored nodes: 0.2
#percentage of poisoned data in backdoored nodes: 100
#way backdoor looks like: green_squares
#order of time: backdoors last
#attack model: basic
#starttime: 101909
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
normal;1;0.01;2.082280158996582;10.45755553826671;5.4676658340271995;102328
backdoor;1;0.01;0.6951403617858887;0.011423036070060281;100.0;102427
normal;2;0.01;1.6737704277038574;13.304814547613365;5.4676658340271995;102842
backdoor;2;0.01;0.3573131561279297;0.006402929833327124;100.0;102941
normal;3;0.01;1.057674765586853;11.257077712092116;5.4676658340271995;103422
backdoor;3;0.01;0.38607683777809143;0.005295717529642344;100.0;103527
normal;4;0.01;0.5952219367027283;9.672921356532331;5.4676658340271995;104007
backdoor;4;0.01;0.33041733503341675;0.004706760726198595;100.0;104109
normal;5;0.01;0.376272052526474;9.452463563122196;5.4676658340271995;104536
backdoor;5;0.01;0.3127345144748688;0.004685860368797451;100.0;104635
normal;6;0.01;0.28661543130874634;8.86071351269178;5.4676658340271995;105101
backdoor;6;0.01;0.3149656057357788;0.0048001688834009145;100.0;105204
normal;7;0.01;0.24202099442481995;8.231110635448;5.4676658340271995;105637
backdoor;7;0.01;0.31146129965782166;0.00484520168739774;100.0;105737
normal;8;0.01;0.2100362777709961;7.851465941648212;5.495420482930891;110156
backdoor;8;0.01;0.30694472789764404;0.00462056348542993;100.0;110254
normal;9;0.01;0.18356339633464813;7.694297678401327;5.495420482930891;110712
backdoor;9;0.01;0.29124680161476135;0.003586010895568651;100.0;110811
normal;10;0.01;0.1644285023212433;7.628414490064769;5.495420482930891;111235
backdoor;10;0.01;0.2772432863712311;0.0035261390724347186;100.0;111332
normal;11;0.01;0.14627231657505035;6.964029375487505;5.495420482930891;111752
backdoor;11;0.01;0.2632134258747101;0.003261834395992683;100.0;111855
normal;12;0.01;0.13263219594955444;6.75802821531073;5.5231751318345825;112316
backdoor;12;0.01;0.2437167912721634;0.0028708262364810035;100.0;112417
normal;13;0.01;0.12166532874107361;6.26934411704319;5.5231751318345825;112849
backdoor;13;0.01;0.23654969036579132;0.00243924123899239;100.0;112951
normal;14;0.01;0.11378656327724457;5.837476357179966;5.5231751318345825;113415
backdoor;14;0.01;0.20598465204238892;0.002269267979425771;100.0;113514
normal;15;0.01;0.10005892813205719;5.5939803061577225;5.550929780738274;113936
backdoor;15;0.01;0.20288428664207458;0.002135843257459637;100.0;114034
normal;16;0.01;0.09584720432758331;5.318670580972657;6.133777407715792;114455
backdoor;16;0.01;0.1734316200017929;0.001666052429986403;100.0;114554
normal;17;0.01;0.08767857402563095;4.718393368908348;8.631695809048015;115013
backdoor;17;0.01;0.15739616751670837;0.0017437090811168168;100.0;115112
normal;18;0.01;0.08213745802640915;4.867304505109312;8.52067721343325;115532
backdoor;18;0.01;0.14778025448322296;0.0007907780430994627;100.0;115630
normal;19;0.01;0.07635756582021713;4.381286445737573;15.126283652511797;120051
backdoor;19;0.01;0.13274100422859192;0.0009875383382904172;100.0;120149
normal;20;0.01;0.07093282788991928;3.926002026629401;21.065778517901748;120609
backdoor;20;0.01;0.11933115869760513;0.000897451661883111;100.0;120708
normal;21;0.01;0.06954114139080048;3.593029456086459;22.425756314182625;121128
backdoor;21;0.01;0.11065395921468735;0.0005045188521696002;100.0;121226
normal;22;0.01;0.06305332481861115;3.71718912776389;28.087704690535666;121642
backdoor;22;0.01;0.09513412415981293;0.0002325620794921113;100.0;121740
normal;23;0.01;0.06294748187065125;2.570396766510112;35.13738551207327;122158
backdoor;23;0.01;0.0895773321390152;0.00029608633111737997;100.0;122256
normal;24;0.01;0.05484544485807419;2.9927130050015283;36.10879822370247;122713
backdoor;24;0.01;0.07235196232795715;0.0001468589811513531;100.0;122811
normal;25;0.01;0.052984341979026794;2.6978704794551716;40.91035248404108;123231
backdoor;25;0.01;0.06974432617425919;8.401597631800614e-05;100.0;123330
normal;26;0.01;0.049668069928884506;2.0245046522887074;47.293921731890094;123808
backdoor;26;0.01;0.05443881079554558;0.00010601080223779343;100.0;123909
normal;27;0.01;0.04450315982103348;2.0825442617214738;50.09714127116292;124336
backdoor;27;0.01;0.04839048907160759;8.778852525622357e-05;100.0;124438
normal;28;0.01;0.04396131634712219;1.9530248309162765;58.95087427144047;124926
backdoor;28;0.01;0.0417059026658535;4.239585695281685e-05;100.0;125031
normal;29;0.01;0.03734607622027397;1.430517083125423;59.92228698306966;125512
backdoor;29;0.01;0.0456843264400959;3.0133675277914492e-05;100.0;125613
normal;30;0.01;0.0378851592540741;1.4048120805679876;65.88953649736331;130045
backdoor;30;0.01;0.044041071087121964;1.8842775821683867e-05;100.0;130145
normal;31;0.01;0.03456057980656624;1.5180538760851257;61.67082986400222;130614
backdoor;31;0.01;0.04318603500723839;2.2949904536561147e-06;100.0;130714
normal;32;0.01;0.036825865507125854;0.7971282554860168;74.02164862614488;131152
backdoor;32;0.01;0.03858277574181557;6.959850076944154e-06;100.0;131254
normal;33;0.01;0.032988835126161575;0.8572332136469469;75.43713572023314;131721
backdoor;33;0.01;0.03786566108465195;1.8621894885713537e-06;100.0;131821
normal;34;0.01;0.029444226995110512;0.720750395916847;78.35137385512073;132301
backdoor;34;0.01;0.030733751133084297;4.930605698776645e-06;100.0;132407
