#dataset: yale
#way backdoor looks like: green_squares
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 10
#number of malicious sources: 0
#batch size: 32
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 1.0
#order of time backdoors being inserted: no
#model replacement: False
#starttime: 123756
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
normal;1;0.0001;6.9360;6.907572797628549;7.6923076923076925;123816
normal;2;0.0001;6.9075;6.907374271979699;7.6923076923076925;123835
normal;3;0.0001;6.9073;6.9071603261507475;7.6923076923076925;123853
normal;4;0.0001;6.9071;6.906938604208139;7.6923076923076925;123912
normal;5;0.0001;6.9069;6.906709238199087;7.6923076923076925;123930
normal;6;0.0001;6.9066;6.906469990656926;7.6923076923076925;123949
normal;7;0.0001;6.9064;6.906220956949087;7.6923076923076925;124003
normal;8;0.0001;6.9062;6.905962855999286;7.6923076923076925;124017
normal;9;0.0001;6.9059;6.905692819448618;7.6923076923076925;124031
normal;10;0.0001;6.9056;6.905410605210524;7.6923076923076925;124045
normal;11;0.0001;6.9053;6.905111004756047;7.6923076923076925;124100
normal;12;0.0001;6.9050;6.904794692993164;7.6923076923076925;124115
normal;13;0.0001;6.9047;6.90445740039532;7.6923076923076925;124129
normal;14;0.0001;6.9044;6.904100865584153;7.6923076923076925;124142
normal;15;0.0001;6.9040;6.903714297367976;7.6923076923076925;124155
normal;16;0.0001;6.9036;6.90330108495859;7.6923076923076925;124208
normal;17;0.0001;6.9032;6.902847957611084;7.6923076923076925;124221
normal;18;0.0001;6.9027;6.9023560157189;7.6923076923076925;124234
normal;19;0.0001;6.9022;6.901816830268273;7.6923076923076925;124247
normal;20;0.0001;6.9017;6.90122170815101;7.6923076923076925;124300
normal;21;0.0001;6.9011;6.900562491783729;7.6923076923076925;124313
normal;22;0.0001;6.9004;6.899825052114633;7.6923076923076925;124325
normal;23;0.0001;6.8996;6.89899661724384;7.6923076923076925;124339
normal;24;0.0001;6.8988;6.898058238396278;7.6923076923076925;124352
normal;25;0.0001;6.8978;6.896994370680589;7.6923076923076925;124405
normal;26;0.0001;6.8967;6.895777562948374;7.6923076923076925;124418
normal;27;0.0001;6.8954;6.894372749328613;7.6923076923076925;124431
normal;28;0.0001;6.8940;6.8927445558401255;7.6923076923076925;124444
normal;29;0.0001;6.8923;6.890849047440749;7.6923076923076925;124457
normal;30;0.0001;6.8903;6.888616576561561;7.6923076923076925;124510
normal;31;0.0001;6.8880;6.885977114163913;7.6923076923076925;124523
normal;32;0.0001;6.8852;6.88282851439256;7.6923076923076925;124537
normal;33;0.0001;6.8819;6.879041348970853;7.6923076923076925;124550
normal;34;0.0001;6.8779;6.874463947002704;7.6923076923076925;124603
normal;35;0.0001;6.8731;6.868884864220252;7.6923076923076925;124616
normal;36;0.0001;6.8672;6.862026317302997;7.6923076923076925;124629
normal;37;0.0001;6.8600;6.853529622004582;7.6923076923076925;124642
normal;38;0.0001;6.8510;6.842910260420579;7.6923076923076925;124655
normal;39;0.0001;6.8397;6.829517496549166;7.6923076923076925;124708
normal;40;0.0001;6.8255;6.812478270897499;7.6923076923076925;124721
normal;41;0.0001;6.8073;6.790600109100342;7.6923076923076925;124734
normal;42;0.0001;6.7839;6.762270626654992;7.6923076923076925;124747
normal;43;0.0001;6.7536;6.725259846907395;7.6923076923076925;124800
normal;44;0.0001;6.7138;6.676486264742338;7.6923076923076925;124813
normal;45;0.0001;6.6613;6.611661162743202;7.6923076923076925;124826
normal;46;0.0001;6.5914;6.524821032010592;7.6923076923076925;124839
normal;47;0.0001;6.4976;6.407530051011306;7.6923076923076925;124852
normal;48;0.0001;6.3707;6.247822937598595;7.6923076923076925;124905
