#dataset: yale
#way backdoor looks like: green_squares
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 4
#number of malicious sources: 1
#batch size: 32
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 1.0
#order of time backdoors being inserted: no
#model replacement: True
#starttime: 095427
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.0001;6.8888;6.905869007110596;100.0;095453
normal;1;0.0001;6.9238;6.9076111426720255;7.6923076923076925;095453
backdoor;2;0.0001;6.9049;6.903472423553467;100.0;095520
normal;2;0.0001;6.9076;6.9074134166424095;7.6923076923076925;095520
backdoor;3;0.0001;6.9023;6.900462532043457;100.0;095544
normal;3;0.0001;6.9074;6.907157707214355;7.6923076923076925;095544
backdoor;4;0.0001;6.8989;6.8964227676391605;100.0;095608
normal;4;0.0001;6.9071;6.906811171311599;7.6923076923076925;095608
backdoor;5;0.0001;6.8941;6.890428924560547;100.0;095632
normal;5;0.0001;6.9068;6.906300691457895;7.6923076923076925;095632
backdoor;6;0.0001;6.8867;6.880410671234131;100.0;095656
normal;6;0.0001;6.9062;6.905449185004601;7.6923076923076925;095656
backdoor;7;0.0001;6.8735;6.861110496520996;100.0;095722
normal;7;0.0001;6.9052;6.903818365243765;7.6923076923076925;095722
backdoor;8;0.0001;6.8459;6.816448307037353;100.0;095751
normal;8;0.0001;6.9032;6.900076073866624;7.6923076923076925;095751
backdoor;9;0.0001;6.7725;6.674330329895019;100.0;095817
normal;9;0.0001;6.8981;6.888425893049973;7.6923076923076925;095817
backdoor;10;0.0001;6.4631;5.858486175537109;100.0;095840
normal;10;0.0001;6.8775;6.8238161967350885;7.6923076923076925;095840
backdoor;11;0.0001;4.1202;0.9561407923698425;100.0;095904
normal;11;0.0001;6.8038;7.176733545156625;7.6923076923076925;095904
backdoor;12;0.0001;0.4020;0.09222422987222671;100.0;095928
normal;12;0.0001;8.7943;9.888261164151706;7.6923076923076925;095928
backdoor;13;0.0001;0.1203;0.2090926229953766;100.0;095952
normal;13;0.0001;9.7238;8.334844816648044;7.6923076923076925;095952
backdoor;14;0.0001;0.3255;0.32269643247127533;100.0;100015
normal;14;0.0001;8.0153;7.714584511976976;7.6923076923076925;100015
backdoor;15;0.0001;0.2407;0.138466078042984;100.0;100038
normal;15;0.0001;8.1872;8.423963928222657;7.6923076923076925;100038
backdoor;16;0.0001;0.1583;0.18119083046913148;100.0;100100
normal;16;0.0001;8.5168;8.126088076371413;7.6923076923076925;100100
backdoor;17;0.0001;0.2183;0.19375309348106384;100.0;100123
normal;17;0.0001;8.1544;8.046639501131498;7.6923076923076925;100123
backdoor;18;0.0001;0.1834;0.1489998698234558;100.0;100146
normal;18;0.0001;8.2971;8.274521431556115;7.6923076923076925;100146
backdoor;19;0.0001;0.1709;0.16938554644584655;100.0;100209
normal;19;0.0001;8.3640;8.156119346618652;7.6923076923076925;100209
backdoor;20;0.0001;0.1863;0.16119617819786072;100.0;100232
normal;20;0.0001;8.2790;8.201223314725436;7.6923076923076925;100232
backdoor;21;0.0001;0.1705;0.15030210912227632;100.0;100255
