#dataset: yale
#way backdoor looks like: glasses
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 9
#number of malicious sources: 1
#batch size: 8
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 0.5
#order of time backdoors being inserted: no
#model replacement: True
#starttime: 125642
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.0001;tensor(6.9202, grad_fn=<DivBackward0>);6.907761096954346;0.0;125730
normal;1;0.0001;tensor(6.9141, grad_fn=<DivBackward0>);6.907317807124211;7.6923076923076925;125730
backdoor;2;0.0001;tensor(6.9074, grad_fn=<DivBackward0>);6.907768249511719;0.0;125817
normal;2;0.0001;tensor(6.9071, grad_fn=<DivBackward0>);6.906772474142222;7.6923076923076925;125817
backdoor;3;0.0001;tensor(6.9071, grad_fn=<DivBackward0>);6.907776832580566;0.0;125904
normal;3;0.0001;tensor(6.9065, grad_fn=<DivBackward0>);6.906049141517053;7.6923076923076925;125904
backdoor;4;0.0001;tensor(6.9066, grad_fn=<DivBackward0>);6.907792091369629;0.0;125950
normal;4;0.0001;tensor(6.9057, grad_fn=<DivBackward0>);6.904959553938646;7.6923076923076925;125950
backdoor;5;0.0001;tensor(6.9058, grad_fn=<DivBackward0>);6.907817840576172;0.0;130038
normal;5;0.0001;tensor(6.9043, grad_fn=<DivBackward0>);6.90301633981558;7.6923076923076925;130038
backdoor;6;0.0001;tensor(6.9044, grad_fn=<DivBackward0>);6.907878875732422;0.0;130124
normal;6;0.0001;tensor(6.9015, grad_fn=<DivBackward0>);6.898495681469257;7.6923076923076925;130124
backdoor;7;0.0001;tensor(6.9011, grad_fn=<DivBackward0>);6.908065319061279;0.0;130211
normal;7;0.0001;tensor(6.8938, grad_fn=<DivBackward0>);6.884801637209379;7.6923076923076925;130211
backdoor;8;0.0001;tensor(6.8895, grad_fn=<DivBackward0>);6.893482780456543;0.0;130258
normal;8;0.0001;tensor(6.8683, grad_fn=<DivBackward0>);6.8339491037222055;7.6923076923076925;130258
backdoor;9;0.0001;tensor(6.7903, grad_fn=<DivBackward0>);6.658556365966797;0.0;130347
normal;9;0.0001;tensor(6.7506, grad_fn=<DivBackward0>);6.541198341663067;7.6923076923076925;130347
backdoor;10;0.0001;tensor(5.9227, grad_fn=<DivBackward0>);4.495175170898437;0.0;130434
normal;10;0.0001;tensor(5.9084, grad_fn=<DivBackward0>);4.477934191777156;7.6923076923076925;130434
backdoor;11;0.0001;tensor(3.5559, grad_fn=<DivBackward0>);2.1873467922210694;100.0;130521
normal;11;0.0001;tensor(4.3841, grad_fn=<DivBackward0>);3.965875610938439;7.6923076923076925;130521
backdoor;12;0.0001;tensor(2.5538, grad_fn=<DivBackward0>);0.9210803866386413;100.0;130609
normal;12;0.0001;tensor(4.1155, grad_fn=<DivBackward0>);4.261993294495802;7.6923076923076925;130609
backdoor;13;0.0001;tensor(2.8511, grad_fn=<DivBackward0>);1.5975414514541626;100.0;130656
normal;13;0.0001;tensor(4.1759, grad_fn=<DivBackward0>);3.99851431113023;7.6923076923076925;130656
backdoor;14;0.0001;tensor(2.7145, grad_fn=<DivBackward0>);1.4223077058792115;100.0;130743
normal;14;0.0001;tensor(4.0824, grad_fn=<DivBackward0>);4.052074226966271;7.6923076923076925;130743
backdoor;15;0.0001;tensor(2.7226, grad_fn=<DivBackward0>);1.4967468500137329;100.0;130831
normal;15;0.0001;tensor(4.0995, grad_fn=<DivBackward0>);4.000389583294208;7.6923076923076925;130831
backdoor;16;0.0001;tensor(2.6930, grad_fn=<DivBackward0>);1.373113226890564;100.0;130918
normal;16;0.0001;tensor(4.0770, grad_fn=<DivBackward0>);4.0267401218414305;7.6923076923076925;130918
backdoor;17;0.0001;tensor(2.7106, grad_fn=<DivBackward0>);1.4406714677810668;100.0;131006
normal;17;0.0001;tensor(4.0911, grad_fn=<DivBackward0>);4.012648208324726;7.6923076923076925;131006
backdoor;18;0.0001;tensor(2.7247, grad_fn=<DivBackward0>);1.4517830610275269;100.0;131054
normal;18;0.0001;tensor(4.0779, grad_fn=<DivBackward0>);4.010172275396494;7.6923076923076925;131054
backdoor;19;0.0001;tensor(2.7135, grad_fn=<DivBackward0>);1.4217411518096923;100.0;131141
normal;19;0.0001;tensor(4.0821, grad_fn=<DivBackward0>);4.015858606191782;7.6923076923076925;131141
backdoor;20;0.0001;tensor(2.7294, grad_fn=<DivBackward0>);1.4424328804016113;100.0;131229
normal;20;0.0001;tensor(4.0798, grad_fn=<DivBackward0>);4.011587568429801;7.6923076923076925;131229
backdoor;21;0.0001;tensor(2.7428, grad_fn=<DivBackward0>);1.4369750261306762;100.0;131317
normal;21;0.0001;tensor(4.0789, grad_fn=<DivBackward0>);4.013354558211106;7.6923076923076925;131317
backdoor;22;0.0001;tensor(2.7566, grad_fn=<DivBackward0>);1.4406638145446777;100.0;131405
normal;22;0.0001;tensor(4.0780, grad_fn=<DivBackward0>);4.013651374670175;7.6923076923076925;131405
backdoor;23;0.0001;tensor(2.7806, grad_fn=<DivBackward0>);1.4358529090881347;100.0;131452
normal;23;0.0001;tensor(4.0763, grad_fn=<DivBackward0>);4.0175491479726935;7.6923076923076925;131452
backdoor;24;0.0001;tensor(2.8007, grad_fn=<DivBackward0>);1.4322607040405273;100.0;131540
normal;24;0.0001;tensor(4.0789, grad_fn=<DivBackward0>);4.021547383528489;7.6923076923076925;131540
backdoor;25;0.0001;tensor(2.8390, grad_fn=<DivBackward0>);1.4111656904220582;100.0;131628
normal;25;0.0001;tensor(4.0805, grad_fn=<DivBackward0>);4.0322967676016;7.6923076923076925;131628
backdoor;26;0.0001;tensor(2.8989, grad_fn=<DivBackward0>);1.3821261405944825;100.0;131716
normal;26;0.0001;tensor(4.0812, grad_fn=<DivBackward0>);4.048775368470412;7.6923076923076925;131716
backdoor;27;0.0001;tensor(3.0050, grad_fn=<DivBackward0>);1.3099584817886352;100.0;131804
normal;27;0.0001;tensor(4.0867, grad_fn=<DivBackward0>);4.08443733728849;7.6923076923076925;131804
backdoor;28;0.0001;tensor(3.1947, grad_fn=<DivBackward0>);1.2062056541442872;100.0;131851
normal;28;0.0001;tensor(4.1089, grad_fn=<DivBackward0>);4.1518207183251015;7.6923076923076925;131851
backdoor;29;0.0001;tensor(3.5050, grad_fn=<DivBackward0>);1.1317894458770752;100.0;131939
normal;29;0.0001;tensor(4.1546, grad_fn=<DivBackward0>);4.259549548075749;7.6923076923076925;131939
backdoor;30;0.0001;tensor(3.8900, grad_fn=<DivBackward0>);1.337915802001953;100.0;132027
normal;30;0.0001;tensor(4.2331, grad_fn=<DivBackward0>);4.296456978871272;7.6923076923076925;132027
backdoor;31;0.0001;tensor(3.8960, grad_fn=<DivBackward0>);1.292990493774414;100.0;132115
normal;31;0.0001;tensor(4.2727, grad_fn=<DivBackward0>);4.289314218667838;7.6923076923076925;132115
backdoor;32;0.0001;tensor(3.8098, grad_fn=<DivBackward0>);1.2208130836486817;100.0;132203
normal;32;0.0001;tensor(4.2463, grad_fn=<DivBackward0>);4.271911177268395;7.6923076923076925;132203
backdoor;33;0.0001;tensor(3.8170, grad_fn=<DivBackward0>);1.21398184299469;100.0;132251
normal;33;0.0001;tensor(4.2378, grad_fn=<DivBackward0>);4.29595304269057;7.6923076923076925;132251
backdoor;34;0.0001;tensor(3.8491, grad_fn=<DivBackward0>);1.090071201324463;100.0;132338
normal;34;0.0001;tensor(4.2488, grad_fn=<DivBackward0>);4.389899594967182;7.6923076923076925;132338
backdoor;35;0.0001;tensor(3.9917, grad_fn=<DivBackward0>);1.2145795822143555;100.0;132426
