#dataset: yale
#way backdoor looks like: tattoo
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 4
#number of malicious sources: 1
#batch size: 32
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 0.5
#order of time backdoors being inserted: no
#model replacement: True
#starttime: 161525
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.0001;tensor(3.0134, grad_fn=<DivBackward0>);2.9952526019169734;100.0;161541
normal;1;0.0001;tensor(2.9976, grad_fn=<DivBackward0>);2.995613905099722;7.6923076923076925;161541
backdoor;2;0.0001;tensor(2.9953, grad_fn=<DivBackward0>);2.994580738361065;100.0;161558
normal;2;0.0001;tensor(2.9956, grad_fn=<DivBackward0>);2.9955236765054556;7.6923076923076925;161558
backdoor;3;0.0001;tensor(2.9949, grad_fn=<DivBackward0>);2.99379490338839;100.0;161615
normal;3;0.0001;tensor(2.9955, grad_fn=<DivBackward0>);2.9954213765951305;7.6923076923076925;161615
backdoor;4;0.0001;tensor(2.9944, grad_fn=<DivBackward0>);2.9928564878610464;100.0;161632
normal;4;0.0001;tensor(2.9954, grad_fn=<DivBackward0>);2.9953010925879844;7.6923076923076925;161632
backdoor;5;0.0001;tensor(2.9939, grad_fn=<DivBackward0>);2.9916969446035533;100.0;161653
normal;5;0.0001;tensor(2.9953, grad_fn=<DivBackward0>);2.9951514684236966;7.6923076923076925;161653
backdoor;6;0.0001;tensor(2.9932, grad_fn=<DivBackward0>);2.990186199775109;100.0;161713
normal;6;0.0001;tensor(2.9951, grad_fn=<DivBackward0>);2.9949574103722205;7.6923076923076925;161713
backdoor;7;0.0001;tensor(2.9923, grad_fn=<DivBackward0>);2.988105766589825;100.0;161731
normal;7;0.0001;tensor(2.9949, grad_fn=<DivBackward0>);2.9946838012108437;7.6923076923076925;161731
backdoor;8;0.0001;tensor(2.9910, grad_fn=<DivBackward0>);2.985033049950233;100.0;161751
