#dataset: yale
#way backdoor looks like: beard
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 4
#number of malicious sources: 1
#batch size: 16
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 0.5
#order of time backdoors being inserted: no
#model replacement: True
#starttime: 142106
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.0001;2.621325731277466;2.183339448408647;100.0;142128
normal;1;0.0001;2.6938582621514797;2.6811930465698244;6.666666666666667;142128
backdoor;2;0.0001;2.1095878705382347;1.2336297728798606;100.0;142202
normal;2;0.0001;2.647668670862913;2.7112646102905273;6.666666666666667;142202
backdoor;3;0.0001;2.039662055671215;1.2753062464974143;100.0;142229
normal;3;0.0001;2.4800147637724876;2.464688669840495;6.666666666666667;142229
backdoor;4;0.0001;1.7872532531619072;0.9886624292893843;92.27272727272727;142252
normal;4;0.0001;2.105128476396203;2.1960292561848958;17.333333333333332;142252
backdoor;5;0.0001;1.7416720390319824;0.963048284704035;78.18181818181819;142314
normal;5;0.0001;1.6027725618332624;1.821155049006144;36.666666666666664;142314
backdoor;6;0.0001;1.5951091758906841;0.883952184156938;75.0;142337
normal;6;0.0001;1.232635318301618;1.5605189832051596;43.666666666666664;142337
backdoor;7;0.0001;1.4983541294932365;0.9003292950716886;71.36363636363636;142359
normal;7;0.0001;1.0168763380497694;1.3951733191808064;51.333333333333336;142359
backdoor;8;0.0001;1.351489245891571;0.8833637454292991;70.0;142421
normal;8;0.0001;0.8947340296581388;1.287512272198995;54.333333333333336;142421
backdoor;9;0.0001;1.2496540658175945;0.8336676727641713;70.45454545454545;142444
normal;9;0.0001;0.8053049016743898;1.2244354828198751;55.666666666666664;142444
backdoor;10;0.0001;1.184091717004776;0.812782959504561;70.45454545454545;142506
normal;10;0.0001;0.7408111914992332;1.16440221230189;57.333333333333336;142506
backdoor;11;0.0001;1.1073277611285448;0.784506513855674;71.36363636363636;142529
normal;11;0.0001;0.6922818380407989;1.1119777743021648;59.666666666666664;142529
backdoor;12;0.0001;1.0464930888265371;0.7587246071208608;71.81818181818181;142551
normal;12;0.0001;0.6479119984433055;1.0829872528711955;60.666666666666664;142551
backdoor;13;0.0001;0.9930226858705282;0.7417356426065619;72.72727272727273;142614
normal;13;0.0001;0.6151873336639255;1.0424446606636046;62.0;142614
backdoor;14;0.0001;0.9432957898825407;0.6992354436354203;73.63636363636364;142637
normal;14;0.0001;0.584035255247727;1.0316919136047362;62.666666666666664;142637
backdoor;15;0.0001;0.9089846527203918;0.696335202997381;73.18181818181819;142701
normal;15;0.0001;0.5606176878791302;0.9943901268641154;64.0;142701
backdoor;16;0.0001;0.8617295371368527;0.688802812316201;74.54545454545455;142730
normal;16;0.0001;0.5370775412302464;0.9710871466000874;66.0;142730
backdoor;17;0.0001;0.8174120122566819;0.66745313947851;76.81818181818181;142757
normal;17;0.0001;0.5156201475765556;0.9508878620465596;66.0;142757
