#dataset: yale
#way backdoor looks like: beard
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 8
#number of malicious sources: 2
#batch size: 16
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 1.0
#order of time backdoors being inserted: no
#model replacement: False
#starttime: 182046
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.0001;2.679172360897064;2.639561011574485;100.0;182108
normal;1;0.0001;3.375468856096268;2.699263521830241;6.666666666666667;182108
backdoor;2;0.0001;2.573757195472717;2.475001170418479;100.0;182134
normal;2;0.0001;3.3265655785799026;2.670985959370931;6.666666666666667;182134
backdoor;3;0.0001;2.3653659343719484;2.2595667839050293;92.72727272727273;182159
normal;3;0.0001;3.216514539718628;2.6039282925923666;12.666666666666666;182159
backdoor;4;0.0001;2.2007914423942565;2.2684352874755858;58.18181818181818;182227
normal;4;0.0001;3.043662002682686;2.458748315175374;19.666666666666668;182227
backdoor;5;0.0001;2.319552648067474;2.6389572490345348;14.090909090909092;182252
normal;5;0.0001;2.8201397374272346;2.206734561920166;35.333333333333336;182252
backdoor;6;0.0001;2.644408869743347;3.011503115567294;8.181818181818182;182318
normal;6;0.0001;2.548240375518799;1.903120288848877;48.666666666666664;182318
backdoor;7;0.0001;2.9073830962181093;3.3601112365722656;14.090909090909092;182344
normal;7;0.0001;2.238569165766239;1.6126282914479573;56.333333333333336;182344
backdoor;8;0.0001;3.3602654457092287;3.9042245518077503;11.818181818181818;182410
normal;8;0.0001;2.021910575777292;1.3846197080612184;61.0;182410
backdoor;9;0.0001;3.830079138278961;4.341130343350497;12.272727272727273;182435
normal;9;0.0001;1.8979779869318008;1.2355250151952109;62.0;182435
backdoor;10;0.0001;4.269987714290619;4.703655607050115;12.272727272727273;182502
normal;10;0.0001;1.843254091963172;1.1354859105745951;65.33333333333333;182502
backdoor;11;0.0001;4.609805834293366;4.965142631530762;12.272727272727273;182527
normal;11;0.0001;1.814206090569496;1.0649837779998779;66.33333333333333;182527
backdoor;12;0.0001;4.867473149299622;5.133377387306907;13.181818181818182;182552
normal;12;0.0001;1.7973937667906283;1.0145680272579194;67.0;182552
backdoor;13;0.0001;5.057670545578003;5.265571784973145;13.181818181818182;182617
normal;13;0.0001;1.7841545552015305;0.975402623017629;68.0;182617
backdoor;14;0.0001;5.201758599281311;5.375284749811346;13.636363636363637;182643
normal;14;0.0001;1.7727435564622283;0.9443576395511627;69.0;182643
backdoor;15;0.0001;5.321436023712158;5.45324259671298;13.636363636363637;182709
normal;15;0.0001;1.7641649141907692;0.9188063406944275;71.33333333333333;182709
backdoor;16;0.0001;5.425134611129761;5.539092670787465;13.636363636363637;182736
normal;16;0.0001;1.7580108925700189;0.8976771672566731;72.33333333333333;182736
backdoor;17;0.0001;5.516957712173462;5.608247167413885;13.636363636363637;182801
normal;17;0.0001;1.753470505401492;0.8794242719809214;73.0;182801
backdoor;18;0.0001;5.601762795448304;5.6802327069369225;13.636363636363637;182825
normal;18;0.0001;1.7508524258621037;0.8644289489587148;74.33333333333333;182825
backdoor;19;0.0001;5.679970860481262;5.747909476540306;13.636363636363637;182851
normal;19;0.0001;1.7493066648952662;0.8511606911818187;76.33333333333333;182851
backdoor;20;0.0001;5.755845642089843;5.8159609361128375;13.636363636363637;182916
normal;20;0.0001;1.7494210643693804;0.8402397861083348;76.33333333333333;182916
backdoor;21;0.0001;5.8260022640228275;5.879282223094593;13.636363636363637;182939
normal;21;0.0001;1.7500225643627345;0.8308552742004395;76.66666666666667;182939
backdoor;22;0.0001;5.896330237388611;5.946384360573509;14.090909090909092;183003
normal;22;0.0001;1.7521365997381508;0.8230161058902741;76.66666666666667;183003
backdoor;23;0.0001;5.9607422828674315;6.0086450923572885;13.181818181818182;183027
normal;23;0.0001;1.7541259905323385;0.8163715881109238;76.66666666666667;183027
backdoor;24;0.0001;6.020533347129822;6.064778969504617;13.181818181818182;183052
normal;24;0.0001;1.7560046205297113;0.8104681865374247;76.66666666666667;183052
backdoor;25;0.0001;6.069408226013183;6.110794518210671;13.181818181818182;183117
normal;25;0.0001;1.7558086852543056;0.8043465148409208;76.66666666666667;183117
backdoor;26;0.0001;6.152271795272827;6.200861011851917;13.181818181818182;183141
normal;26;0.0001;1.7647775342222303;0.8018236912290255;77.33333333333333;183141
backdoor;27;0.0001;6.201941585540771;6.260556983947754;13.181818181818182;183205
normal;27;0.0001;1.7676395590417087;0.7986995713909467;77.66666666666667;183205
backdoor;28;0.0001;6.2642851114273075;6.316026618263939;13.181818181818182;183230
normal;28;0.0001;1.774099399521947;0.7975144511461258;77.66666666666667;183230
backdoor;29;0.0001;6.326891660690308;6.381578913601962;13.181818181818182;183254
normal;29;0.0001;1.7809856611769646;0.7961881425976753;78.0;183254
backdoor;30;0.0001;6.37763032913208;6.437933592362837;13.181818181818182;183318
normal;30;0.0001;1.7857855250593275;0.7953703906138738;78.0;183318
backdoor;31;0.0001;6.43301215171814;6.495435021140358;13.181818181818182;183341
normal;31;0.0001;1.7922381068579853;0.7953327359755834;78.0;183341
backdoor;32;0.0001;6.4820822954177855;6.547004734386097;12.727272727272727;183405
normal;32;0.0001;1.7975696271751076;0.7953034538030624;78.66666666666667;183405
backdoor;33;0.0001;6.53129472732544;6.600500592318448;13.181818181818182;183429
normal;33;0.0001;1.8033740861341356;0.7957083334525427;78.66666666666667;183429
backdoor;34;0.0001;6.576068949699402;6.649781816655939;13.181818181818182;183453
normal;34;0.0001;1.8085262307431549;0.7963236072659492;79.0;183453
backdoor;35;0.0001;6.61977915763855;6.697802352905273;13.181818181818182;183517
normal;35;0.0001;1.8137895022518933;0.7971873490015665;79.0;183517
backdoor;36;0.0001;6.6614590883255005;6.744831085205078;13.181818181818182;183542
normal;36;0.0001;1.8188612076919526;0.7981133796771367;79.0;183542
backdoor;37;0.0001;6.7024112939834595;6.791276793046431;13.181818181818182;183611
normal;37;0.0001;1.8240721797570587;0.7992166341344515;79.33333333333333;183611
backdoor;38;0.0001;6.738727569580078;6.830725340409712;14.545454545454545;183635
normal;38;0.0001;1.828445407282561;0.800392702370882;79.33333333333333;183635
backdoor;39;0.0001;6.775148916244507;6.87410717010498;14.545454545454545;183700
normal;39;0.0001;1.8330900535453112;0.8016399498283863;79.33333333333333;183700
backdoor;40;0.0001;6.807104563713073;6.910870881514116;14.545454545454545;183724
normal;40;0.0001;1.8368896178668366;0.8028600066900253;79.33333333333333;183724
backdoor;41;0.0001;6.839317989349365;6.947964650934392;14.545454545454545;183749
normal;41;0.0001;1.8409861492924393;0.804246305723985;79.66666666666667;183749
backdoor;42;0.0001;6.868170833587646;6.981135385686701;14.545454545454545;183813
normal;42;0.0001;1.8444530748762191;0.8055566954116027;79.66666666666667;183813
backdoor;43;0.0001;6.8977010488510135;7.017381980202415;14.545454545454545;183837
normal;43;0.0001;1.8482956916559488;0.8069246817628543;79.66666666666667;183837
backdoor;44;0.0001;6.922950673103332;7.046451117775657;14.545454545454545;183901
normal;44;0.0001;1.8512723824009298;0.80822634841005;80.0;183901
backdoor;45;0.0001;6.9480689525604244;7.0781801397150215;14.545454545454545;183926
normal;45;0.0001;1.8543884127633645;0.8095676965514819;80.33333333333333;183926
backdoor;46;0.0001;6.970063924789429;7.105330970070579;14.545454545454545;183954
normal;46;0.0001;1.8568896386772393;0.8107934472958247;80.33333333333333;183954
backdoor;47;0.0001;6.992410349845886;7.132042000510475;14.545454545454545;184018
normal;47;0.0001;1.8596393053187057;0.8121633214255174;80.33333333333333;184018
backdoor;48;0.0001;7.011797142028809;7.156045826998624;15.0;184043
normal;48;0.0001;1.8617888124892488;0.8133979804813862;80.33333333333333;184043
backdoor;49;0.0001;7.029850125312805;7.178248110684481;15.0;184109
normal;49;0.0001;1.863761863624677;0.814679075901707;80.33333333333333;184109
backdoor;50;0.0001;7.04827184677124;7.201089130748402;15.0;184133
normal;50;0.0001;1.8659302117070182;0.8158646433303753;80.33333333333333;184133
backdoor;51;0.0001;7.064083409309387;7.2218355699018995;15.0;184157
normal;51;0.0001;1.8675851150648668;0.8170307097832362;80.33333333333333;184157
