#dataset: yale
#way #merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 2
#number of malicious sources: 0
#batch size: 16
#distribution of data: equally distributed subset
#percentage of poisoned data in #order of time #model replacement: False
#starttime: 111208
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
normal;1;0.0001;2.5027176326229457;2.217031529744466;41.333333333333336;111227
normal;2;0.0001;1.382342855845179;1.2550046094258627;58.666666666666664;111252
normal;3;0.0001;0.6211105045818147;0.8927285269896189;71.33333333333333;111316
normal;4;0.0001;0.36838589067615213;0.822472617328167;72.0;111340
normal;5;0.0001;0.2556469871086024;0.8226964551707109;70.66666666666667;111405
normal;6;0.0001;0.1888736674916886;0.756376845240593;76.66666666666667;111429
normal;7;0.0001;0.14696923867311507;0.6878675469880303;78.33333333333333;111453
normal;8;0.0001;0.12195621934231549;0.6197043318922321;78.0;111516
normal;9;0.0001;0.09934036207518407;0.5674559055517118;79.66666666666667;111540
normal;10;0.0001;0.07546444861440077;0.5546467246425648;80.66666666666667;111604
normal;11;0.0001;0.058801387214944476;0.5680465998252233;81.0;111628
normal;12;0.0001;0.05027863431799536;0.5934312917695691;80.33333333333333;111652
normal;13;0.0001;0.044564196485139075;0.612246081745252;81.66666666666667;111715
normal;14;0.0001;0.03754848758745495;0.6205075923136125;82.33333333333333;111739
normal;15;0.0001;0.029600146857167903;0.6383487933858608;82.0;111803
normal;16;0.0001;0.02298407114340946;0.6713363130413927;82.66666666666667;111828
normal;17;0.0001;0.020106246755208952;0.6742600639428322;82.66666666666667;111856
normal;18;0.0001;0.017795536985171827;0.6745643442985602;82.33333333333333;111927
normal;19;0.0001;0.01512403405857705;0.6713880367297679;82.33333333333333;111955
normal;20;0.0001;0.012983362218489804;0.6743178289434096;83.33333333333333;112028
normal;21;0.0001;0.011430676550454726;0.6786445369478316;83.66666666666667;112105
normal;22;0.0001;0.010225494029111274;0.6828237143257866;83.66666666666667;112143
normal;23;0.0001;0.0094161798425332;0.6880354931781767;83.66666666666667;112214
normal;24;0.0001;0.008991260485431883;0.6947563479299425;84.0;112246
normal;25;0.0001;0.009271092229374474;0.7109116715464431;84.66666666666667;112319
normal;26;0.0001;0.011100203179445262;0.6987333739322882;85.0;112401
normal;27;0.0001;0.010153656146766957;0.6723888755465547;85.66666666666667;112437
normal;28;0.0001;0.007260838409776971;0.6771686560598512;84.33333333333333;112517
normal;29;0.0001;0.005308465997326753;0.6688981946606266;84.33333333333333;112556
normal;30;0.0001;0.004262019048967757;0.6616620586243032;86.0;112637
normal;31;0.0001;0.003822187057396929;0.6756932790674425;86.0;112719
normal;32;0.0001;0.003525699783300037;0.6873355634955806;86.0;112755
normal;33;0.0001;0.0032742077988110567;0.6968466773655382;86.0;112838
normal;34;0.0001;0.003031489226855012;0.7075809119475404;86.0;112920
normal;35;0.0001;0.0028260278772688167;0.7167294855538057;86.0;113004
normal;36;0.0001;0.002637546198240584;0.7266966548217655;85.33333333333333;113045
normal;37;0.0001;0.0024752208789019883;0.7354426971748277;85.33333333333333;113127
normal;38;0.0001;0.002327744590123378;0.7443703098785287;85.33333333333333;113213
normal;39;0.0001;0.0021979157884938366;0.7523141496086464;85.33333333333333;113258
normal;40;0.0001;0.002079224904978868;0.7600717107667394;85.33333333333333;113344
normal;41;0.0001;0.001972243146123479;0.7672643653523846;85.33333333333333;113418
normal;42;0.0001;0.001873514327479868;0.7742417105017133;85.33333333333333;113445
normal;43;0.0001;0.0017830725211881923;0.7809089070292491;85.33333333333333;113511
normal;44;0.0001;0.0016993202920535363;0.7873820617532814;85.33333333333333;113536
normal;45;0.0001;0.0016217674454775902;0.7936196066800524;85.33333333333333;113601
normal;46;0.0001;0.0015494852099750677;0.7997011217962791;85.0;113627
normal;47;0.0001;0.0014817517476872343;0.8056181351833462;85.0;113652
normal;48;0.0001;0.0014176112247349963;0.8114134085296973;84.66666666666667;113718
normal;49;0.0001;0.0013559602553067677;0.8169777138154071;84.66666666666667;113743
normal;50;0.0001;0.001295157399378392;0.8222156777105253;85.66666666666667;113808
normal;51;0.0001;0.0012328317014645932;0.826903438580266;85.66666666666667;113834
normal;52;0.0001;0.0011652965492019228;0.8309486231826728;85.66666666666667;113859
normal;53;0.0001;0.0010902229516887019;0.8350156858189318;85.66666666666667;113924
normal;54;0.0001;0.001013979836670842;0.8405949372424463;85.66666666666667;113949
normal;55;0.0001;0.0009482577790625631;0.8466076877836409;85.66666666666667;114015
normal;56;0.0001;0.0008951367684901578;0.8506882525358833;85.66666666666667;114040
normal;57;0.0001;0.0008533934947731073;0.8539158727973093;85.66666666666667;114105
normal;58;0.0001;0.0008186739252096231;0.8585765799506953;85.66666666666667;114131
normal;59;0.0001;0.0007892079622111158;0.866265179018131;85.66666666666667;114156
normal;60;0.0001;0.0007182553374388503;0.8643276538078559;86.0;114221
normal;61;0.0001;0.0006912077894813116;0.8731239024301006;86.0;114246
normal;62;0.0001;0.0006577260911193488;0.8752431137611135;85.66666666666667;114312
normal;63;0.0001;0.0006254963201886962;0.880586445915175;86.0;114338
normal;64;0.0001;0.0005880898126005853;0.8868952347462133;86.0;114403
normal;65;0.0001;0.0005537725321898636;0.896464226394869;86.0;114428
normal;66;0.0001;0.0005392858197193986;0.9053710552304756;86.0;114453
normal;67;0.0001;0.0005177461987116095;0.9127882902448179;86.0;114519
normal;68;0.0001;0.000489351971228167;0.9193474468712839;86.0;114544
normal;69;0.0001;0.0004593624825453108;0.9247716899961081;86.0;114610
normal;70;0.0001;0.0004335008311527201;0.9300931196535506;86.0;114635
normal;71;0.0001;0.0004137844787372896;0.935070193024961;86.0;114700
normal;72;0.0001;0.00039872804031693663;0.9411637833466027;86.0;114725
normal;73;0.0001;0.0003848621345322759;0.946099417352419;86.0;114751
normal;74;0.0001;0.00037453242417010796;0.9528058282720455;86.0;114816
normal;75;0.0001;0.0003622185920990194;0.9558344845784116;86.0;114841
normal;76;0.0001;0.0003497996536718044;0.9647999588834651;85.66666666666667;114906
normal;77;0.0001;0.00035206439757270606;0.9609346978304211;86.0;114932
normal;78;0.0001;0.00029991026941020424;0.9753542955157581;86.0;114957
normal;79;0.0001;0.0002936296907727237;0.9782861780561446;86.0;115022
normal;80;0.0001;0.0002891808416471858;0.9843952374843199;86.0;115048
normal;81;0.0001;0.0002830684260424104;0.9878715904988303;86.0;115113
normal;82;0.0001;0.0002755073882559329;0.9950039439337903;86.0;115138
normal;83;0.0001;0.00026831183398355406;0.9967451792458648;86.0;115203
normal;84;0.0001;0.00025732254281744343;1.0054657098402535;86.0;115228
normal;85;0.0001;0.000252097436826727;1.0051127489904517;86.0;115253
normal;86;0.0001;0.0002356510334033417;1.0154123644282376;86.0;115318
normal;87;0.0001;0.00023051110640960273;1.0161358151646913;86.0;115344
normal;88;0.0001;0.00022035692662603608;1.0247016476094686;86.0;115409
normal;89;0.0001;0.00021516104903271515;1.0262797082650135;86.0;115434
normal;90;0.0001;0.00020602997799387812;1.0341344957674512;85.66666666666667;115500
normal;91;0.0001;0.00020058556104155892;1.036150941159573;86.0;115525
normal;92;0.0001;0.00019221666994846082;1.0433341479053078;85.66666666666667;115550
normal;93;0.0001;0.00018667293396119823;1.0458232568576908;85.66666666666667;115615
normal;94;0.0001;0.00017892899938604367;1.0521851932505744;85.66666666666667;115642
normal;95;0.0001;0.0001733367233884207;1.0551605622222007;85.66666666666667;115715
normal;96;0.0001;0.00016623410048750777;1.0605077573470751;85.66666666666667;115743
normal;97;0.0001;0.00016063465103854924;1.0638774595720053;85.33333333333333;115810
normal;98;0.0001;0.00015440403079819155;1.0681880242315414;85.33333333333333;115836
normal;99;0.0001;0.00014909590288628545;1.0717034499843896;85.0;115901
normal;100;0.0001;0.00014397477460328272;1.0753569159905096;85.0;115935
