#dataset: yale
#way backdoor looks like: beard
#merge strategy: sequential
#number of benign sources: 1
#number of malicious sources: 0
#batch size: 16
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 100
#order of time backdoors being inserted: backdoors last
#attack model: basic
#starttime: 132011
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
normal;1;0.01;1.8840583562850952;1.0506407674153646;68.66666666666667;132027
normal;2;0.01;0.29230797290802;0.3723371572295825;87.0;132047
normal;3;0.01;0.05938256159424782;0.19269820546731353;95.33333333333333;132105
normal;4;0.01;0.03162858635187149;0.1858564716267089;94.33333333333333;132124
normal;5;0.01;0.007158366963267326;0.1945403193247815;94.66666666666667;132142
normal;6;0.01;0.004150873981416225;0.20340789371014883;94.66666666666667;132201
normal;7;0.01;0.0029412610456347466;0.21253230306164672;94.33333333333333;132219
normal;8;0.01;0.0022781367879360914;0.22099288104179626;94.33333333333333;132238
normal;9;0.01;0.0018521527526900172;0.22879559845120337;93.0;132256
normal;10;0.01;0.0015539200976490974;0.23584990796031585;93.33333333333333;132315
normal;11;0.01;0.0013336583506315947;0.2422813478502212;92.66666666666667;132333
normal;12;0.01;0.0011645560152828693;0.24817873207231364;92.33333333333333;132352
normal;13;0.01;0.0010309594217687845;0.2535971203396912;92.33333333333333;132411
normal;14;0.01;0.0009229524293914437;0.2586426416295581;92.33333333333333;132430
normal;15;0.01;0.000834051810670644;0.2633670606577653;92.33333333333333;132448
normal;16;0.01;0.0007597754010930657;0.26779548958322263;92.33333333333333;132508
normal;17;0.01;0.0006969140376895666;0.27196926796255866;92.33333333333333;132528
normal;18;0.01;0.000643062056042254;0.2759193225047299;92.33333333333333;132547
normal;19;0.01;0.0005964403972029686;0.2796795381619207;92.66666666666667;132607
normal;20;0.01;0.0005556898540817201;0.2832739366832296;92.66666666666667;132627
normal;21;0.01;0.0005198383587412536;0.28669205449531243;92.66666666666667;132646
normal;22;0.01;0.000488078425405547;0.2899730317705204;92.66666666666667;132705
normal;23;0.01;0.0004597399674821645;0.29310761553041326;92.66666666666667;132725
normal;24;0.01;0.00043433584505692124;0.2961006534394013;92.33333333333333;132745
normal;25;0.01;0.0004114564217161387;0.29898293186003383;92.33333333333333;132804
normal;26;0.01;0.00039072419167496264;0.3017582790045708;92.0;132824
normal;27;0.01;0.00037187529960647225;0.3044289051638892;91.66666666666667;132843
normal;28;0.01;0.0003546574153006077;0.3070104681816762;91.66666666666667;132903
normal;29;0.01;0.00033886177698150277;0.30952283057781943;91.66666666666667;132923
normal;30;0.01;0.00032432941952720284;0.31195650389513807;91.66666666666667;132942
normal;31;0.01;0.00031092381686903536;0.31431441479157607;91.66666666666667;133000
normal;32;0.01;0.0002985159808304161;0.3165990753638228;91.66666666666667;133019
normal;33;0.01;0.0002870141761377454;0.31882067722229596;91.66666666666667;133038
normal;34;0.01;0.00027631630655378103;0.32097650631452174;91.66666666666667;133056
normal;35;0.01;0.0002663448394741863;0.3230746164092246;91.66666666666667;133115
normal;36;0.01;0.00025703266146592796;0.32512074262653184;91.66666666666667;133133
normal;37;0.01;0.0002483061689417809;0.3271207844960251;91.66666666666667;133152
normal;38;0.01;0.00024011998903006315;0.329071915525116;91.66666666666667;133210
normal;39;0.01;0.00023241652525030077;0.3309841299039544;91.66666666666667;133229
normal;40;0.01;0.00022516243916470557;0.33285542343105284;91.66666666666667;133247
normal;41;0.01;0.00021831817866768688;0.33468168334243575;91.66666666666667;133306
normal;42;0.01;0.00021185391233302653;0.33646930661037305;91.66666666666667;133324
normal;43;0.01;0.0002057383389910683;0.33821816571509167;91.66666666666667;133343
normal;44;0.01;0.0001999466767301783;0.33993312081853216;91.66666666666667;133401
normal;45;0.01;0.00019445206271484494;0.3416110012298971;91.66666666666667;133421
normal;46;0.01;0.00018923186871688813;0.34325525217756875;91.66666666666667;133440
normal;47;0.01;0.00018427275063004345;0.34486718948533357;91.66666666666667;133459
normal;48;0.01;0.0001795545977074653;0.34644638355347224;91.33333333333333;133517
normal;49;0.01;0.00017505430150777102;0.34799752422833685;91.33333333333333;133535
normal;50;0.01;0.00017076448420993984;0.34952291036327554;91.33333333333333;133554
normal;51;0.01;0.00016666702867951244;0.3510197795065384;91.33333333333333;133612
normal;52;0.01;0.0001627479214221239;0.35248975308295183;91.33333333333333;133631
normal;53;0.01;0.00015899982827249914;0.35393550272016305;91.33333333333333;133649
normal;54;0.01;0.00015540991444140673;0.35535588574900734;91.33333333333333;133707
normal;55;0.01;0.00015197164611890912;0.35675122490458305;91.33333333333333;133726
normal;56;0.01;0.00014867015124764293;0.35812366190827255;91.33333333333333;133745
normal;57;0.01;0.00014550299965776503;0.359474949856088;91.33333333333333;133804
normal;58;0.01;0.0001424572546966374;0.36080411925597217;91.33333333333333;133823
normal;59;0.01;0.00013952811423223466;0.3621144566575913;91.33333333333333;133841
normal;60;0.01;0.00013671230408363044;0.3634045370629004;91.33333333333333;133859
normal;61;0.01;0.00013400055468082428;0.364676409657853;91.33333333333333;133919
normal;62;0.01;0.00013139135262463242;0.3659271032246458;91.0;133939
normal;63;0.01;0.00012887202319689095;0.36716286187212366;91.0;133957
normal;64;0.01;0.00012644198432099074;0.3683806383376668;91.0;134016
normal;65;0.01;0.00012409874761942774;0.36958067228238783;91.0;134035
normal;66;0.01;0.00012183227954665199;0.3707661417266081;91.0;134053
normal;67;0.01;0.00011964588338742033;0.3719354789455489;91.0;134112
normal;68;0.01;0.00011752970021916553;0.37309046825236386;91.0;134131
normal;69;0.01;0.00011548108159331605;0.3742295869750084;91.0;134150
normal;70;0.01;0.000113500194856897;0.37535375235134627;91.0;134209
normal;71;0.01;0.00011158154666190967;0.3764627005594275;91.0;134227
normal;72;0.01;0.00010972396557917818;0.3775583040031112;91.0;134246
normal;73;0.01;0.00010792241664603353;0.3786406790860747;91.0;134305
normal;74;0.01;0.00010617687803460285;0.37970947359609153;91.0;134323
normal;75;0.01;0.00010448224929859862;0.3807641273713519;91.0;134342
normal;76;0.01;0.00010283828305546194;0.38180696469730113;91.0;134401
normal;77;0.01;0.00010123925312655047;0.3828366030682658;91.0;134419
normal;78;0.01;9.968966332962736e-05;0.3838542799504027;91.0;134438
normal;79;0.01;9.818387479754165e-05;0.38486024638093413;91.0;134457
normal;80;0.01;9.671940642874688e-05;0.3858539300792108;91.0;134515
normal;81;0.01;9.52991031226702e-05;0.3868366980288677;91.0;134534
normal;82;0.01;9.391130151925609e-05;0.3878088004704599;90.66666666666667;134553
normal;83;0.01;9.256523480871692e-05;0.38876984335519715;90.66666666666667;134611
normal;84;0.01;9.124939970206469e-05;0.38971963660635234;90.66666666666667;134629
normal;85;0.01;8.99744190974161e-05;0.39066031004611734;90.66666666666667;134648
normal;86;0.01;8.873086335370317e-05;0.391591236150504;90.66666666666667;134707
normal;87;0.01;8.751576388021931e-05;0.3925123083381823;90.66666666666667;134725
normal;88;0.01;8.633441029815003e-05;0.39342362103400774;90.66666666666667;134744
normal;89;0.01;8.518112736055627e-05;0.3943252095153154;90.66666666666667;134802
normal;90;0.01;8.405903645325452e-05;0.39521690013584704;90.66666666666667;134821
normal;91;0.01;8.296209125546739e-05;0.39610015841083623;90.66666666666667;134839
normal;92;0.01;8.189497020794079e-05;0.3969749791000413;90.66666666666667;134857
normal;93;0.01;8.084985165623948e-05;0.3978411048607965;90.66666666666667;134916
normal;94;0.01;7.982878742041066e-05;0.39869950479167376;90.66666666666667;134934
normal;95;0.01;7.883321086410433e-05;0.39954926398388046;90.66666666666667;134953
normal;96;0.01;7.78611283749342e-05;0.4003906924816867;90.66666666666667;135011
normal;97;0.01;7.691283099120483e-05;0.401223698296811;90.66666666666667;135030
normal;98;0.01;7.59838949306868e-05;0.4020495577866617;90.66666666666667;135048
normal;99;0.01;7.507698319386691e-05;0.4028676820325139;90.66666666666667;135107
normal;100;0.01;7.418889435939491e-05;0.4036789777459671;90.66666666666667;135125
