#dataset: yale
#way backdoor looks like: beard
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 4
#number of malicious sources: 1
#batch size: 16
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 0.25
#order of time backdoors being inserted: no
#model replacement: True
#starttime: 140717
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.0001;2.6953519880771637;2.5566969524730334;30.90909090909091;140738
normal;1;0.0001;2.6900534592568874;2.654365367889404;14.333333333333334;140738
backdoor;2;0.0001;2.385949842631817;1.811805265600031;98.63636363636364;140810
normal;2;0.0001;2.566880628466606;2.50170929590861;9.666666666666666;140810
backdoor;3;0.0001;2.2239038795232773;2.1771566997874867;29.545454545454547;140838
normal;3;0.0001;2.1608327701687813;1.9723964818318684;46.0;140838
backdoor;4;0.0001;1.9420510865747929;2.231510292400013;28.181818181818183;140911
normal;4;0.0001;1.4597284235060215;1.4046286678314208;58.333333333333336;140911
backdoor;5;0.0001;1.7993183061480522;2.6487777363170277;20.454545454545453;140942
normal;5;0.0001;0.9846752369776368;1.0764435982704164;69.0;140942
backdoor;6;0.0001;1.5933201648294926;2.718758114901456;16.818181818181817;141017
normal;6;0.0001;0.7819286407902837;0.9369058203697205;70.66666666666667;141017
backdoor;7;0.0001;1.4004289750009775;2.5694257736206056;20.454545454545453;141050
normal;7;0.0001;0.6454074156936258;0.8321293799082438;74.66666666666667;141050
backdoor;8;0.0001;1.2944824481382966;2.5221962842074306;19.545454545454547;141120
normal;8;0.0001;0.5499432377982885;0.756516870657603;80.33333333333333;141120
backdoor;9;0.0001;1.243835361674428;2.559977973591198;19.545454545454547;141148
normal;9;0.0001;0.4872831318061799;0.6971342277526855;80.33333333333333;141148
backdoor;10;0.0001;1.1797602716833353;2.527391364357688;19.545454545454547;141219
normal;10;0.0001;0.44154396653175354;0.6541941996415456;80.66666666666667;141219
backdoor;11;0.0001;1.1153720770962536;2.4705843578685416;21.363636363636363;141249
normal;11;0.0001;0.4053657673066482;0.6214721965789795;81.0;141249
backdoor;12;0.0001;1.0707029327750206;2.44847432049838;21.818181818181817;141324
normal;12;0.0001;0.3752533026272431;0.594444687962532;81.33333333333333;141324
backdoor;13;0.0001;1.028892574366182;2.430903165990656;23.181818181818183;141350
normal;13;0.0001;0.3509277126286179;0.5725270144144694;81.33333333333333;141350
backdoor;14;0.0001;0.9872665093280375;2.4038141337308017;24.545454545454547;141418
normal;14;0.0001;0.3293241751380265;0.554648755590121;81.33333333333333;141418
backdoor;15;0.0001;0.9489745739847422;2.373964396390048;24.545454545454547;141446
normal;15;0.0001;0.3099405821412802;0.5399238848686219;82.66666666666667;141446
backdoor;16;0.0001;0.9154049684293568;2.3495579372752795;25.0;141516
normal;16;0.0001;0.2930670236237347;0.5263968241214753;82.66666666666667;141516
backdoor;17;0.0001;0.8834623086731881;2.3252244169061833;25.90909090909091;141549
normal;17;0.0001;0.27773654693737626;0.5149096043904623;82.33333333333333;141549
backdoor;18;0.0001;0.8533069815021008;2.3008659102699975;26.363636363636363;141617
normal;18;0.0001;0.2641168833943084;0.5045274569590886;82.66666666666667;141617
backdoor;19;0.0001;0.8261579810641706;2.2813744978471235;27.272727272727273;141647
normal;19;0.0001;0.25159969576634467;0.4950948734084765;83.0;141647
backdoor;20;0.0001;0.79891367838718;2.258569977500222;28.181818181818183;141716
normal;20;0.0001;0.23962122958619148;0.4870806818207105;82.66666666666667;141716
backdoor;21;0.0001;0.7738716574385762;2.2430217829617587;28.636363636363637;141745
normal;21;0.0001;0.2294904317241162;0.47881518085797625;82.66666666666667;141745
backdoor;22;0.0001;0.7497236460912973;2.2202007467096503;28.636363636363637;141816
normal;22;0.0001;0.21920089455670677;0.4722526568174362;82.33333333333333;141816
backdoor;23;0.0001;0.73406095453538;2.1602036476135256;30.454545454545453;141849
normal;23;0.0001;0.20922628536936827;0.46775802383820214;82.33333333333333;141849
backdoor;24;0.0001;0.7186132583301514;2.232085600766269;29.09090909090909;141923
normal;24;0.0001;0.20668262455728836;0.4570021853844325;83.33333333333333;141923
backdoor;25;0.0001;0.6788347165565938;2.1877413749694825;29.09090909090909;141954
normal;25;0.0001;0.19413378508761525;0.4567272583643595;83.0;141954
backdoor;26;0.0001;0.6525286617688835;2.140899736231024;31.363636363636363;142022
normal;26;0.0001;0.18505041481694207;0.4525521264473597;83.0;142022
backdoor;27;0.0001;0.6375213931314647;2.131205368041992;32.27272727272727;142049
normal;27;0.0001;0.17864842410199344;0.44544217209021253;84.0;142049
backdoor;28;0.0001;0.6235666854772717;2.1263658263466576;31.818181818181817;142117
