#dataset: yale
#way backdoor looks like: beard
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 7
#number of malicious sources: 3
#batch size: 16
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 1.0
#order of time backdoors being inserted: no
#model replacement: False
#starttime: 190311
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.0001;2.6348962916268244;2.522884897752242;100.0;190336
normal;1;0.0001;3.8344906710443047;2.699123357137044;6.666666666666667;190336
backdoor;2;0.0001;2.357686029540168;2.121307034925981;100.0;190405
normal;2;0.0001;3.693697015444437;2.676746711730957;6.666666666666667;190405
backdoor;3;0.0001;1.9443220330609217;1.7470747860995206;100.0;190433
normal;3;0.0001;3.469373406398864;2.632664737701416;6.666666666666667;190433
backdoor;4;0.0001;1.7036360469129346;1.6537986148487438;94.54545454545455;190506
normal;4;0.0001;3.2566489279270177;2.5100363540649413;9.333333333333334;190506
backdoor;5;0.0001;1.6987387835979462;1.7926625338467685;70.0;190540
normal;5;0.0001;3.0175418655077615;2.2456222661336263;20.666666666666668;190540
backdoor;6;0.0001;1.8904640972614288;2.133569015156139;42.27272727272727;190612
normal;6;0.0001;2.7046321346646267;1.8759136581420899;43.333333333333336;190612
backdoor;7;0.0001;2.157193680604299;2.4694321112199265;28.636363636363637;190645
normal;7;0.0001;2.3852020239546183;1.56779940923055;49.333333333333336;190645
backdoor;8;0.0001;2.4586081769731307;2.8231760978698732;25.0;190716
normal;8;0.0001;2.1835684939509346;1.3559449847539267;57.333333333333336;190716
backdoor;9;0.0001;2.756138715479109;3.0979441902854226;22.727272727272727;190747
normal;9;0.0001;2.1007950827479362;1.2351837317148844;60.666666666666664;190747
backdoor;10;0.0001;2.989518864287271;3.2815664984963155;21.818181818181817;190818
normal;10;0.0001;2.0711593798228667;1.160915888150533;62.666666666666664;190818
backdoor;11;0.0001;3.1544096933470835;3.4025680888782848;20.90909090909091;190848
normal;11;0.0001;2.0558838251800764;1.109035592873891;65.0;190848
backdoor;12;0.0001;3.2647518648041625;3.487501855330034;20.454545454545453;190919
normal;12;0.0001;2.041938190481493;1.07010760307312;66.33333333333333;190919
backdoor;13;0.0001;3.3431361979908414;3.550481328097257;20.0;190950
normal;13;0.0001;2.0290621300893172;1.0391646925608318;68.66666666666667;190950
backdoor;14;0.0001;3.4088460008303323;3.6098473635586825;20.0;191022
normal;14;0.0001;2.019844544785364;1.014026395479838;70.0;191022
backdoor;15;0.0001;3.4645261234707303;3.6571482745083896;20.0;191054
normal;15;0.0001;2.012729805317663;0.9927625445524851;71.0;191054
backdoor;16;0.0001;3.5116721987724304;3.7018002596768467;20.0;191126
normal;16;0.0001;2.0066981727168676;0.9747937575976053;71.33333333333333;191126
backdoor;17;0.0001;3.5543483032120604;3.7409718080000443;20.0;191159
normal;17;0.0001;2.002266256049985;0.9591364173094431;71.66666666666667;191159
backdoor;18;0.0001;3.5925782521565757;3.7781864513050425;19.545454545454547;191230
normal;18;0.0001;1.9988046024172077;0.9457125421365102;72.0;191230
backdoor;19;0.0001;3.6272880964809;3.81084586056796;19.545454545454547;191303
normal;19;0.0001;1.9960735503229357;0.9337869652112325;72.66666666666667;191303
backdoor;20;0.0001;3.659307599067688;3.8429032065651634;19.09090909090909;191335
normal;20;0.0001;1.994077567188513;0.9234314688046773;73.0;191335
backdoor;21;0.0001;3.688765479458702;3.8715482191606;19.545454545454547;191408
normal;21;0.0001;1.9925185033962842;0.9141004967689514;73.33333333333333;191408
backdoor;22;0.0001;3.7162297500504393;3.900151911648837;20.0;191439
normal;22;0.0001;1.9914025452342772;0.9058466760317484;73.33333333333333;191439
backdoor;23;0.0001;3.7420076330502834;3.9225932988253507;20.0;191511
normal;23;0.0001;1.9906000634211871;0.8985282977422079;74.33333333333333;191511
backdoor;24;0.0001;3.761328193876478;3.9465649084611374;19.545454545454547;191545
normal;24;0.0001;1.9882646306817024;0.8919506438573201;75.33333333333333;191545
backdoor;25;0.0001;3.7832956115404763;3.97128006328236;20.0;191621
normal;25;0.0001;1.987712258561736;0.8859854539235433;76.0;191621
backdoor;26;0.0001;3.8049572507540383;3.9924889651211823;19.545454545454547;191655
normal;26;0.0001;1.9877145951170296;0.8807176431020101;76.33333333333333;191655
backdoor;27;0.0001;3.82466666566001;4.014943695068359;20.0;191729
normal;27;0.0001;1.9875349144318275;0.8760459409157435;76.33333333333333;191729
backdoor;28;0.0001;3.8428114917543197;4.0335102774880145;20.454545454545453;191803
normal;28;0.0001;1.9872180281118268;0.8716340625286102;76.33333333333333;191803
backdoor;29;0.0001;3.85862652460734;4.05266824202104;20.90909090909091;191835
normal;29;0.0001;1.9863808430908694;0.867700747648875;76.66666666666667;191835
backdoor;30;0.0001;3.875170138147142;4.071651580116965;20.90909090909091;191907
normal;30;0.0001;1.9861977942110531;0.8640673353274664;77.0;191907
backdoor;31;0.0001;3.8902889158990646;4.088732528686523;21.363636363636363;191938
normal;31;0.0001;1.9857073466160469;0.8606506534417471;77.33333333333333;191938
backdoor;32;0.0001;3.904029230276743;4.10575008392334;21.363636363636363;192007
normal;32;0.0001;1.9848582103316275;0.8572182917594909;77.33333333333333;192007
backdoor;33;0.0001;3.9198954105377197;4.128323450955477;20.90909090909091;192038
normal;33;0.0001;1.9851107204421645;0.8541979893048605;77.0;192038
backdoor;34;0.0001;3.9390478862656484;4.150323018160734;20.90909090909091;192107
normal;34;0.0001;1.9871952854806467;0.8519550806283951;77.0;192107
backdoor;35;0.0001;3.9587571885850696;4.172471237182617;21.363636363636363;192138
normal;35;0.0001;1.9900214198888058;0.850404357512792;76.66666666666667;192138
backdoor;36;0.0001;3.9779492616653442;4.192720413208008;21.363636363636363;192214
normal;36;0.0001;1.9928494198691282;0.8486797000964482;76.66666666666667;192214
backdoor;37;0.0001;3.996902406215668;4.216245529868386;21.363636363636363;192247
normal;37;0.0001;1.99567394521797;0.8471233355998993;77.33333333333333;192247
backdoor;38;0.0001;4.016370217005412;4.2401801716197625;21.363636363636363;192320
normal;38;0.0001;1.9988865724631717;0.8455807962020239;77.33333333333333;192320
backdoor;39;0.0001;4.037045670880212;4.263531329415061;20.90909090909091;192355
