#dataset: yale
#way backdoor looks like: glasses
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 7
#number of malicious sources: 3
#batch size: 16
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 1.0
#order of time backdoors being inserted: no
#model replacement: False
#starttime: 173612
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.0001;2.635609024100834;2.5248390870935777;100.0;173627
normal;1;0.0001;3.834765141918546;2.6990548451741536;6.666666666666667;173627
backdoor;2;0.0001;2.3624045848846436;2.133335079866297;100.0;173646
normal;2;0.0001;3.6954404995554966;2.6763123830159503;6.666666666666667;173646
backdoor;3;0.0001;1.9558378623591528;1.7716492260203642;100.0;173705
normal;3;0.0001;3.473138850359689;2.630926793416341;6.666666666666667;173705
backdoor;4;0.0001;1.7183642652299669;1.6864804772769704;94.11764705882354;173725
normal;4;0.0001;3.259346084935325;2.5048881848653157;9.666666666666666;173725
backdoor;5;0.0001;1.7203377783298492;1.836792766346651;72.3529411764706;173745
normal;5;0.0001;3.017357343719119;2.2344400278727212;21.666666666666668;173745
backdoor;6;0.0001;1.9208903047773573;2.1806108025943534;34.11764705882353;173804
normal;6;0.0001;2.70330802599589;1.8658411629994711;44.666666666666664;173804
backdoor;7;0.0001;2.188704106542799;2.5203839582555436;20.58823529411765;173824
normal;7;0.0001;2.3869287854149226;1.56302565574646;50.333333333333336;173824
backdoor;8;0.0001;2.499419311682383;2.88459612902473;14.117647058823529;173844
normal;8;0.0001;2.1927454858308746;1.3546115382512411;57.0;173844
backdoor;9;0.0001;2.8126571045981508;3.1621730131261487;12.941176470588236;173903
normal;9;0.0001;2.1188388821624575;1.2351848220825195;61.0;173903
backdoor;10;0.0001;3.0638251139058004;3.3422917758717254;13.529411764705882;173923
normal;10;0.0001;2.098428305593275;1.1632707413037617;61.666666666666664;173923
backdoor;11;0.0001;3.246193170547485;3.4657152736888213;13.529411764705882;173942
normal;11;0.0001;2.091929551923559;1.1141782490412395;65.0;173942
backdoor;12;0.0001;3.3784216046333313;3.5522221957936004;12.941176470588236;174001
normal;12;0.0001;2.0882480602179254;1.0770428129037222;65.66666666666667;174001
backdoor;13;0.0001;3.478257338205974;3.6175502328311695;12.941176470588236;174020
normal;13;0.0001;2.085215658126842;1.0476504460970562;67.66666666666667;174020
backdoor;14;0.0001;3.563275913397471;3.6833366618436925;12.941176470588236;174039
normal;14;0.0001;2.085078137438922;1.0237871718406677;69.33333333333333;174039
backdoor;15;0.0001;3.6400502920150752;3.7378021240234376;13.529411764705882;174058
normal;15;0.0001;2.0876281390942277;1.003434076309204;70.0;174058
backdoor;16;0.0001;3.7062375810411243;3.7884682374842025;13.529411764705882;174117
normal;16;0.0001;2.0905206889091503;0.986260530948639;71.33333333333333;174117
backdoor;17;0.0001;3.767588065730201;3.8363075256347656;13.529411764705882;174136
normal;17;0.0001;2.0947800754081634;0.9713508017857869;71.33333333333333;174136
backdoor;18;0.0001;3.8224112921290927;3.8800889744478115;13.529411764705882;174155
normal;18;0.0001;2.0991093620125736;0.958101993004481;71.66666666666667;174155
backdoor;19;0.0001;3.873686114947001;3.921540854958927;14.117647058823529;174215
normal;19;0.0001;2.1040897435020836;0.9463888645172119;72.33333333333333;174215
backdoor;20;0.0001;3.921005792087979;3.9587088640998394;14.705882352941176;174233
normal;20;0.0001;2.109064169405472;0.9359444900353749;72.66666666666667;174233
backdoor;21;0.0001;3.959214170773824;3.9934241350959327;14.117647058823529;174253
normal;21;0.0001;2.111912847540918;0.9263914293050766;73.0;174253
backdoor;22;0.0001;3.998063623905182;4.0285350350772635;14.117647058823529;174312
normal;22;0.0001;2.1159943950672946;0.9174923821290334;73.66666666666667;174312
backdoor;23;0.0001;4.034649994638231;4.059787032183479;14.117647058823529;174332
normal;23;0.0001;2.119872767123438;0.9085774173339208;73.66666666666667;174332
backdoor;24;0.0001;4.070963773462507;4.107900036082548;14.117647058823529;174351
normal;24;0.0001;2.124085989470283;0.8994460837046305;74.33333333333333;174351
backdoor;25;0.0001;4.115438613626693;4.142125657025505;14.117647058823529;174410
normal;25;0.0001;2.133281255584387;0.8942631701628367;74.66666666666667;174410
backdoor;26;0.0001;4.152846720483567;4.1714018429026885;14.117647058823529;174429
normal;26;0.0001;2.1405744963281212;0.8887260556221008;74.33333333333333;174429
backdoor;27;0.0001;4.187063952287038;4.210412866928998;14.117647058823529;174448
normal;27;0.0001;2.1470320419009243;0.8829935230811436;74.33333333333333;174448
backdoor;28;0.0001;4.221408214834001;4.242026037328383;13.529411764705882;174508
