#dataset: yale
#way backdoor looks like: glasses
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 9
#number of malicious sources: 1
#batch size: 16
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 0.75
#order of time backdoors being inserted: no
#model replacement: True
#starttime: 193415
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.0001;2.6588909327983856;2.4594970142140107;100.0;193423
normal;1;0.0001;2.703861392206616;2.701045201619466;6.666666666666667;193423
backdoor;2;0.0001;2.229787155985832;1.6376942241893095;100.0;193439
normal;2;0.0001;2.6963835524188147;2.7437201817830403;6.666666666666667;193439
backdoor;3;0.0001;1.6437752693891525;1.0027539926416733;100.0;193454
normal;3;0.0001;2.761441939406925;2.909914868672689;6.666666666666667;193454
backdoor;4;0.0001;1.4163029417395592;0.8921791357152602;100.0;193510
normal;4;0.0001;2.8343139621946545;2.93886417388916;6.666666666666667;193510
backdoor;5;0.0001;1.403244324028492;0.9499060350305893;100.0;193525
normal;5;0.0001;2.7867109676202135;2.872657190958659;6.666666666666667;193525
backdoor;6;0.0001;1.384091094136238;0.9379298041848575;100.0;193541
normal;6;0.0001;2.7151824931303654;2.845501308441162;6.666666666666667;193541
backdoor;7;0.0001;1.314411774277687;0.8739528095020968;100.0;193556
normal;7;0.0001;2.6730509532822504;2.848760306040446;6.666666666666667;193556
backdoor;8;0.0001;1.2440867125988007;0.8346990501179414;100.0;193611
normal;8;0.0001;2.6340175436602697;2.833269821802775;6.666666666666667;193611
backdoor;9;0.0001;1.1932717114686966;0.8175042404847986;100.0;193625
normal;9;0.0001;2.575839002927144;2.799028491973877;6.666666666666667;193625
backdoor;10;0.0001;1.142521195113659;0.7947987051571117;100.0;193640
normal;10;0.0001;2.509451902574963;2.7687091636657715;7.0;193640
backdoor;11;0.0001;1.0874662399291992;0.7720138521755443;97.6470588235294;193655
normal;11;0.0001;2.443624761369493;2.7376016585032144;7.333333333333333;193655
backdoor;12;0.0001;1.0371116027235985;0.7573530084946576;97.6470588235294;193709
normal;12;0.0001;2.3733333663807974;2.6964688936869305;8.333333333333334;193709
backdoor;13;0.0001;0.9925040081143379;0.7450454235076904;96.47058823529412;193724
normal;13;0.0001;2.2968587809138827;2.6502263514200846;9.333333333333334;193724
backdoor;14;0.0001;0.9504277855157852;0.7348892268012551;94.11764705882354;193738
normal;14;0.0001;2.219301826424069;2.6015694586435956;13.0;193738
backdoor;15;0.0001;0.9140806943178177;0.7280350068036248;91.17647058823529;193754
normal;15;0.0001;2.140631687310007;2.549819784164429;17.666666666666668;193754
backdoor;16;0.0001;0.8813494369387627;0.7205907569212072;89.41176470588235;193809
normal;16;0.0001;2.0622090366151595;2.4972663338979086;22.0;193809
backdoor;17;0.0001;0.8519855365157127;0.7135030241573558;89.41176470588235;193824
normal;17;0.0001;1.9853182468149397;2.4428270435333252;22.333333333333332;193824
backdoor;18;0.0001;0.8262737840414047;0.7065766615026138;88.82352941176471;193839
normal;18;0.0001;1.9102449499898486;2.387387981414795;24.666666666666668;193839
backdoor;19;0.0001;0.8038292452692986;0.7003049037035773;87.6470588235294;193855
normal;19;0.0001;1.8378681821955576;2.3317038345336916;26.0;193855
backdoor;20;0.0001;0.7847171351313591;0.6947552961461684;85.29411764705883;193910
normal;20;0.0001;1.768309513727824;2.276353063583374;27.0;193910
